id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_22_09_17,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_17,True,,31,31,1.0,,moran,moran,,1,idle,,3,worry,,,,,,
d_main_22_09_18,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_18,True,,31,1315,2.0,,rosanna,rosanna,,1,idle,,3,worry,rosanna,13,angry,sakura,15,idle
d_main_22_09_19,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_19,True,,1315,1315,1.0,,sakura,sakura,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_20,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_20,True,,30,30,1.0,,moran,moran,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_21,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_21,True,,10,10,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_22,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_22,True,,10,130,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_23,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_23,True,,130,130,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_24,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_24,True,,130,130,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_25,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_25,True,,130,130,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_26,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_26,True,,130,1300,2.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_27,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_27,True,,1300,1300,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_28,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_28,True,,1300,1300,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_29,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_29,True,,1300,1500,1.0,,sakura,sakura,,1,idle,,3,worry,,13,angry,,15,angry
d_main_22_09_30,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_30,True,,1500,1500,1.0,,sakura,sakura,,1,idle,,3,worry,,13,angry,,15,angry
d_main_22_09_31,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_31,False,,10,10,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_32,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_32,True,,10,10,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_33,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_33,True,,10,10,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_34,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_34,False,,10,10,1.0,,moran,moran,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_35,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_35,True,,10,10,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_36,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_36,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_37,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_37,True,,10,100,2.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_38,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_38,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_39,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_39,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_40,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_40,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_41,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_41,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_42,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_42,True,,100,10,2.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_43,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_43,True,,10,10,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_44,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_44,True,,10,10,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_45,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_45,True,,10,10,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_46,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_46,True,,10,100,0.5,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_47,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_47,True,,100,100,1.0,,eh,eh,,1,delight,,3,worry,,13,angry,,15,idle
d_main_22_09_48,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_48,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_49,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_49,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_50,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_50,True,,100,100,1.0,,eh,eh,,1,idle,,3,worry,,13,angry,,15,idle
d_main_22_09_51,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_51,True,,300,300,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_52,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_52,False,,black,black,1.0,,,,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_53,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_53,False,,30,30,1.0,,moran,moran,,1,pain,,3,worry,,13,angry,,15,angry
d_main_22_09_54,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_54,False,,130,130,1.0,,rosanna,rosanna,,1,pain,,3,worry,,13,angry,,15,angry
d_main_22_09_55,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_55,False,,150,150,1.0,,sakura,sakura,,1,pain,,3,worry,,13,angry,,15,angry
d_main_22_09_56,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_56,False,,black,black,1.0,,,,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_57,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_57,False,,black,black,1.0,,,,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_58,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_58,True,,1,1,1.0,,eh,eh,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_59,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_59,True,,1,1,1.0,,eh,eh,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_60,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_60,True,,1,10,2.0,,eh,eh,,1,pain,,3,angry,,13,angry,,15,idle
d_main_22_09_61,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_61,True,,10,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_62,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_62,True,,10,100,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_63,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_63,True,,100,300,0.5,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_64,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_64,True,,300,300,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_65,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_65,True,,300,31,2.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_66,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_66,True,,31,31,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_67,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_67,True,,31,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_68,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_68,True,,31,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_69,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_69,True,,31,31,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_70,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_70,True,,31,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_71,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_71,False,,31,1,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_72,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_72,True,,1,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_73,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_73,True,,10,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_74,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_74,True,,30,30,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_75,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_75,True,,10,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_76,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_76,True,,10,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_77,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_77,True,,30,30,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_78,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_78,True,,10,10,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_79,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_79,True,,10,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_80,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_80,True,,31,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_81,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_81,True,,31,31,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_82,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_82,True,,31,113,1.0,,rosanna,rosanna,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_83,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_83,True,,113,113,1.0,,rosanna,rosanna,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_84,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_84,True,,113,113,1.0,,rosanna,rosanna,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_85,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_85,True,,113,113,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_86,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_86,True,,113,113,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_87,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_87,True,,113,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_88,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_88,True,,15,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_89,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_89,True,,15,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_90,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_90,True,,15,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_91,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_91,True,,150,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_92,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_92,True,,150,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_93,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_93,True,,150,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_94,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_94,True,,15,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_95,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_95,True,,15,15,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_96,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_96,True,,15,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_97,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_97,True,,150,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_98,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_98,True,,150,150,1.0,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_99,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_99,True,,30,30,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_100,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_100,True,,130,130,1.0,,rosanna,rosanna,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_101,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_101,True,,130,10,1.0,,eh,eh,,1,delight,,3,angry,,13,angry,,15,idle
d_main_22_09_102,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_102,True,,10,10,1.0,,eh,eh,,1,delight,,3,angry,,13,angry,,15,idle
d_main_22_09_103,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_103,True,,10,1,1.0,,eh,eh,,1,delight,,3,angry,,13,angry,,15,idle
d_main_22_09_104,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_104,True,,1,1,1.0,,eh,eh,,1,delight,,3,angry,,13,angry,,15,idle
d_main_22_09_105,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_105,True,,1,1,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_106,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_106,True,,1,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_107,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_107,True,,31,31,1.0,,moran,moran,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_108,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_108,False,,31,31,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_109,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_109,True,,31,31,1.0,,eh,eh,,1,idle,,3,angry,,13,angry,,15,idle
d_main_22_09_110,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_110,False,,150,1500,0.5,,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_111,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_111,True,,1500,1500,1.0,none,sakura,sakura,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_112,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_112,False,,black,black,1.0,bgm_emergency,,,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_113,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_113,False,,black,black,1.0,,,,,1,idle,,3,angry,,13,angry,,15,angry
d_main_22_09_114,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_114,False,,black,black,1.0,,,,,1,idle,,3,angry,,13,angry,,15,angry
