id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,play_sound
d_main_08_01_24,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_24,True,,3,idle,,1,void,,13,idle,,OP_leftup,delight,,2,2,1.0,,,
d_main_08_01_25,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_25,True,,3,idle,,1,void,,13,idle,,OP_leftup,idle,,2,2,1.0,,,
d_main_08_01_26,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_26,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,2,10,1.0,,,
d_main_08_01_27,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_27,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,10,10,1.0,,,
d_main_08_01_28,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_28,True,,3,idle,,1,idle,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_29,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_29,True,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_30,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_30,True,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_31,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_31,True,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_32,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_32,False,,3,idle,,1,delight,,13,idle,,OP_leftup,think,,10,10,1.0,,,
d_main_08_01_33,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_33,True,,3,idle,,1,delight,,13,idle,,OP_leftup,think,,10,10,1.0,,,
d_main_08_01_34,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_34,True,,3,idle,,1,delight,,13,idle,,OP_leftup,idle,,10,10,1.0,,,
d_main_08_01_35,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_35,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,10,10,1.0,,,
d_main_08_01_36,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_36,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,10,10,1.0,,,
d_main_08_01_37,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_37,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,10,10,1.0,,,
d_main_08_01_38,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_38,True,,3,idle,,1,idle,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_39,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_39,True,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,,10,10,1.0,,,
d_main_08_01_40,d_main_08_01,Narration,,Narration,Locale_MainScenario:d_main_08_01_40,False,,3,idle,,1,void,,13,idle,,OP_leftup,delight,,10,10,1.0,,shifty,sfx_scn_over
d_main_08_01_41,d_main_08_01,Speech,neon,neon,Locale_MainScenario:d_main_08_01_41,True,,3,idle,,1,void,,13,idle,,,,,10,12,1.0,,,
d_main_08_01_42,d_main_08_01,Monologue,,,Locale_MainScenario:d_main_08_01_42,False,,3,idle,,1,void,,13,idle,,,,,12,1,1.0,,,
d_main_08_01_43,d_main_08_01,Monologue,,,Locale_MainScenario:d_main_08_01_43,False,,3,idle,,1,void,,13,idle,,,,,1,16,2.0,,,
d_main_08_01_44,d_main_08_01,Monologue,,,Locale_MainScenario:d_main_08_01_44,False,,3,idle,,1,void,,13,idle,,,,,16,16,1.0,,,
