id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id,conversation_id
d_main_02af_04_19,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_19,True,,1,delight,,3,idle,,100,130,1.0,,,,rapi,13,idle,,,,,
d_main_02af_04_20,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_20,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_21,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_21,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_22,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_22,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_23,d_main_02af_04,Self,rapi,Self,Locale_MainScenario:d_main_02af_04_23,False,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_24,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_24,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_25,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_25,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_26,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_26,False,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_27,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_27,True,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_28,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_28,True,,1,idle,,3,idle,,130,1300,1.0,,,,,13,idle,,,,,
d_main_02af_04_29,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_29,False,,1,idle,,3,idle,,1300,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_30,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_30,True,,1,idle,,3,idle,,31,31,1.0,,,,,13,idle,,,,,
d_main_02af_04_31,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_31,True,,1,idle,,3,idle,,31,31,1.0,,,,,13,idle,,,,,
d_main_02af_04_32,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_32,False,,1,idle,,3,idle,,130,130,1.0,,,,,13,idle,,,,,
d_main_02af_04_33,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_33,True,,1,idle,,3,idle,,130,1300,1.0,,,,,13,think,,,,,
d_main_02af_04_34,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_34,True,,1,angry,,3,idle,,10,100,1.0,,,,,13,idle,,,,,
d_main_02af_04_35,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_35,False,,1,angry,,3,shy,,S_30,S_300,1.0,,,,,13,idle,,,,,
d_main_02af_04_36,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_36,True,,1,idle,,3,shy,,31,31,1.0,,,,,13,idle,,,,,
d_main_02af_04_37,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_37,True,,1,idle,,3,angry,,31,S_300,1.0,,,,,13,idle,,,,,
d_main_02af_04_38,d_main_02af_04,Self,neon,Self,Locale_MainScenario:d_main_02af_04_38,True,,1,idle,,3,angry,,S_300,S_300,1.0,,,,,13,idle,,,,,
d_main_02af_04_39,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_39,True,,1,idle,,3,angry,,S_300,100,1.0,,,,,13,idle,,,,,
d_main_02af_04_40,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_40,True,,1,idle,,3,delight,,100,S_300,1.0,,,,,13,idle,,,,,
d_main_02af_04_41,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_04_41,True,,1,idle,,3,delight,,130,130,1.0,,,,,13,idle,anis,neon,,,
d_main_02af_05_1,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_1,True,,,,,,,OutpostOut,1,1,1.0,ambient_cityforest_1,,,rapi,1,idle,,,black,,
d_main_02af_05_2,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_2,False,,,,,,,,1,1,1.0,,,,,1,idle,,,,,
d_main_02af_05_3,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_3,True,,,,,,,,1,1,1.0,,,,,1,idle,,,,,
d_main_02af_05_4,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_4,True,,,,,,,,1,1,1.0,bgm_story_weare,,,,1,idle,,,,,
d_main_02af_05_5,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_5,True,,,,,,,,1,10,1.0,,,,,1,idle,,,,,
d_main_02af_05_6,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_6,True,,,,,,,,10,10,1.0,,,,,1,idle,,,,,
d_main_02af_05_7,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_7,True,,,,,,,,10,10,1.0,,,,,1,idle,,,,,
d_main_02af_05_8,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_8,True,,,,,,,,10,10,1.0,,,,,1,idle,,,,,
d_main_02af_05_9,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_9,False,rapi_event,1,idle,,,,none,rapi_event_01,rapi_event_02,4.0,,,,,1,idle,,,,rapi,
d_main_02af_05_10,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_10,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_11,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_11,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_12,d_main_02af_04,Choice,Choice,,Locale_MainScenario:d_main_02af_05_12,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,d_main_02af_05_14,,,,,,,,
d_main_02af_05_13,d_main_02af_04,Choice,Choice,,Locale_MainScenario:d_main_02af_05_13,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,d_main_02af_05_18,,,,,,,,
d_main_02af_05_14,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_14,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_15,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_15,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_16,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_16,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_17,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_17,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,d_main_02af_05_22,,,,,,,,
d_main_02af_05_18,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_18,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_19,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_19,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_20,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_20,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_21,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_21,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,d_main_02af_05_22,,,,,,,,
d_main_02af_05_22,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_22,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,,,,,
d_main_02af_05_23,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_05_23,True,,1,idle,,,,,rapi_event_02,rapi_event_02,1.0,,,,,,,rapi_event,,,,
d_main_02af_06_1,d_main_02af_04,Monologue,,,Locale_MainScenario:d_main_02af_06_1,True,,,,,,,CommanderRoom,1,1,1.0,none,,,,,,,,black,,
d_main_02af_06_2,d_main_02af_04,Monologue,,,Locale_MainScenario:d_main_02af_06_2,True,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_3,d_main_02af_04,Narration,Narration,Narration,Locale_MainScenario:d_main_02af_06_3,True,,,,,,,,1,1,1.0,,sfx_scn_phonevibration,,,,,,,,,
d_main_02af_06_4,d_main_02af_04,Monologue,,,Locale_MainScenario:d_main_02af_06_4,True,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_5,d_main_02af_04,Monologue,,,Locale_MainScenario:d_main_02af_06_5,True,,,,,,,,1,1,1.0,,,,,,,,,,,m_main_02af_06
d_main_02af_06_6,d_main_02af_04,Monologue,,,Locale_MainScenario:d_main_02af_06_6,True,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_7,d_main_02af_04,Narration,Narration,Narration,Locale_MainScenario:d_main_02af_06_7,True,,,,,,,none,1,1,1.0,,,,,,,,,black,,
d_main_02af_06_8,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_06_8,True,,,,,,,CommanderRoom,1,1,1.0,,,,,,,,,,,
d_main_02af_06_9,d_main_02af_04,Self,Self,Self,Locale_MainScenario:d_main_02af_06_9,True,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_10,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_06_10,True,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_11,d_main_02af_04,Self,Self,Self,Locale_MainScenario:d_main_02af_06_11,False,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_02af_06_12,d_main_02af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_06_12,True,,,,,,,,1,1,1.0,,,,,,,,,,,
