id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,set_camera_shake,jump_target,play_sound
d_ex_armory_01_47,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_47,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_48,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_48,True,,1,delight,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_49,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_49,True,,1,delight,,3,idle,,10,1,0.5,,,,,,,
d_ex_armory_01_50,d_ex_armory_01,Speech,emma,unknown,Locale_SuddenStory:d_ex_armory_01_50,False,,1,delight,,3,idle,,1,1,1.0,none,,,Red,,,
d_ex_armory_01_51,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_51,True,,1,surprise,,3,sad,,1,2,0.5,bgm_story_trauma,,,,Low_2,,
d_ex_armory_01_52,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_52,True,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
d_ex_armory_01_53,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_53,False,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
d_ex_armory_01_54,d_ex_armory_01,Self,emma,,Locale_SuddenStory:d_ex_armory_01_54,False,,1,surprise,,3,sad,,2,2,1.0,,,,,,,
d_ex_armory_01_55,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_55,True,,1,worry,,3,idle,,2,10,0.3,,,,,,,
d_ex_armory_01_56,d_ex_armory_01,Self,emma,,Locale_SuddenStory:d_ex_armory_01_56,True,,1,worry,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_57,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_57,True,,1,angry,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_58,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_58,True,,1,idle,,3,idle,,10,2,1.0,,,,,,,
d_ex_armory_01_59,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_59,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_60,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_60,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_61,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_61,True,,1,delight,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_62,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_62,True,,1,delight,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_63,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_63,True,,1,idle,,3,idle,,2,10,1.0,,,,,,,
d_ex_armory_01_64,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_64,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,
d_ex_armory_01_65,d_ex_armory_01,Speech,emma,unknown,Locale_SuddenStory:d_ex_armory_01_65,False,,1,idle,,3,idle,,S_30,S_30,1.0,none,,,Red,Low_2,,sfx_scn_heavyknock
d_ex_armory_01_66,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_66,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_67,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_67,True,,1,idle,,3,sad,,2,200,0.5,,emma,vesti,,Low_2,,
d_ex_armory_01_68,d_ex_armory_01,Monologue,,,Locale_SuddenStory:d_ex_armory_01_68,True,,,,,,,none,200,200,1.0,,,,,,,sfx_scn_run
