id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,set_camera_shake
d_ex_court_05_24,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_24,True,,7,idle,,XS_70,XS_70,1.0,,rei,rei,,,,,,
d_ex_court_05_25,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_25,False,,7,idle,,XS_70,XS_70,1.0,,,,,,,,,
d_ex_court_05_26,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_26,True,,7,idle,,XS_70,XS_70,1.0,,rei,rei,,,,,,
d_ex_court_05_27,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_27,True,,7,idle,,XS_70,XS_70,1.0,,rei,rei,,,,,,
d_ex_court_05_28,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_28,True,,7,idle,,XS_70,6,1.0,,privaty,privaty,,privaty,5,idle,,
d_ex_court_05_29,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_29,False,,7,idle,,6,6,1.0,,,,,,5,idle,,
d_ex_court_05_30,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_30,True,,7,idle,,6,6,1.0,,privaty,privaty,,,5,angry,,
d_ex_court_05_31,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_31,True,,7,idle,,6,6,1.0,,privaty,privaty,,,5,angry,,
d_ex_court_05_32,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_32,False,,7,idle,,6,6,1.0,,,,,,5,angry,,
d_ex_court_05_33,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_33,True,,7,idle,,6,6,1.0,,privaty,privaty,,,5,idle,,
d_ex_court_05_34,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_34,True,,7,idle,,6,6,1.0,,privaty,privaty,,,5,idle,,
d_ex_court_05_35,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_35,True,,7,surprise,,6,6,1.0,,rei,rei,,,5,idle,,
d_ex_court_05_36,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_36,True,,7,surprise,,6,6,1.0,,rei,rei,,,5,idle,,
d_ex_court_05_37,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_37,True,,7,delight,,6,6,1.0,,rei,rei,,,5,idle,,
d_ex_court_05_38,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_38,True,,7,delight,,6,6,1.0,,rei,rei,,,5,idle,,
d_ex_court_05_39,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_39,True,,7,delight,,6,6,1.0,,privaty,privaty,,,5,idle,,
d_ex_court_05_40,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_40,True,,1,idle,,12,12,1.0,,privaty,privaty,,,13,idle,black,
d_ex_court_05_41,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_41,True,,1,idle,,12,12,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_42,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_42,True,,1,idle,,12,12,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_43,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_43,False,,1,idle,,12,12,1.0,,,,,,13,idle,,
d_ex_court_05_44,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_44,True,,1,idle,,12,S_130,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_45,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_45,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_46,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_46,False,,1,idle,,S_130,S_130,1.0,,,,,,13,idle,,
d_ex_court_05_47,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_47,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_48,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_48,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_49,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_49,True,,1,idle,,S_130,XS_10,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_50,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_50,False,,1,angry,,XS_10,XS_10,1.0,,rei,naru1,,,13,shy,,
d_ex_court_05_51,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_51,False,,1,angry,,XS_10,XS_10,1.0,,rei,naru2,,,13,shy,,
d_ex_court_05_52,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_52,False,,1,angry,,XS_10,XS_10,1.0,,rei,naru3,,,13,shy,,
d_ex_court_05_53,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_53,False,,1,angry,,12,12,1.0,,,,,,13,sad,,
d_ex_court_05_54,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_54,False,,1,angry,,12,12,1.0,,privaty,privaty,,,13,sad,,
d_ex_court_05_55,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_55,True,,1,angry,,12,12,1.0,,rei,rei,,,13,sad,,
d_ex_court_05_56,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_56,True,,1,angry,,12,12,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_57,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_57,True,,1,angry,,12,12,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_58,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_58,False,,1,idle,,12,12,1.0,,,,,,13,idle,,
d_ex_court_05_59,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_59,True,,1,idle,,12,12,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_60,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_60,False,,1,idle,,12,12,1.0,,,,,,13,idle,,
d_ex_court_05_61,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_61,False,,1,idle,,XS_10,XS_10,1.0,,rei,naru1,,,13,idle,,
d_ex_court_05_62,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_62,False,,1,idle,,XS_10,XS_10,1.0,,rei,naru2,,,13,idle,,
d_ex_court_05_63,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_63,False,,1,idle,,XS_10,XS_10,1.0,,rei,naru3,,,13,idle,,
d_ex_court_05_64,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_64,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_65,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_65,False,,1,idle,,S_130,S_130,1.0,,,,,,13,shy,,
d_ex_court_05_66,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_66,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_67,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_67,False,,1,idle,,S_130,S_130,1.0,,,,d_ex_court_05_69,,13,idle,,
d_ex_court_05_68,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_68,False,,1,idle,,S_130,S_130,1.0,,,,d_ex_court_05_69,,13,idle,,
d_ex_court_05_69,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_69,False,,1,no,,12,12,1.0,,rei,rei,,,13,surprise,,
d_ex_court_05_70,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_70,False,,1,no,,12,12,1.0,,privaty,privaty,,,13,surprise,,
d_ex_court_05_71,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_71,False,,1,no,,12,XS_10,1.0,,rei,naru1,,,13,surprise,,
d_ex_court_05_72,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_72,False,,1,no,,XS_10,XS_10,1.0,,rei,naru2,,,13,surprise,,
d_ex_court_05_73,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_73,False,,1,no,,XS_10,XS_10,1.0,,rei,naru3,,,13,surprise,,
d_ex_court_05_74,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_74,False,,1,no,,XS_10,XS_10,1.0,,,,,,13,surprise,,
d_ex_court_05_75,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_75,True,,1,no,,13,13,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_76,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_76,False,,1,no,,13,13,1.0,,,,,,13,shy,,
d_ex_court_05_77,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_77,True,,1,no,,13,S_130,1.0,,privaty,privaty,,,13,idle,,
d_ex_court_05_78,d_ex_court_05,Monologue,Locale_SuddenStory:d_ex_court_05_78,False,,1,idle,,black,black,1.0,,,,,,13,idle,,
d_ex_court_05_79,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_79,True,,1,angry,,12,12,1.0,,rei,rei,,,13,idle,,
d_ex_court_05_80,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_80,True,,1,angry,,12,12,1.0,,rei,rei,,,13,idle,,
d_ex_court_05_81,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_81,False,,1,angry,,12,12,1.0,,,,,,13,idle,,
d_ex_court_05_82,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_82,False,,1,angry,,12,12,1.0,,,,,,13,idle,,
d_ex_court_05_83,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_83,True,,1,angry,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_84,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_84,True,,1,angry,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_85,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_85,True,,1,angry,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_86,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_86,True,,1,angry,,12,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_87,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_87,True,,1,surprise,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_88,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_88,False,,1,surprise,,XS_10,XS_10,1.0,,rei,naru1,,,13,angry,,
d_ex_court_05_89,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_89,True,,1,angry,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_90,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_90,True,,1,angry,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_91,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_91,True,,1,angry,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_92,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_92,False,,1,angry,,XS_10,XS_10,1.0,,,,,,13,angry,,
d_ex_court_05_93,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_93,True,,1,surprise,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_94,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_94,True,,1,idle,,XS_10,XS_10,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_95,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_95,True,,1,idle,,XS_10,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_96,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_96,True,,1,idle,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_97,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_97,False,,1,surprise,,12,12,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_98,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_98,True,,1,surprise,,12,12,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_99,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_99,True,,1,surprise,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_100,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_100,True,,1,surprise,,12,12,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_101,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_101,False,,1,surprise,,12,12,1.0,,,,,,13,angry,,
d_ex_court_05_102,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_102,True,,1,surprise,,12,12,1.0,,rei,rei,,,13,angry,,
d_ex_court_05_103,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_103,True,,1,surprise,,12,12,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_104,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_104,True,,1,surprise,,12,12,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_105,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_105,False,,1,surprise,,12,12,1.0,,,,,,13,shy,,
d_ex_court_05_106,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_106,False,,1,surprise,,S_130,S_130,1.0,,privaty,privaty,,,13,sad,,
d_ex_court_05_107,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_107,False,,1,surprise,,S_130,S_130,1.0,,,,,,13,sad,,
d_ex_court_05_108,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_108,False,,1,no,,XS_10,XS_100,1.0,,rei,rei,,,13,sad,,Low_2
d_ex_court_05_109,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_109,True,,1,no,,XS_100,XS_100,1.0,,rei,rei,,,13,sad,,
d_ex_court_05_110,d_ex_court_05,Narration,Locale_SuddenStory:d_ex_court_05_110,False,,1,no,,XS_100,XS_100,1.0,,,,,,13,sad,,
d_ex_court_05_111,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_111,True,,1,idle,,XS_100,XS_10,1.0,,rei,rei,,,13,sad,,
d_ex_court_05_112,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_112,False,,1,idle,,XS_10,S_130,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_113,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_113,True,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,angry,,
d_ex_court_05_114,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_114,False,,1,idle,,S_130,S_130,1.0,,,,,,13,angry,,
d_ex_court_05_115,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_115,False,,1,idle,,S_130,S_130,1.0,,,,,,13,angry,,
d_ex_court_05_116,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_116,False,,1,idle,,S_130,S_130,1.0,,privaty,privaty,,,13,shy,,
d_ex_court_05_117,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_117,True,,1,idle,,S_1300,S_1300,1.0,,privaty,privaty,,,13,surprise,,
d_ex_court_05_118,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_118,True,,1,idle,,S_1300,S_1300,1.0,,privaty,privaty,,,13,surprise,,
d_ex_court_05_119,d_ex_court_05,Monologue,Locale_SuddenStory:d_ex_court_05_119,False,,1,idle,,black,black,1.0,,,,,,13,surprise,,
d_ex_court_05_120,d_ex_court_05,Monologue,Locale_SuddenStory:d_ex_court_05_120,False,,1,idle,,black,black,1.0,,,,,,13,surprise,,
