id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target
d_ex_hotel_02_23,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_23,False,,1,no,,13,idle,,1,1,1.0,,,,
d_ex_hotel_02_24,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_24,True,,1,idle,,13,idle,,1,XS_10,1.0,,,,
d_ex_hotel_02_25,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_25,True,,1,angry,,13,idle,,XS_10,XS_10,1.0,,,Low_2,
d_ex_hotel_02_26,d_ex_hotel_02,Monologue,,,Locale_SuddenStory:d_ex_hotel_02_26,False,,1,angry,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_27,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_27,True,,1,no,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_28,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_28,True,,1,no,,13,delight,,XS_10,L_130,1.0,bgm_story_leisuretime,,,
d_ex_hotel_02_29,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_29,True,,1,no,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_30,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_30,True,,1,idle,,13,delight,,L_130,113,1.0,,,,
d_ex_hotel_02_31,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_31,True,,1,idle,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_32,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_32,False,,1,idle,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_33,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_33,True,,1,idle,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_34,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_34,False,,1,sorrow,,13,idle,,113,XS_10,1.0,,,,
d_ex_hotel_02_35,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_35,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_36,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_36,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_37,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_37,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_39,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_39,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_remotesignal,,
d_ex_hotel_02_40,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_40,False,,1,idle,,13,idle,Office,black,black,1.0,,sfx_scn_autodooropen,,
d_ex_hotel_02_41,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_41,False,,1,idle,,13,idle,,L_170,L_170,1.0,,,,
d_ex_hotel_02_42,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_42,True,,1,idle,,13,delight,,L_170,L_130,1.0,,,,
d_ex_hotel_02_43,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_43,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_44,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_44,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_45,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_45,True,,1,delight,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_46,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_46,False,,1,delight,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_47,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_47,True,,1,delight,,13,delight,,XS_10,XS_100,1.0,,,,
d_ex_hotel_02_48,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_48,False,,1,delight,,13,delight,,XS_100,L_1300,1.0,,,,
d_ex_hotel_02_49,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_49,True,,1,delight,,13,delight,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_50,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_50,True,,1,delight,,13,delight,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_51,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_51,True,,1,delight,,13,delight,,L_1300,113,1.0,,,,
d_ex_hotel_02_52,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_52,True,,1,delight,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_53,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_53,True,,1,delight,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_54,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_54,False,,1,idle,,13,delight,,113,113,1.0,,sfx_scn_knock,,
d_ex_hotel_02_55,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_55,True,,1,idle,,13,idle,,113,113,1.0,,,,
d_ex_hotel_02_56,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_56,True,,1,idle,,13,idle,,113,113,1.0,,,,
d_ex_hotel_02_57,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_57,True,,1,idle,,13,idle,,113,113,1.0,,,,
d_ex_hotel_02_58,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_58,False,,1,idle,,13,idle,Corridor,113,17,1.0,none,sfx_scn_autodooropen,,
d_ex_hotel_02_59,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_59,True,,1,idle,,13,idle,,17,17,1.0,,,,
d_ex_hotel_02_60,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_60,True,,1,idle,,13,idle,Office,17,L_130,1.0,,,,
d_ex_hotel_02_61,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_61,False,,1,idle,,13,idle,,L_130,L_130,1.0,,,,
d_ex_hotel_02_62,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_62,True,,1,idle,,13,idle,,L_130,L_130,1.0,,,,
d_ex_hotel_02_63,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_63,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_64,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_64,True,,1,idle,,13,idle,,L_130,L_130,1.0,,,,
d_ex_hotel_02_65,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_65,True,,1,idle,,13,idle,,L_130,L_1300,1.0,bgm_story_leisuretime,,,
d_ex_hotel_02_66,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_66,False,,1,idle,,13,idle,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_67,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_67,True,,1,idle,,13,idle,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_68,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_68,True,,1,no,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_69,d_ex_hotel_02,Choice,,,Locale_SuddenStory:d_ex_hotel_02_69,False,,1,no,,13,idle,,XS_10,XS_10,1.0,,,,d_ex_hotel_02_71
d_ex_hotel_02_70,d_ex_hotel_02,Choice,,,Locale_SuddenStory:d_ex_hotel_02_70,False,,1,no,,13,idle,,XS_10,XS_10,1.0,,,,d_ex_hotel_02_71
d_ex_hotel_02_71,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_71,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_72,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_72,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_73,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_73,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_74,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_74,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_75,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_75,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_76,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_76,True,,1,idle,,13,delight,,XS_10,113,1.0,,,,
d_ex_hotel_02_77,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_77,True,,1,delight,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_78,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_78,True,,1,delight,,13,delight,,113,113,1.0,,,,
d_ex_hotel_02_79,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_79,False,,1,delight,,13,idle,,black,black,1.0,,,,
d_ex_hotel_02_80,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_80,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_81,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_81,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_82,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_82,False,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_83,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_83,True,,1,idle,,13,delight,,L_130,L_1300,0.5,,,,
d_ex_hotel_02_84,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_84,False,,1,idle,,13,idle,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_85,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_85,False,,1,idle,,13,idle,,L_1300,L_1300,1.0,,sfx_scn_knock,,
d_ex_hotel_02_86,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_86,False,,1,idle,,13,idle,,L_1300,L_130,0.5,,,,
d_ex_hotel_02_87,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_87,True,,1,idle,,13,idle,,L_130,L_130,1.0,,,,
d_ex_hotel_02_88,d_ex_hotel_02,Narration,,,Locale_SuddenStory:d_ex_hotel_02_88,False,,1,idle,,13,idle,Corridor,L_130,L_170,1.0,,sfx_scn_autodooropen,,
d_ex_hotel_02_89,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_89,True,,1,idle,,13,idle,,L_170,L_170,1.0,,,,
d_ex_hotel_02_90,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_90,True,,1,idle,,13,idle,Office,L_170,L_130,1.0,,,,
d_ex_hotel_02_91,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_91,True,,1,idle,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_92,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_92,True,,1,no,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_93,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_93,True,,1,idle,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_94,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_94,True,,1,idle,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_95,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_95,True,,1,idle,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_96,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_96,True,,1,idle,,13,surprise,,L_130,L_130,1.0,,,,
d_ex_hotel_02_97,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_97,True,,1,idle,,13,surprise,,L_130,L_130,1.0,,,,
d_ex_hotel_02_98,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_98,True,,1,idle,,13,idle,,L_130,L_1300,1.0,,,,
d_ex_hotel_02_99,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_99,True,,1,idle,,13,idle,,L_1300,L_1300,1.0,,,,
d_ex_hotel_02_100,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_100,True,,1,delight,,13,idle,,XS_100,XS_100,1.0,,,,
d_ex_hotel_02_101,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_101,True,,1,delight,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_102,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_102,False,,1,delight,,13,delight,,L_130,L_130,1.0,,,,
d_ex_hotel_02_103,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_103,True,,1,angry,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_104,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_104,True,,1,delight,,13,delight,,XS_10,XS_10,1.0,,,,
d_ex_hotel_02_105,d_ex_hotel_02,Monologue,,,Locale_SuddenStory:d_ex_hotel_02_105,False,,1,delight,,13,delight,,black,black,1.0,,,,
