id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,fade,characters/3/hide_char_id
d_main_22_01_s_28,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_28,True,,15,idle,,17,void,,19,idle,,150,170,1.0,,,,,,,,,,
d_main_22_01_s_29,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_29,False,,15,idle,,17,void,,19,idle,,170,170,1.0,,,,,,,,,,
d_main_22_01_s_30,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_30,False,,15,idle,,17,void,,19,idle,,170,170,1.0,,,,,,,,,,
d_main_22_01_s_31,d_main_22_01_s,Speech,neon,neon,Locale_MainScenario:d_main_22_01_s_31,True,,15,idle,,17,angry,,19,idle,,170,1719,1.0,,,,,,,,,,
d_main_22_01_s_32,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_32,True,,15,idle,,17,void,,19,idle,,1719,1719,1.0,,,,,,,,,,
d_main_22_01_s_33,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_33,True,,15,idle,,17,idle,,19,idle,,1719,1719,1.0,,,,,,,,,,
d_main_22_01_s_34,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_34,True,,15,idle,,17,idle,,19,idle,,1719,15,1.0,,,,,,,,,,
d_main_22_01_s_35,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_35,True,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,
d_main_22_01_s_36,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_36,True,,15,idle,,17,idle,,19,idle,,15,150,1.0,,,,,,,,,,
d_main_22_01_s_37,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_37,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_38,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_38,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_39,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_39,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_40,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_40,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_41,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_41,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_42,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_42,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_43,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_43,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_44,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_44,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_45,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_45,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,
d_main_22_01_s_46,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_46,True,,15,idle,,17,idle,,19,idle,,150,1517,1.0,,,,,,,,,,
d_main_22_01_s_47,d_main_22_01_s,Speech,neon,neon,Locale_MainScenario:d_main_22_01_s_47,True,,15,idle,,17,idle,,19,idle,,1517,1719,1.0,,,,,,,,,,
