id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_command_04_26,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_26,True,,1,sad,,1,2,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_27,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_27,True,,1,idle,,2,2,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_28,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_28,True,,1,idle,,2,30,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_29,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_29,True,,1,idle,,30,30,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_30,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_30,False,,1,sad,,30,S_10,2.0,,,,,,3,angry,,5,idle
d_ex_command_04_31,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_31,True,,1,idle,,S_10,S_10,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_32,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_32,True,,1,idle,,S_10,S_10,1.0,,,,,,3,angry,,5,idle
d_ex_command_04_33,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_33,True,,1,idle,,30,30,1.0,,,,,,3,idle,,5,idle
d_ex_command_04_34,d_ex_command_04,Monologue,frima,Monologue,Locale_SuddenStory:d_ex_command_04_34,False,,1,idle,,black,black,1.0,none,,,,,3,idle,,5,idle
d_ex_command_04_35,d_ex_command_04,Narration,frima,Narration,Locale_SuddenStory:d_ex_command_04_35,False,,1,idle,,black,black,1.0,,,,,,3,think,,5,idle
d_ex_command_04_36,d_ex_command_04,Monologue,frima,Monologue,Locale_SuddenStory:d_ex_command_04_36,False,,1,idle,,30,30,1.0,,,,,,3,think,,5,idle
d_ex_command_04_37,d_ex_command_04,Monologue,frima,Monologue,Locale_SuddenStory:d_ex_command_04_37,False,,1,idle,,30,30,1.0,,,,,,3,think,,5,idle
d_ex_command_04_38,d_ex_command_04,Monologue,frima,Monologue,Locale_SuddenStory:d_ex_command_04_38,False,,1,idle,,30,30,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_39,d_ex_command_04,Monologue,frima,Monologue,Locale_SuddenStory:d_ex_command_04_39,False,,1,idle,,30,30,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_40,d_ex_command_04,Speech,frima,frima,Locale_SuddenStory:d_ex_command_04_40,True,,1,idle,,30,3,0.5,bgm_story_whosdumber,,,,,3,sleep_02,,5,idle
d_ex_command_04_41,d_ex_command_04,Self,frima,Self,Locale_SuddenStory:d_ex_command_04_41,False,,1,idle,,3,3,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_42,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_42,False,,1,sad,,3,S_10,0.3,,,,,,3,sleep_02,,5,idle
d_ex_command_04_43,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_43,True,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_44,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_44,True,,1,idle,,S_10,1,2.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_45,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_45,True,,1,delight,,1,1,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_46,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_46,True,,1,delight,,1,2,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_47,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_47,True,,1,delight,,2,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_48,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_48,True,,1,idle,,5,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_49,d_ex_command_04,Self,neve,Self,Locale_SuddenStory:d_ex_command_04_49,False,,1,idle,,5,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_50,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_50,True,,1,idle,,5,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_51,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_51,True,,1,idle,,5,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_52,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_52,True,,1,idle,,5,5,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_53,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_53,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_54,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_54,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_55,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_55,True,,1,idle,,50,50,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_56,d_ex_command_04,Monologue,neve,Monologue,Locale_SuddenStory:d_ex_command_04_56,False,,1,idle,,black,black,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_57,d_ex_command_04,Narration,neve,Narration,Locale_SuddenStory:d_ex_command_04_57,False,,1,idle,,black,black,1.0,,,,,,3,sleep_02,,5,idle
d_ex_command_04_58,d_ex_command_04,Monologue,neve,Monologue,Locale_SuddenStory:d_ex_command_04_58,False,,1,idle,,50,50,1.0,,,,,,3,sleep_02,,5,sad
d_ex_command_04_59,d_ex_command_04,Monologue,neve,Monologue,Locale_SuddenStory:d_ex_command_04_59,False,,1,idle,,50,50,1.0,,,,,,3,sleep_02,,5,sad
d_ex_command_04_60,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_60,True,,1,idle,,50,50,1.0,,,,,,3,sleep_02,,5,sad
d_ex_command_04_61,d_ex_command_04,Monologue,neve,Monologue,Locale_SuddenStory:d_ex_command_04_61,False,,1,idle,,50,50,1.0,,,,,,3,sleep_02,,5,sad
d_ex_command_04_62,d_ex_command_04,Speech,neve,neve,Locale_SuddenStory:d_ex_command_04_62,False,,1,idle,,50,5,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_63,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_63,False,,1,sad,,1,S_10,0.3,,,,,,3,sleep_02,,5,good
d_ex_command_04_64,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_64,True,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_65,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_65,True,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_66,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_66,False,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_67,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_67,False,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_68,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_68,False,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_69,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_69,True,,1,sad,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_70,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_70,True,,1,sad,,S_10,1,2.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_71,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_71,True,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_72,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_72,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_73,d_ex_command_04,Choice,ether,,Locale_SuddenStory:d_ex_command_04_73,False,,1,idle,,1,1,1.0,,d_ex_command_04_75,,,,3,sleep_02,,5,good
d_ex_command_04_74,d_ex_command_04,Choice,ether,,Locale_SuddenStory:d_ex_command_04_74,False,,1,idle,,1,1,1.0,,d_ex_command_04_77,,,,3,sleep_02,,5,good
d_ex_command_04_75,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_75,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_76,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_76,True,,1,idle,,1,1,1.0,,d_ex_command_04_79,,,,3,sleep_02,,5,good
d_ex_command_04_77,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_77,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_78,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_78,True,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_79,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_79,False,,1,idle,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_80,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_80,False,,1,idle,,black,black,1.0,bgm_story_fairytalesend_a,,,,,3,sleep_02,,5,good
d_ex_command_04_81,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_81,True,,1,idle,,1,S_10,2.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_82,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_82,False,,1,idle,,black,black,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_83,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_83,False,,1,idle,,black,black,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_84,d_ex_command_04,Narration,ether,Narration,Locale_SuddenStory:d_ex_command_04_84,False,,1,idle,,black,black,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_85,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_85,False,,1,idle,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_86,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_86,False,,1,idle,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_87,d_ex_command_04,Monologue,ether,Monologue,Locale_SuddenStory:d_ex_command_04_87,False,,1,idle,,S_10,S_10,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_88,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_88,False,,1,idle,,S_10,1,2.0,none,,,,,3,sleep_02,,5,good
d_ex_command_04_89,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_89,True,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_90,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_90,True,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_91,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_91,True,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_92,d_ex_command_04,Speech,ether,ether,Locale_SuddenStory:d_ex_command_04_92,True,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_93,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_93,False,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
d_ex_command_04_94,d_ex_command_04,Self,ether,Self,Locale_SuddenStory:d_ex_command_04_94,False,,1,sad,,1,1,1.0,,,,,,3,sleep_02,,5,good
