id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/1/hide_char_id,effects/0/stop_effect_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,play_sound
d_ex_tower_04_20,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_20,True,,,,,500,50,0.5,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_21,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_21,True,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_22,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_22,True,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_23,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_23,True,novel,1,think,Police,black,black,1.0,none,novel,novel,,,,5,idle,,,,guilty,fx_Eventscene_camera_recording,,,,,,,,,
d_ex_tower_04_24,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_24,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_25,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_25,True,,1,think,,S_10,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_26,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_26,False,,1,think,,S_100,S_100,1.0,bgm_story_herecomestrouble,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_27,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_27,False,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_28,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_28,True,,1,think,,S_100,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_29,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_29,False,,1,think,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_30,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_30,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_31,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_31,False,,1,think,,S_10,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_32,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_32,True,,1,think,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_33,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_33,True,,1,think,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_34,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_34,True,,1,delight,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_35,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_35,False,,1,delight,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_36,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_36,True,,1,think,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_37,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_37,True,,1,think,,S_100,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_38,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_38,True,,1,think,NikkeRoom,black,black,1.0,,sin,sin,,novel,sin,15,smile,,,,,,anis,17,angry,neon,19,worry,,,
d_ex_tower_04_39,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_39,True,,,,,170,170,1.0,,anis,anis,,,,15,smile,fx_Eventscene_camera_recording,rec,True,,,,17,angry,,19,worry,,,
d_ex_tower_04_40,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_40,True,,,,,170,170,1.0,,anis,anis,,,,15,smile,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_41,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_41,True,,,,,170,150,1.0,,sin,sin,,,,15,smile,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_42,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_42,True,,,,,150,150,1.0,,sin,sin,,,,15,smile,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_43,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_43,True,,,,,S_190,S_190,1.0,,neon,neon,,,,15,smile,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_44,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_44,True,,,,,S_190,S_190,1.0,,neon,neon,,,,15,smile,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_45,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_45,True,,,,,150,150,1.0,,sin,sin,,,,15,idle,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_46,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_46,True,,,,,150,150,1.0,,sin,sin,,,,15,idle,,,,,,,17,angry,,19,worry,,,
d_ex_tower_04_48,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_48,False,novel,1,think,Police,black,black,1.0,,,,,,,15,idle,,,,sin,fx_Eventscene_camera_recording,,17,angry,,19,worry,anis,neon,
d_ex_tower_04_49,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_49,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_50,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_50,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_51,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_51,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_52,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_52,False,,1,think,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_53,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_53,False,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_54,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_54,False,,1,think,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_55,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_55,True,,1,pain,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_56,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_56,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_57,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_57,True,,1,think,,S_10,S_100,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_58,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_58,False,,1,think,,S_100,S_100,1.0,,,,d_ex_tower_04_60,,,,,,,,,,,,,,,,,,
d_ex_tower_04_59,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_59,False,,1,think,,S_100,S_100,1.0,,,,d_ex_tower_04_60,,,,,,,,,,,,,,,,,,
d_ex_tower_04_60,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_60,True,,1,think,,S_100,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_61,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_61,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_62,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_62,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_63,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_63,False,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_64,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_64,True,,1,think,,S_10,1,1.0,none,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_65,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_65,False,,1,think,,1,1,1.0,,,,,novel,,,,,,,,,,,,,,,,,
d_ex_tower_04_66,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_66,False,,,,,1,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_67,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_67,False,,,,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_68,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_68,False,,,,,10,10,1.0,,,,d_ex_tower_04_70,,,,,,,,,,,,,,,,,,
d_ex_tower_04_69,d_ex_tower_04,Choice,Locale_SuddenStory:d_ex_tower_04_69,False,,,,,10,10,1.0,,,,d_ex_tower_04_78,,,,,,,,,,,,,,,,,,
d_ex_tower_04_70,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_70,False,,,,NikkeRoom,10,50,1.0,,,,,,guilty,5,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,,
d_ex_tower_04_71,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_71,True,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_72,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_72,True,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_73,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_73,True,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_74,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_74,False,,,,,50,50,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_75,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_75,True,,,,,50,500,0.5,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_76,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_76,True,,,,,500,500,1.0,,guilty,guilty,,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_77,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_77,True,,,,,500,500,1.0,,guilty,guilty,d_ex_tower_04_85,,,5,idle,,,,,,,,,,,,,,
d_ex_tower_04_78,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_78,False,,,,NikkeRoom,10,130,1.0,,,,,,,5,idle,fx_Eventscene_camera_recording,rec,True,,,sin,13,idle,neon,15,no,,,
d_ex_tower_04_79,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_79,True,,,,,S_150,S_150,1.0,,neon,neon,,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_80,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_80,True,,,,,130,130,1.0,,sin,sin,,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_81,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_81,False,,,,,130,130,1.0,,sin,sin,,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_82,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_82,True,,,,,130,13,0.5,,sin,sin,,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_83,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_83,True,,,,,13,13,1.0,,sin,sin,,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_84,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_84,True,,,,,13,13,1.0,,sin,sin,d_ex_tower_04_85,,,5,idle,,,,,,,13,idle,,15,no,,,
d_ex_tower_04_85,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_85,False,,,,Police,black,black,1.0,,,,,,,5,idle,,,,guilty,fx_Eventscene_camera_recording,,13,idle,,15,no,sin,neon,
d_ex_tower_04_86,d_ex_tower_04,Narration,Locale_SuddenStory:d_ex_tower_04_86,False,,,,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,sfx_scn_remotesignal
d_ex_tower_04_87,d_ex_tower_04,Monologue,Locale_SuddenStory:d_ex_tower_04_87,False,,,,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_88,d_ex_tower_04,Narration,Locale_SuddenStory:d_ex_tower_04_88,False,,,,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,sfx_scn_autodooropen
d_ex_tower_04_89,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_89,True,novel,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_90,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_90,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_91,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_91,True,,1,think,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_92,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_92,False,,1,think,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_93,d_ex_tower_04,Speech,Locale_SuddenStory:d_ex_tower_04_93,True,,1,pain,,S_10,S_10,1.0,,novel,novel,,,,,,,,,,,,,,,,,,,
d_ex_tower_04_94,d_ex_tower_04,Self,Locale_SuddenStory:d_ex_tower_04_94,False,,1,pain,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
