id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,jump_target
d_ex_goddessofvictory_06_12,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_12,True,,5,idle,,3,surprise,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_13,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_13,True,,5,idle,,3,idle,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_14,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_14,True,,5,angry,,3,idle,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_15,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_15,True,,5,angry,,3,idle,,1,worry,,10,10,1.0,,,,
d_ex_goddessofvictory_06_16,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_16,True,,5,angry,,3,sad2,,1,worry,,30,300,0.5,,,,
d_ex_goddessofvictory_06_17,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_17,True,,5,angry,,3,sad2,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_18,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_18,True,,5,angry,,3,sad2,,1,worry,,10,10,1.0,,,,
d_ex_goddessofvictory_06_19,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_19,True,,5,angry,,3,sad2,,1,worry,,10,10,1.0,,,,
d_ex_goddessofvictory_06_20,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_20,False,,5,angry,,3,sad2,,1,worry,,10,3,1.0,,,,
d_ex_goddessofvictory_06_21,d_ex_goddessofvictory_06,Self,,Self,Locale_SuddenStory:d_ex_goddessofvictory_06_21,False,,5,angry,,3,delight,,1,worry,,3,3,1.0,,,,
d_ex_goddessofvictory_06_22,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_22,True,,5,shy,,3,delight,,1,shy,,5,5,1.0,,,,
d_ex_goddessofvictory_06_23,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_23,True,,5,shy,,3,delight,,1,shy,,10,10,1.0,,,,
d_ex_goddessofvictory_06_24,d_ex_goddessofvictory_06,Narration,,Narration,Locale_SuddenStory:d_ex_goddessofvictory_06_24,False,,5,shy,,3,delight,,1,shy,,10,100,1.0,,,,
d_ex_goddessofvictory_06_25,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_25,True,,5,shy,,3,delight,,1,shy,,100,100,1.0,,,,
d_ex_goddessofvictory_06_26,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_26,True,,5,shy,,3,delight,,1,delight,,3,3,1.0,,,,
d_ex_goddessofvictory_06_27,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_27,True,,5,shy,,3,delight,,1,delight,,3,3,1.0,,,,
d_ex_goddessofvictory_06_28,d_ex_goddessofvictory_06,Self,,Self,Locale_SuddenStory:d_ex_goddessofvictory_06_28,False,,5,shy,,3,delight,,1,delight,,3,3,1.0,,,,
d_ex_goddessofvictory_06_29,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_29,True,,5,idle,,3,idle,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_30,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_30,True,,5,idle,,3,idle,,1,idle,,3,53,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_31,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_31,True,,5,idle,,3,idle,,1,idle,,53,53,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_32,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_32,True,,5,idle,,3,idle,,1,idle,,53,31,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_33,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_33,True,,5,idle,,3,idle,,1,idle,,31,10,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_34,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_34,True,,5,idle,,3,idle,,1,delight,,10,100,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_35,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_35,True,,5,idle,,3,idle,,1,shy,,100,100,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_36,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_36,True,,5,idle,,3,idle,,1,shy,,100,100,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_37,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_37,True,,5,idle,,3,idle,,1,shy,,100,100,1.0,,Grey,Vignetting,
d_ex_goddessofvictory_06_38,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_38,True,,5,idle,,3,angry,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_39,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_39,True,,5,idle,,3,angry,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_40,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_40,True,,5,idle,,3,angry,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_41,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_41,True,,5,idle,,3,angry,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_42,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_42,True,,5,idle,,3,sad2,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_43,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_43,True,,5,idle,,3,sad2,,1,think,,10,10,1.0,,,,
d_ex_goddessofvictory_06_44,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_44,True,,5,idle,,3,sad2,,1,idle,,10,10,1.0,,,,
d_ex_goddessofvictory_06_45,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_45,True,,5,idle,,3,sad2,,1,idle,,10,10,1.0,,,,
d_ex_goddessofvictory_06_46,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_46,True,,5,idle,,3,sad2,,1,idle,,10,10,1.0,,,,
d_ex_goddessofvictory_06_47,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_47,True,,5,idle,,3,sad2,,1,delight,,10,100,1.0,,,,
d_ex_goddessofvictory_06_48,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_48,True,,5,shy,,3,sad2,,1,idle,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_49,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_49,True,,5,shy,,3,sad2,,1,idle,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_50,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_50,True,,5,shy,,3,sad2,,1,idle,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_51,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_51,True,,5,shy,,3,sad2,,1,idle,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_52,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_52,True,,5,shy,,3,sad2,,1,idle,,S_50,S_500,1.0,,,,
d_ex_goddessofvictory_06_53,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_53,True,,5,idle,,3,angry,,1,idle,,30,30,1.0,,,,
d_ex_goddessofvictory_06_54,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_54,True,,5,idle,,3,angry,,1,idle,,30,30,1.0,,,,
d_ex_goddessofvictory_06_55,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_55,True,,5,idle,,3,idle,,1,idle,,30,30,1.0,,,,
d_ex_goddessofvictory_06_56,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_56,True,,5,idle,,3,idle,,1,idle,,30,30,1.0,,,,
d_ex_goddessofvictory_06_57,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_57,True,,5,idle,,3,idle,,1,idle,,30,30,1.0,,,,
d_ex_goddessofvictory_06_58,d_ex_goddessofvictory_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_06_58,False,,5,shy,,3,idle,,1,delight,,black,black,1.0,,,,
d_ex_goddessofvictory_06_59,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_59,True,,5,shy,,3,idle,,1,delight,,300,300,1.0,,,,
d_ex_goddessofvictory_06_60,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_60,True,,5,shy,,3,idle,,1,delight,,S_500,S_500,1.0,,,,
d_ex_goddessofvictory_06_61,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_61,True,,5,shy,,3,idle,,1,delight,,100,100,1.0,,,,
d_ex_goddessofvictory_06_62,d_ex_goddessofvictory_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_06_62,False,,5,shy,,3,idle,,1,delight,,100,3,2.0,,,,
d_ex_goddessofvictory_06_63,d_ex_goddessofvictory_06,Choice,,,Locale_SuddenStory:d_ex_goddessofvictory_06_63,False,,5,shy,,3,idle,,1,delight,,3,3,1.0,,,,d_ex_goddessofvictory_06_66
d_ex_goddessofvictory_06_64,d_ex_goddessofvictory_06,Choice,,,Locale_SuddenStory:d_ex_goddessofvictory_06_64,False,,5,shy,,3,idle,,1,delight,,3,3,1.0,,,,d_ex_goddessofvictory_06_74
d_ex_goddessofvictory_06_65,d_ex_goddessofvictory_06,Choice,,,Locale_SuddenStory:d_ex_goddessofvictory_06_65,False,,5,shy,,3,idle,,1,delight,,3,3,1.0,,,,d_ex_goddessofvictory_06_81
d_ex_goddessofvictory_06_66,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_66,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_67,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_67,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_68,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_68,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_69,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_69,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_70,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_70,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_71,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_71,True,,5,sad,,3,angry,,1,delight,,10,10,1.0,,,,
d_ex_goddessofvictory_06_72,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_72,True,,5,sad,,3,angry,,1,delight,,10,53,1.0,,,,
d_ex_goddessofvictory_06_73,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_73,True,,5,sad,,3,angry,,1,delight,,53,53,1.0,,,,d_ex_goddessofvictory_06_88
d_ex_goddessofvictory_06_74,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_74,True,,5,surprise,,3,angry,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_75,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_75,True,,5,delight,,3,angry,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_76,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_76,True,,5,delight,,3,angry,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_77,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_77,True,,5,delight,,3,angry,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_78,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_78,True,,5,delight,,3,angry,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_79,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_79,True,,5,delight,,3,angry,,1,worry,,S_50,31,1.0,,,,
d_ex_goddessofvictory_06_80,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_80,True,,5,delight,,3,angry,,1,worry,,31,31,1.0,,,,d_ex_goddessofvictory_06_88
d_ex_goddessofvictory_06_81,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_81,True,,5,sad,,3,idle2,,1,worry,,3,30,1.0,,,,
d_ex_goddessofvictory_06_82,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_82,True,,5,sad,,3,idle2,,1,worry,,30,30,1.0,,,,
d_ex_goddessofvictory_06_83,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_83,True,,5,sad,,3,idle2,,1,worry,,30,30,1.0,,,,
d_ex_goddessofvictory_06_84,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_84,True,,5,sad,,3,idle2,,1,worry,,30,30,1.0,,,,
d_ex_goddessofvictory_06_85,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_85,True,,5,sad,,3,idle2,,1,worry,,30,30,1.0,,,,
d_ex_goddessofvictory_06_86,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_86,True,,5,sad,,3,idle2,,1,worry,,S_50,S_50,1.0,,,,
d_ex_goddessofvictory_06_87,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_87,True,,5,sad,,3,idle2,,1,worry,,10,10,1.0,,,,d_ex_goddessofvictory_06_88
d_ex_goddessofvictory_06_88,d_ex_goddessofvictory_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_06_88,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,
d_ex_goddessofvictory_06_89,d_ex_goddessofvictory_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_06_89,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,
