id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound
d_ex_workshop_05_23,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_23,True,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_24,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_24,False,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_25,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_25,True,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_26,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_26,True,,1,cry,,12,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_27,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_27,True,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_28,d_ex_workshop_05,Choice,,,Locale_SuddenStory:d_ex_workshop_05_28,False,,1,cry,,XS_10,XS_10,1.0,,,13,idle,d_ex_workshop_05_32,
d_ex_workshop_05_29,d_ex_workshop_05,Choice,,,Locale_SuddenStory:d_ex_workshop_05_29,False,,1,cry,,XS_10,XS_10,1.0,,,13,idle,d_ex_workshop_05_30,
d_ex_workshop_05_30,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_30,True,,1,no,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_31,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_31,False,,1,no,,XS_10,XS_10,1.0,,,13,idle,d_ex_workshop_05_32,
d_ex_workshop_05_32,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_32,True,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_33,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_33,True,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_34,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_34,True,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_35,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_35,True,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_36,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_36,False,,1,cry,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_37,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_37,False,,1,cry,,XS_10,L_130,1.0,,,13,idle,,
d_ex_workshop_05_38,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_38,True,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_39,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_39,True,,1,cry,,L_130,L_130,1.0,,,13,idle,,
d_ex_workshop_05_40,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_40,True,,1,cry,,L_130,L_130,1.0,,,13,idle,,
d_ex_workshop_05_41,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_41,True,,1,cry,,L_130,12,1.0,,,13,idle,,
d_ex_workshop_05_42,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_42,False,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_43,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_43,False,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_44,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_44,True,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_45,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_45,False,,1,cry,,12,12,1.0,,,13,idle,,sfx_scn_remotesignal
d_ex_workshop_05_46,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_46,False,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_47,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_47,True,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_48,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_48,True,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_49,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_49,False,,1,cry,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_50,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_50,True,,1,cry,,12,L_130,1.0,,,13,idle,,
d_ex_workshop_05_51,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_51,False,,1,cry,,black,black,1.0,,,13,idle,,sfx_scn_drill
d_ex_workshop_05_52,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_52,False,,1,cry,,black,black,1.0,,,13,idle,,sfx_scn_metalpartsassemble
d_ex_workshop_05_53,d_ex_workshop_05,Monologue,,,Locale_SuddenStory:d_ex_workshop_05_53,False,,1,cry,,black,black,1.0,,,13,idle,,
d_ex_workshop_05_54,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_54,False,,1,cry,,black,black,1.0,,,13,idle,,sfx_scn_windowclacks
d_ex_workshop_05_55,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_55,False,,1,cry,,black,black,1.0,,,13,idle,,sfx_scn_drill
d_ex_workshop_05_56,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_56,False,,1,cry,,black,black,1.0,,,13,idle,,sfx_scn_remotesignal
d_ex_workshop_05_57,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_57,True,,1,cry,,L_130,L_130,1.0,,,13,delight,,
d_ex_workshop_05_58,d_ex_workshop_05,Monologue,,,Locale_SuddenStory:d_ex_workshop_05_58,False,,1,cry,,L_130,L_130,1.0,,,13,delight,,
d_ex_workshop_05_59,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_59,False,,1,cry,,L_130,L_130,1.0,,,13,delight,,
d_ex_workshop_05_60,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_60,True,,1,cry,,L_130,L_130,1.0,,,13,delight,,
d_ex_workshop_05_61,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_61,False,,1,cry,,L_130,L_130,1.0,,,13,delight,,
d_ex_workshop_05_62,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_62,True,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_63,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_63,True,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_64,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_64,True,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_65,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_65,True,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_66,d_ex_workshop_05,Self,,,Locale_SuddenStory:d_ex_workshop_05_66,False,,1,cry,,L_130,L_130,1.0,,,13,surprise,,
d_ex_workshop_05_67,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_67,False,,1,surprise,,L_130,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_68,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_68,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_69,d_ex_workshop_05,Narration,,,Locale_SuddenStory:d_ex_workshop_05_69,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,sfx_scn_drone
d_ex_workshop_05_70,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_70,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_71,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_71,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_72,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_72,True,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_73,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_73,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_74,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_74,True,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_75,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_75,True,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_76,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_76,False,,1,surprise,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_77,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_77,True,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_78,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_78,False,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_79,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_79,False,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_80,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_80,False,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_81,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_81,False,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_82,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_82,False,,1,shy,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_83,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_83,True,,1,surprise,,XS_10,1,1.0,,,13,idle,,
d_ex_workshop_05_84,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_84,True,,1,idle,,1,1,1.0,,,13,idle,,
d_ex_workshop_05_85,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_85,False,,1,idle,,1,1,1.0,,,13,idle,,
d_ex_workshop_05_86,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_86,False,,1,idle,,1,1,1.0,,,13,idle,,
d_ex_workshop_05_87,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_87,True,,1,idle,,1,1,1.0,,,13,idle,,
d_ex_workshop_05_88,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_88,False,,1,idle,,1,1,1.0,,,13,idle,,
d_ex_workshop_05_89,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_89,True,,1,surprise,,1,XS_10,0.7,,,13,idle,,
d_ex_workshop_05_90,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_90,True,,1,idle,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_91,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_91,True,,1,idle,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_92,d_ex_workshop_05,Speech,rei,naru1,Locale_SuddenStory:d_ex_workshop_05_92,False,,1,idle,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_93,d_ex_workshop_05,Monologue,,,Locale_SuddenStory:d_ex_workshop_05_93,False,,1,idle,,XS_10,XS_10,1.0,,,13,idle,,
d_ex_workshop_05_94,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_94,True,,1,delight,,XS_10,12,1.0,,,13,idle,,
d_ex_workshop_05_95,d_ex_workshop_05,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_05_95,True,,1,delight,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_96,d_ex_workshop_05,Speech,rei,rei,Locale_SuddenStory:d_ex_workshop_05_96,True,,1,delight,,12,12,1.0,,,13,idle,,
d_ex_workshop_05_97,d_ex_workshop_05,Monologue,,,Locale_SuddenStory:d_ex_workshop_05_97,False,,1,delight,,black,black,1.0,,,13,idle,,
