id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_observationpost_10_35,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_35,True,,13,delight,,3,idle,,XS_1300,XS_1300,1.0,,,signal,signal,,1,idle,,
d_ex_observationpost_10_36,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_36,True,,13,delight,,3,idle,,XS_1300,XS_130,1.0,,,signal,signal,,1,idle,,
d_ex_observationpost_10_37,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_37,True,,13,delight,,3,idle,,XS_130,113,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_38,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_38,True,,13,delight,,3,idle,,113,113,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_39,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_39,True,,13,delight,,3,idle,,113,31,1.5,,,sora,sora,,1,idle,,
d_ex_observationpost_10_40,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_40,True,,13,delight,,3,surprise,,31,31,1.0,,,delta,delta,,1,idle,,
d_ex_observationpost_10_41,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_41,True,,13,delight,,3,surprise,,31,31,1.0,,,sora,sora,,1,delight,,
d_ex_observationpost_10_42,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_42,True,,13,delight,,3,surprise,,31,31,1.0,,,sora,sora,,1,delight,,
d_ex_observationpost_10_43,d_ex_observationpost_10,Narration,Locale_SuddenStory:d_ex_observationpost_10_43,False,,13,delight,,3,surprise,,31,31,1.0,,,sora,,,1,delight,,
d_ex_observationpost_10_44,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_44,True,,13,delight,,3,surprise,,31,31,1.0,,,delta,delta,,1,delight,,
d_ex_observationpost_10_45,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_45,True,,13,delight,,3,surprise,,31,31,1.0,,,sora,sora,,1,delight,,
d_ex_observationpost_10_46,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_46,True,,13,delight,,3,surprise,,31,31,1.0,,,sora,sora,,1,delight,,
d_ex_observationpost_10_47,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_47,True,,13,delight,,3,surprise,,31,31,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_48,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_48,True,,13,delight,,3,surprise,,31,31,1.0,,,delta,delta,,1,idle,,
d_ex_observationpost_10_49,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_49,True,,13,delight,,3,delight,,31,31,1.0,,,delta,delta,,1,idle,,
d_ex_observationpost_10_50,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_50,False,,13,delight,,3,delight,,31,31,1.0,,,delta,,,1,idle,,
d_ex_observationpost_10_51,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_51,True,,13,delight,,3,delight,,31,1,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_52,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_52,True,,13,delight,,3,delight,,1,1,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_53,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_53,False,,13,delight,,3,delight,,1,1,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_54,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_54,False,,13,delight,,3,delight,,1,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_55,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_55,True,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_56,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_56,False,,13,delight,,3,delight,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_57,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_57,True,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_58,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_58,True,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_59,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_59,True,,13,delight,,3,delight,,10,XS_130,1.0,,,signal,signal,,1,idle,,
d_ex_observationpost_10_60,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_60,False,,13,delight,,3,delight,,XS_130,XS_130,1.0,,,signal,,,1,idle,,
d_ex_observationpost_10_61,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_61,False,,13,delight,,3,delight,,XS_130,S_30,2.0,,,signal,,,1,idle,,
d_ex_observationpost_10_62,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_62,False,,13,delight,,3,delight,,S_30,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_63,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_63,False,,13,delight,,3,delight,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_64,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_64,True,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_65,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_65,False,,13,delight,,3,delight,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_66,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_66,True,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_67,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_67,False,,13,delight,,3,delight,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_68,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_68,False,,13,delight,,3,delight,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_69,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_69,True,,13,delight,,3,delight,,10,100,1.0,,,sora,sora,,1,idle,signal,delta
d_ex_observationpost_10_70,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_70,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_71,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_71,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_72,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_72,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_73,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_73,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_74,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_74,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_75,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_75,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_76,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_76,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_77,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_77,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_78,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_78,True,,,,,,,,100,100,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_79,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_79,False,,,,,,,,100,100,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_80,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_80,True,,,,,,,,100,10,0.5,,,sora,sora,,1,idle,,
d_ex_observationpost_10_81,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_81,False,,,,,,,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_82,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_82,False,,,,,,,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_83,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_83,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_84,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_84,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_85,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_85,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_86,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_86,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_87,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_87,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_88,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_88,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_89,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_89,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_90,d_ex_observationpost_10,Self,Locale_SuddenStory:d_ex_observationpost_10_90,False,,,,,,,,10,10,1.0,,,sora,,,1,idle,,
d_ex_observationpost_10_91,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_91,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_92,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_92,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_93,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_93,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_94,d_ex_observationpost_10,Speech,Locale_SuddenStory:d_ex_observationpost_10_94,True,,,,,,,,10,10,1.0,,,sora,sora,,1,idle,,
d_ex_observationpost_10_95,d_ex_observationpost_10,Monologue,Locale_SuddenStory:d_ex_observationpost_10_95,False,,,,,,,,black,black,1.0,,,sora,,,1,idle,,
