id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_hospital_06_12,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_12,True,,1,idle,,18,idle,,XS_100,XS_100,1.0,,,,,,,,,
d_ex_hospital_06_13,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_13,True,,1,idle,,18,idle,,XS_100,XS_100,1.0,,,,,,,,,
d_ex_hospital_06_14,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_14,True,,1,idle,,18,idle,,XS_100,XS_100,1.0,,,,,,,,,
d_ex_hospital_06_15,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_15,True,,1,surprise,,18,idle,,XS_100,XS_10,0.3,,,Low_2,,,,,,
d_ex_hospital_06_16,d_ex_hospital_06,Narration,,Narration,Locale_SuddenStory:d_ex_hospital_06_16,False,,1,surprise,,5,idle,,XS_10,XS_10,0.3,,,Low_2,,,,,,
d_ex_hospital_06_17,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_17,False,,1,surprise,,5,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_06_18,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_18,True,,1,idle,,5,idle,,XS_10,2,1.0,,,,diesel,3,worry,,,
d_ex_hospital_06_19,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_19,True,,1,idle,,5,idle,,2,2,1.0,,,,,3,worry,,,
d_ex_hospital_06_20,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_20,True,,1,idle,,5,idle,,2,2,1.0,,,,,3,worry,,,
d_ex_hospital_06_21,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_21,False,,1,idle,,5,idle,,2,2,1.0,,,,,3,worry,sfx_scn_bell,,
d_ex_hospital_06_22,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_22,False,,1,idle,,5,idle,,2,2,1.0,,,,,3,worry,,,
d_ex_hospital_06_23,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_23,True,,1,idle,,5,idle,,2,4,1.0,,,,,3,worry,,,
d_ex_hospital_06_24,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_24,True,,1,idle,,5,angry,,4,4,1.0,,,,,3,worry,,,
d_ex_hospital_06_25,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_25,True,,1,idle,,5,angry,,4,4,1.0,,,,,3,worry,,,
d_ex_hospital_06_26,d_ex_hospital_06,Narration,,Narration,Locale_SuddenStory:d_ex_hospital_06_26,False,,1,idle,,13,angry,,4,4,1.0,,,Low_2,,3,worry,,nero,
d_ex_hospital_06_27,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_27,False,,1,idle,,,,,black,black,1.0,,,,,3,worry,,,
d_ex_hospital_06_28,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_28,False,,1,idle,,,,,black,black,1.0,,,,,3,idle,,,
d_ex_hospital_06_29,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_29,True,,1,surprise,,,,,1,1,1.0,,,,,3,idle,,,
d_ex_hospital_06_30,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_30,True,,1,surprise,,,,,1,1,1.0,,,,,3,idle,,,
d_ex_hospital_06_31,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_31,True,,1,surprise,,,,,1,1,1.0,,,,,3,idle,,,
d_ex_hospital_06_32,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_32,False,,1,surprise,,,,,1,1,1.0,,,,,3,idle,,,
d_ex_hospital_06_33,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_33,False,,1,idle,,,,,1,XS_10,2.0,,,,,3,idle,,,
d_ex_hospital_06_34,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_34,True,,1,no,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_35,d_ex_hospital_06,Speech,naru1,naru1,Locale_SuddenStory:d_ex_hospital_06_35,True,,1,no,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_36,d_ex_hospital_06,Speech,naru2,naru2,Locale_SuddenStory:d_ex_hospital_06_36,True,,1,no,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_37,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_37,True,,1,angry,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_38,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_38,True,,1,angry,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_39,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_39,True,,1,angry,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_40,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_40,True,,1,angry,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_41,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_41,False,,1,angry,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_42,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_42,True,,1,idle,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_43,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_43,True,,1,idle,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_44,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_44,False,,1,idle,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_45,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_45,True,,1,surprise,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_46,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_46,True,,1,surprise,,,,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_47,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_47,False,,1,surprise,,,,,XS_10,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_48,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_48,False,,1,idle,,,,,2,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_49,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_49,True,,1,idle,,,,,2,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_50,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_50,True,,1,idle,,,,,2,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_51,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_51,True,,1,idle,,,,,2,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_52,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_52,True,,1,idle,,,,,2,2,1.0,,,,,3,idle,,,
d_ex_hospital_06_53,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_53,False,,1,idle,,,,,2,12,1.0,none,,,,3,idle,,,
d_ex_hospital_06_54,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_54,True,,1,angry,,,,,12,12,1.0,bgm_story_kneeldownfools,,,,3,idle,,,
d_ex_hospital_06_55,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_55,True,,1,angry,nero,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_56,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_56,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_57,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_57,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_58,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_58,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_59,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_59,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_60,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_60,False,,1,angry,,13,sad,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_61,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_61,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_62,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_62,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_63,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_63,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_64,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_64,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_65,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_65,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_66,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_66,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_67,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_67,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_68,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_68,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_69,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_69,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_70,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_70,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_71,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_71,True,,1,angry,,13,angry,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_72,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_72,True,,1,surprise,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_73,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_73,False,,1,surprise,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_74,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_74,True,,1,idle,,13,idle,,12,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_75,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_75,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_76,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_76,False,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_77,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_77,False,,1,surprise,,13,idle,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_78,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_78,False,,1,surprise,,13,idle,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_79,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_79,False,,1,no,,13,idle,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_80,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_80,True,,1,angry,,13,idle,,XS_10,12,0.5,,,Low_2,,3,idle,,,
d_ex_hospital_06_81,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_81,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_82,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_82,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_83,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_83,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_84,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_84,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_85,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_85,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_86,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_86,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_87,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_87,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_88,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_88,True,,1,angry,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_89,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_89,False,,1,angry,,13,sad,,12,L_130,2.0,,,,,3,idle,,,
d_ex_hospital_06_90,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_90,True,,1,angry,,13,angry,,L_130,L_130,1.0,,,,,3,idle,,,
d_ex_hospital_06_91,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_91,True,,1,angry,,13,angry,,L_130,L_130,1.0,,,,,3,idle,,,
d_ex_hospital_06_92,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_92,True,,1,angry,,13,angry,,L_130,XS_10,0.5,,,,,3,idle,,,
d_ex_hospital_06_93,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_93,False,,1,angry,,13,sad,,XS_10,L_130,0.3,,,,,3,idle,,,
d_ex_hospital_06_94,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_94,True,,1,angry,,13,sad,,L_130,L_130,1.0,,,,,3,idle,,,
d_ex_hospital_06_95,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_95,True,,1,angry,,13,sad,,L_130,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_96,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_96,True,,1,angry,,13,sad,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_97,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_97,True,,1,angry,,13,sad,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_98,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_98,True,,1,angry,,13,sad,,XS_10,XS_10,1.0,,,,,3,idle,,,
d_ex_hospital_06_99,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_99,False,,1,idle,,13,sad,,XS_10,12,2.0,,,,,3,idle,,,
d_ex_hospital_06_100,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_100,True,,1,idle,,13,sad,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_101,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_101,True,,1,idle,,13,sad,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_102,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_102,False,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_103,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_103,True,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,sfx_scn_bell,,
d_ex_hospital_06_104,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_104,True,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_105,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_105,True,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_106,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_106,True,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_107,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_107,False,,1,idle,,13,idle,,12,12,1.0,,,,,3,idle,,,
d_ex_hospital_06_108,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_108,False,,1,idle,,5,idle,,black,black,2.0,,,,,3,idle,,,
d_ex_hospital_06_109,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_109,True,,1,idle,,5,idle,,2,2,1.0,,,,,3,surprise,,,
d_ex_hospital_06_110,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_110,True,,1,idle,,5,idle,,2,2,1.0,,,,,3,delight,,,
d_ex_hospital_06_111,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_111,True,,1,delight,,5,idle,,2,2,1.0,,,,,3,delight,,,
d_ex_hospital_06_112,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_112,True,,1,delight,,5,idle,,2,2,1.0,,,,,3,delight,,,
d_ex_hospital_06_113,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_113,True,,1,idle,,5,idle,,2,4,1.0,,,,,3,idle,,,
d_ex_hospital_06_114,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_114,True,,1,idle,,5,idle,,4,4,1.0,,,,,3,idle,,,
d_ex_hospital_06_115,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_115,False,,1,surprise,,5,idle,,4,4,1.0,,,,,3,idle,,,
d_ex_hospital_06_116,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_116,True,,1,surprise,,5,idle,,4,4,1.0,,,,,3,worry,,,
d_ex_hospital_06_117,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_117,True,,1,surprise,,5,idle,,4,4,1.0,,,,,3,worry,,,
d_ex_hospital_06_118,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_118,True,,1,surprise,,5,idle,,4,4,1.0,,,,,3,idle,,,
d_ex_hospital_06_119,d_ex_hospital_06,Narration,,Narration,Locale_SuddenStory:d_ex_hospital_06_119,False,,1,surprise,,5,idle,,black,black,1.0,none,,,,3,idle,,nero,diesel
d_ex_hospital_06_120,d_ex_hospital_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_hospital_06_120,False,,1,surprise,,,,,black,black,1.0,,,,,,,,,
d_ex_hospital_06_121,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_121,False,,1,idle,,,,,1,1,1.0,,,,,,,,,
d_ex_hospital_06_122,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_122,False,,1,idle,,,,,1,1,1.0,,,,,,,,,
d_ex_hospital_06_123,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_123,True,,1,cry,,,,,1,1,1.0,bgm_story_sunshinesorrow,,,,,,,,
d_ex_hospital_06_124,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_124,True,,1,cry,,,,,1,XS_10,2.0,,,,,,,,,
d_ex_hospital_06_125,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_125,True,,1,cry,,,,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_06_126,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_126,True,,1,cry,,,,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_06_127,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_127,True,,1,cry,,,,,XS_10,XS_100,2.0,,,,,,,,,
d_ex_hospital_06_128,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_128,False,,1,cry,,,,,XS_100,XS_100,1.0,,,,,,,,,
