id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,set_camera_shake
d_ex_maidcafe_01_11,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_11,True,,1,idle,,13,idle,,130,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_12,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_12,True,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_13,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_13,False,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,,,
d_ex_maidcafe_01_14,d_ex_maidcafe_01,Choice,Locale_SuddenStory:d_ex_maidcafe_01_14,False,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,,d_ex_maidcafe_01_16,
d_ex_maidcafe_01_15,d_ex_maidcafe_01,Choice,Locale_SuddenStory:d_ex_maidcafe_01_15,False,,1,idle,,13,idle,,XS_10,XS_10,1.0,,,,,d_ex_maidcafe_01_16,
d_ex_maidcafe_01_16,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_16,True,,1,idle,,13,surprise,,XS_10,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_17,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_17,True,,1,idle,,13,idle,,130,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_18,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_18,True,,1,serious,,13,idle,,130,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_19,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_19,True,,1,serious,,13,delight,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_20,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_20,False,,1,serious,,13,delight,,113,113,1.0,,,,,,
d_ex_maidcafe_01_21,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_21,False,,1,surprised,,13,idle,,113,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_22,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_22,True,,1,delight,,13,idle,,XS_10,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_23,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_23,True,,1,delight,,13,delight,,XS_10,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_24,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_24,True,,1,delight,,13,idle,,130,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_25,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_25,True,,1,serious,,13,idle,,130,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_26,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_26,True,,1,serious,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_27,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_27,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_28,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_28,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_29,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_29,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_30,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_30,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_31,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_31,True,,1,serious,,13,surprise,,113,13,1.0,,,emma,emma,,
d_ex_maidcafe_01_32,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_32,True,,1,serious,,13,idle,,13,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_33,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_33,True,,1,serious,,13,idle,,130,130,1.0,,,emma,emma,,
d_ex_maidcafe_01_34,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_34,True,,1,surprised,,13,idle,,130,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_35,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_35,True,,1,serious,,13,idle,,XS_10,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_36,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_36,True,,1,serious,,13,idle,,XS_10,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_37,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_37,True,,1,sad,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_38,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_38,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_39,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_39,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_40,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_40,True,,1,serious,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_41,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_41,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_42,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_42,True,,1,serious,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_43,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_43,True,,1,serious,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_44,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_44,True,,1,serious,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_45,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_45,True,,1,serious,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_46,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_46,False,,1,serious,,13,idle,,113,113,1.0,,,,,,
d_ex_maidcafe_01_47,d_ex_maidcafe_01,Narration,Locale_SuddenStory:d_ex_maidcafe_01_47,False,,1,serious,,13,idle,,black,black,1.0,,,,,,
d_ex_maidcafe_01_48,d_ex_maidcafe_01,Narration,Locale_SuddenStory:d_ex_maidcafe_01_48,False,,1,serious,,13,idle,,XS_10,XS_10,1.0,,,,,,
d_ex_maidcafe_01_49,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_49,True,,1,serious,,13,idle,,XS_10,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_50,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_50,True,,1,delight,,13,idle,,XS_10,XS_100,0.5,,,cocoa,cocoa,,
d_ex_maidcafe_01_51,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_51,True,,1,delight,,13,delight,,1300,1300,1.0,,,emma,emma,,
d_ex_maidcafe_01_52,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_52,True,,1,delight,,13,delight,,1300,1300,1.0,,,emma,emma,,
d_ex_maidcafe_01_53,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_53,True,,1,delight,,13,delight,,1300,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_54,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_54,False,,1,delight,,13,delight,,113,113,1.0,,,,,,
d_ex_maidcafe_01_55,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_55,False,,1,idle,,13,idle,,113,113,1.0,,,,,,
d_ex_maidcafe_01_56,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_56,True,,1,idle,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_57,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_57,False,,1,idle,,13,idle,,113,113,1.0,,,,,,
d_ex_maidcafe_01_58,d_ex_maidcafe_01,Choice,Locale_SuddenStory:d_ex_maidcafe_01_58,False,,1,idle,,13,idle,,113,113,1.0,,,,,d_ex_maidcafe_01_62,
d_ex_maidcafe_01_59,d_ex_maidcafe_01,Choice,Locale_SuddenStory:d_ex_maidcafe_01_59,False,,1,idle,,13,idle,,113,113,1.0,,,,,d_ex_maidcafe_01_60,
d_ex_maidcafe_01_60,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_60,False,,1,idle,,13,idle,,113,113,1.0,,,,,,
d_ex_maidcafe_01_61,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_61,False,,1,idle,,13,idle,,113,113,1.0,,,,,d_ex_maidcafe_01_62,
d_ex_maidcafe_01_62,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_62,False,,1,idle,,13,idle,,113,113,1.0,sfx_scn_buggerbite,,,,,
d_ex_maidcafe_01_63,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_63,False,,1,idle,,13,idle,,113,113,1.0,,none,,,,
d_ex_maidcafe_01_64,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_64,True,,1,delight,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_65,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_65,True,,1,delight,,13,idle,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_66,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_66,True,,1,"expression_0,delight",,13,idle,,113,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_67,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_67,True,,1,serious,,13,idle,,XS_10,XS_10,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_68,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_68,False,,1,serious,,13,idle,,XS_10,XS_10,1.0,,,,,,
d_ex_maidcafe_01_69,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_69,False,,1,serious,,13,idle,,XS_10,113,1.0,,bgm_story_herecomestrouble,,,,
d_ex_maidcafe_01_70,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_70,False,,1,serious,,13,idle,,113,113,1.0,,,,,,
d_ex_maidcafe_01_71,d_ex_maidcafe_01,Narration,Locale_SuddenStory:d_ex_maidcafe_01_71,False,,1,serious,,13,idle,,113,113,1.0,,,,,,Low_2
d_ex_maidcafe_01_72,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_72,True,,1,delight,,13,idle,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_73,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_73,True,,1,delight,,13,delight,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_74,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_74,False,,1,delight,,13,delight,,113,113,1.0,,,,,,Low_2
d_ex_maidcafe_01_75,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_75,False,,1,delight,,13,delight,,113,113,1.0,,,,,,
d_ex_maidcafe_01_76,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_76,True,,1,surprised,,13,delight,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_77,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_77,True,,1,surprised,,13,delight,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_78,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_78,True,,1,delight,,13,delight,,113,113,1.0,,,cocoa,cocoa,,
d_ex_maidcafe_01_79,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_79,True,,1,delight,,13,delight,,113,113,1.0,,,emma,emma,,
d_ex_maidcafe_01_80,d_ex_maidcafe_01,Monologue,Locale_SuddenStory:d_ex_maidcafe_01_80,False,,1,delight,,13,delight,,black,black,1.0,,,,,,
