id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,jump_target
d_main_19_06_14,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_14,True,,1,idle,,10,10,1.0,,,,
d_main_19_06_15,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_15,True,,1,idle,,10,10,1.0,,,,
d_main_19_06_16,d_main_19_06,Self,harran,Self,Locale_MainScenario:d_main_19_06_16,False,,1,idle,,10,10,1.0,,,,
d_main_19_06_17,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_17,True,,1,special,,10,10,1.0,,,,
d_main_19_06_18,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_18,True,,1,special,,10,10,1.0,,,,
d_main_19_06_19,d_main_19_06,Self,harran,Self,Locale_MainScenario:d_main_19_06_19,False,,1,idle,,10,10,1.0,,,,
d_main_19_06_20,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_20,True,,1,idle,,10,1,2.0,,,,
d_main_19_06_21,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_21,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_22,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_22,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_23,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_23,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_24,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_24,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_25,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_25,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_26,d_main_19_06,Choice,harran,,Locale_MainScenario:d_main_19_06_26,False,,1,idle,,1,1,1.0,,,,d_main_19_06_28
d_main_19_06_27,d_main_19_06,Choice,harran,,Locale_MainScenario:d_main_19_06_27,False,,1,idle,,1,1,1.0,,,,d_main_19_06_36
d_main_19_06_28,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_28,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_29,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_29,True,,1,idle,,1,1,1.0,,,,
d_main_19_06_30,d_main_19_06,Self,harran,Self,Locale_MainScenario:d_main_19_06_30,False,,1,idle,,1,1,1.0,,,,
d_main_19_06_31,d_main_19_06,Self,harran,Self,Locale_MainScenario:d_main_19_06_31,False,,1,idle,,1,1,1.0,,,,
d_main_19_06_32,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_32,False,,1,rage,,1,10,2.0,,,,
d_main_19_06_33,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_33,True,,1,special,,10,10,1.0,,,,
d_main_19_06_34,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_34,True,,1,special,,10,10,1.0,,,,
d_main_19_06_35,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_35,True,,1,idle,,10,10,1.0,,,,d_main_19_06_45
d_main_19_06_36,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_36,True,,1,rage,,1,10,2.0,,,,
d_main_19_06_37,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_37,True,,1,rage,,10,10,1.0,,,,
d_main_19_06_38,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_38,True,,1,rage,,10,10,1.0,,,,
d_main_19_06_39,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_39,True,,1,rage,,10,10,1.0,,,,
d_main_19_06_40,d_main_19_06,Monologue,harran,Monologue,Locale_MainScenario:d_main_19_06_40,False,,1,rage,,10,10,1.0,,,,
d_main_19_06_41,d_main_19_06,Monologue,harran,Monologue,Locale_MainScenario:d_main_19_06_41,False,,1,rage,,10,10,1.0,,,,
d_main_19_06_42,d_main_19_06,Monologue,harran,Monologue,Locale_MainScenario:d_main_19_06_42,False,,1,rage,,10,10,1.0,,,,
d_main_19_06_43,d_main_19_06,Self,harran,Self,Locale_MainScenario:d_main_19_06_43,False,,1,rage,,10,10,1.0,,,,
d_main_19_06_44,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_44,True,,1,idle,,10,10,1.0,,,,
d_main_19_06_45,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_45,True,,1,idle,,10,1,2.0,,,,
d_main_19_06_46,d_main_19_06,Speech,harran,harran,Locale_MainScenario:d_main_19_06_46,False,,1,"expression_0,idle_alt",,1,1,1.0,,,,
