id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/hide_char_id
d_main_22_07_21,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_21,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_22,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_22,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_23,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_23,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_24,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_24,True,,1,idle,,13,good,,113,13,1.0,,dolla,dolla,
d_main_22_07_25,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_25,True,,1,idle,,13,good,,13,S_130,2.0,,dolla,dolla,
d_main_22_07_26,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_26,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_27,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_27,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_28,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_28,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_29,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_29,True,,1,idle,,13,idle,,10,10,1.0,,sakura,sakura,
d_main_22_07_30,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_30,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_31,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_31,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_32,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_32,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_33,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_33,True,,1,idle,,13,idle,,S_130,113,1.0,,sakura,sakura,
d_main_22_07_34,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_34,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_35,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_35,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_36,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_36,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_37,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_37,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_38,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_38,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_39,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_39,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_40,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_40,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_41,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_41,True,,1,idle,,13,idle,,10,10,1.0,,sakura,sakura,
d_main_22_07_42,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_42,True,,1,idle,,13,idle,,S_130,S_130,1.0,,dolla,dolla,
d_main_22_07_43,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_43,True,,1,idle,,13,good,,S_130,S_1300,1.0,,dolla,dolla,
d_main_22_07_44,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_44,True,,1,idle,,13,good,,S_1300,S_1300,1.0,,dolla,dolla,
d_main_22_07_45,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_45,True,,1,idle,,13,good,,S_1300,S_1300,1.0,,dolla,dolla,
d_main_22_07_46,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_46,True,,1,delight,,13,good,,S_1300,100,1.0,,sakura,sakura,
d_main_22_07_47,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_47,True,,1,idle,,13,idle,,100,100,1.0,,sakura,sakura,
d_main_22_07_48,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_48,True,,1,idle,,13,idle,,100,100,1.0,,sakura,sakura,
d_main_22_07_49,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_49,True,,1,idle,,13,idle,,100,113,1.0,,dolla,dolla,
d_main_22_07_50,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_50,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_51,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_51,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_52,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_52,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_53,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_53,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_54,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_54,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_55,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_55,True,,1,idle,,13,idle,,113,113,1.0,,sakura,sakura,
d_main_22_07_56,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_56,True,,1,idle,,13,idle,,113,113,1.0,,dolla,dolla,
d_main_22_07_57,d_main_22_07,Narration,Locale_MainScenario:d_main_22_07_57,False,,1,idle,,13,idle,,black,black,1.0,,,,dolla
d_main_22_07_58,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_58,False,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_59,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_59,True,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_60,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_60,True,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_61,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_61,True,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_62,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_62,True,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_63,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_63,False,,1,idle,,,,,1,1,1.0,,sakura,sakura,
d_main_22_07_64,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_64,True,,1,idle,,,,,1,10,2.0,,sakura,sakura,
d_main_22_07_65,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_65,True,,1,idle,,,,,10,10,1.0,,sakura,sakura,
d_main_22_07_66,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_66,True,,1,idle,,,,,10,10,1.0,,sakura,sakura,
