id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade
d_ex_toyshop_09_19,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_19,False,,5,idle,,7,idle,,3,idle,,30,30,1.0,,,,
d_ex_toyshop_09_20,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_20,False,,5,idle,,7,idle,,3,idle,,30,30,1.0,,,,
d_ex_toyshop_09_21,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_21,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,,belorta,
d_ex_toyshop_09_22,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_22,True,,5,delight,,7,idle,,3,idle,,6,6,1.0,,,belorta,
d_ex_toyshop_09_23,d_ex_toyshop_09,Self,belorta,Locale_SuddenStory:d_ex_toyshop_09_23,False,,5,delight,,7,idle,,3,idle,,6,6,1.0,,,,
d_ex_toyshop_09_24,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_24,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,,mica,
d_ex_toyshop_09_25,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_25,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,,mica,
d_ex_toyshop_09_26,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_26,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,,mica,
d_ex_toyshop_09_27,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_27,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,,,belorta,
d_ex_toyshop_09_28,d_ex_toyshop_09,Narration,belorta,Locale_SuddenStory:d_ex_toyshop_09_28,False,,5,idle,,7,idle,,3,idle,,black,black,1.0,,,,
d_ex_toyshop_09_29,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_29,True,,5,idle,,7,idle,,3,idle,,6,6,1.0,sfx_scn_documents,,belorta,
d_ex_toyshop_09_30,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_30,True,,5,delight,,7,idle,,3,idle,,6,6,1.0,,,belorta,
d_ex_toyshop_09_31,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_31,True,,5,delight,,7,delight,,3,idle,,6,6,1.0,,,mica,
d_ex_toyshop_09_32,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_32,True,,5,idle,,7,delight,,3,idle,,6,4,1.0,,,zwei,
d_ex_toyshop_09_33,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_33,True,,5,idle,,7,delight,,3,idle,,4,4,1.0,,,zwei,
d_ex_toyshop_09_34,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_34,False,,5,idle,,7,idle,,3,idle,,4,4,1.0,,,,
d_ex_toyshop_09_35,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_35,True,,5,idle,,7,idle,,3,idle,,4,4,1.0,,,belorta,
d_ex_toyshop_09_36,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_36,True,,5,delight,,7,idle,,3,idle,,4,4,1.0,,,belorta,
d_ex_toyshop_09_37,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_37,True,,5,delight,,7,idle,,3,idle,,4,4,1.0,,,zwei,
d_ex_toyshop_09_38,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_38,True,,5,idle,,7,idle,,3,angry,,4,4,1.0,,,zwei,
d_ex_toyshop_09_39,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_39,True,,5,idle,,7,idle,,3,angry,,4,4,1.0,,,zwei,
d_ex_toyshop_09_40,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_40,True,,5,idle,,7,idle,,3,angry,,4,4,1.0,,,belorta,
d_ex_toyshop_09_41,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_41,True,,5,delight,,7,idle,,3,angry,,4,4,1.0,,,belorta,
d_ex_toyshop_09_42,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_42,True,,5,delight,,7,delight,,3,angry,,XS_70,XS_70,1.0,,,mica,
d_ex_toyshop_09_43,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_43,True,,5,delight,,7,delight,,3,angry,,XS_70,XS_70,1.0,,,mica,
d_ex_toyshop_09_44,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_44,False,,5,delight,,7,delight,,3,angry,,30,30,1.0,,,zwei,
d_ex_toyshop_09_45,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_45,True,,5,delight,,7,delight,,3,idle,,30,30,1.0,,,zwei,
d_ex_toyshop_09_46,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_46,True,,5,delight,,7,idle,,3,idle,,XS_50,XS_50,1.0,,,belorta,
d_ex_toyshop_09_47,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_47,True,,5,idle,,7,idle,,3,idle,,XS_50,XS_50,1.0,,,belorta,
d_ex_toyshop_09_48,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_48,True,,5,idle,,7,idle,,3,idle,,XS_50,XS_50,1.0,,,belorta,
d_ex_toyshop_09_49,d_ex_toyshop_09,Monologue,belorta,Locale_SuddenStory:d_ex_toyshop_09_49,False,,5,idle,,7,idle,,3,idle,,black,black,1.0,,,,
d_ex_toyshop_09_50,d_ex_toyshop_09,Monologue,belorta,Locale_SuddenStory:d_ex_toyshop_09_50,False,,5,idle,,7,idle,,3,idle,,black,black,1.0,,,,black
d_ex_toyshop_09_51,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_51,True,,5,idle,,7,idle,,3,idle,,5,5,1.0,,,belorta,
d_ex_toyshop_09_52,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_52,True,,5,idle,,7,idle,,3,idle,,5,5,1.0,,,belorta,
d_ex_toyshop_09_53,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_53,True,,5,idle,,7,idle,,3,surprise,,5,3,1.0,,,zwei,
d_ex_toyshop_09_54,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_54,True,,5,idle,,7,idle,,3,good,,3,3,1.0,,,zwei,
d_ex_toyshop_09_55,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_55,True,,5,idle,,7,idle,,3,good,,3,3,1.0,,,zwei,
d_ex_toyshop_09_56,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_56,False,,5,idle,,7,idle,,3,good,,3,3,1.0,,,,
d_ex_toyshop_09_57,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_57,True,,5,idle,,7,idle,,3,good,,3,30,1.0,,,zwei,
d_ex_toyshop_09_58,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_58,True,,5,idle,,7,idle,,3,good,,30,30,1.0,,,zwei,
d_ex_toyshop_09_59,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_59,True,,5,idle,,7,idle,,3,good,,30,30,1.0,,,zwei,
d_ex_toyshop_09_60,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_60,True,,5,idle,,7,delight,,3,good,,30,30,1.0,,,mica,
d_ex_toyshop_09_61,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_61,False,,5,idle,,7,delight,,3,idle,,30,30,1.0,,,zwei,
d_ex_toyshop_09_62,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_62,True,,5,idle,,7,idle,,3,idle,,30,4,1.0,,,zwei,
d_ex_toyshop_09_63,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_63,True,,5,delight,,7,idle,,3,idle,,4,4,1.0,,,belorta,
d_ex_toyshop_09_64,d_ex_toyshop_09,Monologue,belorta,Locale_SuddenStory:d_ex_toyshop_09_64,False,,5,delight,,7,idle,,3,idle,,black,black,1.0,,,,black
d_ex_toyshop_09_65,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_65,True,,5,angry,,7,idle,,3,idle,,4,4,1.0,,,belorta,
d_ex_toyshop_09_66,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_66,True,,5,angry,,7,idle,,3,idle,,4,4,1.0,,,zwei,
d_ex_toyshop_09_67,d_ex_toyshop_09,Monologue,zwei,Locale_SuddenStory:d_ex_toyshop_09_67,False,,5,idle,,7,idle,,3,idle,,black,black,1.0,,,,black
d_ex_toyshop_09_68,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_68,True,,5,idle,,7,worry,,3,idle,,7,7,1.0,,,mica,
d_ex_toyshop_09_69,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_69,True,,5,idle,,7,worry,,3,surprise,,3,30,1.0,,,zwei,
d_ex_toyshop_09_70,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_70,False,,5,idle,,7,worry,,3,surprise,,30,30,1.0,,,,
d_ex_toyshop_09_71,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_71,False,,5,idle,,7,worry,,3,surprise,,30,30,1.0,,,,
d_ex_toyshop_09_72,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_72,True,,5,idle,,7,worry,,3,surprise,,30,30,1.0,,,zwei,
d_ex_toyshop_09_73,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_73,True,,5,idle,,7,worry,,3,surprise,,30,300,0.7,,,zwei,
d_ex_toyshop_09_75,d_ex_toyshop_09,Monologue,zwei,Locale_SuddenStory:d_ex_toyshop_09_75,False,,5,idle,,7,worry,,3,surprise,,black,black,1.0,,,,
d_ex_toyshop_09_76,d_ex_toyshop_09,Monologue,zwei,Locale_SuddenStory:d_ex_toyshop_09_76,False,,5,idle,,7,idle,,3,surprise,,black,black,1.0,,,,
d_ex_toyshop_09_77,d_ex_toyshop_09,Monologue,zwei,Locale_SuddenStory:d_ex_toyshop_09_77,False,,5,idle,,7,idle,,3,surprise,,black,black,1.0,,,,
