id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_workshop_07_12,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_12,False,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,
d_ex_workshop_07_13,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_13,True,,3,surprise,,S_30,S_30,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_14,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_14,True,,3,delight,,S_30,S_30,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_15,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_15,False,,3,delight,,17,17,1.0,,,,,,,,,,,,,
d_ex_workshop_07_16,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_16,False,,3,delight,,black,black,1.0,,,,,,,,,,,,,
d_ex_workshop_07_17,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_17,True,,3,delight,,3,3,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_18,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_18,True,,3,delight,,3,3,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_19,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_19,True,,3,idle,,3,3,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_20,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_20,False,,3,idle,,3,3,1.0,,,,,,,,,,,,,
d_ex_workshop_07_21,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_21,True,,3,idle,,3,3,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_22,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_22,True,,3,idle,,3,3,1.0,,,tove,,,,,,,,,,
d_ex_workshop_07_23,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_23,False,,3,idle,,13,13,1.0,sfx_scn_autodooropen,,,,,,,,,,,,
d_ex_workshop_07_24,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_24,True,,3,idle,,13,4,1.0,,,dolla,dolla,5,surprise,,,,,,,
d_ex_workshop_07_25,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_25,True,,3,idle,,4,4,1.0,,,dolla,,5,surprise,,,,,,,
d_ex_workshop_07_26,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_26,False,,3,idle,,4,4,1.0,,,,,5,surprise,,,,,,,
d_ex_workshop_07_27,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_27,True,,3,idle,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_28,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_28,True,,3,idle,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_29,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_29,False,,3,idle,,4,4,1.0,,,,,5,idle,,,,,,,
d_ex_workshop_07_30,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_30,False,,3,idle,,4,4,1.0,,,,,5,idle,,,,,,,
d_ex_workshop_07_31,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_31,True,,3,surprise,,4,4,1.0,,,tove,,5,idle,,,,,,,
d_ex_workshop_07_32,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_32,True,,3,shy,,4,4,1.0,,,tove,,5,idle,,,,,,,
d_ex_workshop_07_33,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_33,True,,3,shy,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_34,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_34,True,,3,shy,,4,4,1.0,,,dolla,,5,good,,,,,,,
d_ex_workshop_07_35,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_35,True,,3,shy,,4,4,1.0,,,dolla,,5,good,,,,,,,
d_ex_workshop_07_36,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_36,False,,3,surprise,,4,4,1.0,,,,,5,good,,,,,,,
d_ex_workshop_07_37,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_37,True,,3,surprise,,4,4,1.0,,,tove,,5,good,,,,,,,
d_ex_workshop_07_38,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_38,True,,3,think,,4,4,1.0,,,tove,,5,good,,,,,,,
d_ex_workshop_07_39,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_39,True,,3,think,,4,4,1.0,,,tove,,5,good,,,,,,,
d_ex_workshop_07_40,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_40,True,,3,think,,4,4,1.0,,,dolla,,5,surprise,,,,,,,
d_ex_workshop_07_41,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_41,True,,3,think,,4,4,1.0,,,dolla,,5,surprise,,,,,,,
d_ex_workshop_07_42,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_42,True,,3,surprise,,4,4,1.0,,,tove,,5,surprise,,,,,,,
d_ex_workshop_07_43,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_43,True,,3,surprise,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_44,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_44,True,,3,think,,4,4,1.0,,,tove,,5,idle,,,,,,,
d_ex_workshop_07_45,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_45,False,,3,think,,17,17,1.0,,,,,5,idle,,,,,,,
d_ex_workshop_07_46,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_46,False,,3,think,,black,black,1.0,,,,,5,idle,,,,,,,
d_ex_workshop_07_47,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_47,True,,3,idle,,S_30,S_30,1.0,,,tove,,5,idle,,,,,,,
d_ex_workshop_07_48,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_48,False,,3,idle,,5,S_50,0.5,,,dolla,,5,surprise,Low_2,,,,,,
d_ex_workshop_07_49,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_49,False,,3,idle,,S_50,S_50,1.0,,,,,5,surprise,,,,,,,
d_ex_workshop_07_50,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_50,True,,3,idle,,S_50,S_50,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_51,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_51,True,,3,idle,,S_50,S_50,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_52,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_52,True,,3,idle,,S_50,S_50,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_53,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_53,True,,3,idle,,S_50,S_50,1.0,,,dolla,,5,good,,,,,,,
d_ex_workshop_07_54,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_54,True,,3,surprise,,S_50,4,1.0,,,tove,,5,good,,,,,,,
d_ex_workshop_07_55,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_55,True,,3,idle,,4,4,1.0,,,tove,,5,good,,,,,,,
d_ex_workshop_07_56,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_56,True,,3,idle,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_57,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_57,True,,3,idle,,4,4,1.0,,,dolla,,5,idle,,,,,,,
d_ex_workshop_07_58,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_58,True,,3,sad,,4,4,1.0,,,tove,,5,idle,,,,,,,
d_ex_workshop_07_59,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_59,False,,3,sad,,13,13,1.0,sfx_scn_autodooropen,,,,5,idle,,,,,,,
d_ex_workshop_07_60,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_60,True,,3,sad,,13,6,1.0,,,yan,,5,idle,,yan,7,idle,,,
d_ex_workshop_07_61,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_61,True,,3,idle,,6,6,1.0,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_62,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_62,True,,3,idle,,6,6,1.0,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_63,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_63,True,,3,idle,,6,6,1.0,,,dolla,,5,idle,,,7,idle,,,
d_ex_workshop_07_64,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_64,True,,3,idle,,6,6,1.0,,,dolla,,5,idle,,,7,idle,,,
d_ex_workshop_07_65,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_65,True,,3,idle,,6,6,1.0,,,dolla,,5,good,,,7,idle,,,
d_ex_workshop_07_66,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_66,True,,3,idle,,6,6,1.0,,,yan,,5,good,,,7,surprise,,,
d_ex_workshop_07_67,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_67,True,,3,idle,,6,6,1.0,,,yan,,5,good,,,7,surprise,,,
d_ex_workshop_07_68,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_68,True,,3,idle,,6,6,1.0,,,yan,,5,good,,,7,sad,,,
d_ex_workshop_07_69,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_69,True,,3,idle,,6,6,1.0,,,yan,,5,good,,,7,no,,,
d_ex_workshop_07_70,d_ex_workshop_07,Self,Self,Locale_SuddenStory:d_ex_workshop_07_70,False,,3,idle,,6,6,1.0,,,,,5,idle,,,7,no,,,
d_ex_workshop_07_71,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_71,True,,3,idle,,6,7,1.0,,,yan,,5,idle,,,7,no,,,
d_ex_workshop_07_72,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_72,True,,3,idle,,7,7,1.0,,,yan,,5,idle,,,7,no,,,
d_ex_workshop_07_73,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_73,True,,3,idle,,7,7,1.0,,,yan,,5,idle,,,7,no,,,
d_ex_workshop_07_74,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_74,True,,3,no,,S_30,S_30,1.0,,,tove,,5,idle,,,7,no,,,
d_ex_workshop_07_75,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_75,True,,3,no,,7,S_70,0.5,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_76,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_76,True,,3,no,,S_70,S_70,1.0,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_77,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_77,True,,3,no,,S_70,S_70,1.0,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_78,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_78,True,,3,no,,S_70,S_70,1.0,,,yan,,5,idle,,,7,idle,,,
d_ex_workshop_07_79,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_79,True,,3,no,,S_70,6,1.0,,,dolla,,5,angry,,,7,idle,,,
d_ex_workshop_07_80,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_80,True,,3,idle,,6,6,1.0,,,dolla,,5,angry,,,7,idle,,,
d_ex_workshop_07_81,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_81,True,,3,no,,6,6,1.0,,,yan,,5,angry,,,7,no,,,
d_ex_workshop_07_82,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_82,True,,3,no,,S_30,S_30,1.0,,,tove,,5,angry,,,7,no,,,
d_ex_workshop_07_83,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_83,True,,3,no,,S_30,S_30,1.0,,,tove,,5,angry,,,7,no,liter,1,angry
d_ex_workshop_07_84,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_84,True,,3,no,,1,S_10,0.5,,,liter,,5,idle,Low_2,,7,no,,1,angry
d_ex_workshop_07_85,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_85,True,,3,no,,S_10,S_10,1.0,,,liter,,5,idle,Low_2,,7,no,,1,angry
d_ex_workshop_07_86,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_86,True,,3,idle,,S_10,S_10,1.0,,,liter,,5,idle,,,7,no,,1,sorrow
d_ex_workshop_07_87,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_87,True,,3,idle,,7,7,1.0,,,yan,,5,idle,,,7,idle,,1,sorrow
d_ex_workshop_07_88,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_88,True,,3,idle,,7,7,1.0,,,yan,,5,idle,,,7,idle,,1,sorrow
d_ex_workshop_07_89,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_89,True,,3,idle,,7,7,1.0,,,yan,,5,idle,,,7,delight,,1,sorrow
d_ex_workshop_07_90,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_90,True,,3,idle,,1,1,1.0,,,liter,,5,idle,,,7,delight,,1,idle
d_ex_workshop_07_91,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_91,True,,3,idle,,1,1,1.0,,,liter,,5,idle,,,7,delight,,1,idle
d_ex_workshop_07_92,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_92,False,,3,idle,,1,S_10,1.0,,none,liter,,5,idle,,,7,idle,,1,idle
d_ex_workshop_07_93,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_93,False,,3,idle,,S_10,S_10,1.0,,,,,5,idle,,,7,idle,,1,idle
d_ex_workshop_07_94,d_ex_workshop_07,Narration,Narration,Locale_SuddenStory:d_ex_workshop_07_94,False,,3,idle,,S_10,S_10,1.0,sfx_scn_shells,bgm_story_whosdumber,,,5,idle,Low_2,,7,idle,,1,idle
d_ex_workshop_07_95,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_95,True,,3,idle,,S_10,1,1.0,,,liter,,5,idle,,,7,idle,,1,no
d_ex_workshop_07_96,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_96,True,,3,idle,,1,1,1.0,,,liter,,5,idle,,,7,idle,,1,no
d_ex_workshop_07_97,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_97,True,,3,idle,,1,1,1.0,,,liter,,5,idle,,,7,idle,,1,no
d_ex_workshop_07_98,d_ex_workshop_07,Speech,liter,Locale_SuddenStory:d_ex_workshop_07_98,True,,3,idle,,1,S_10,0.5,,,liter,,5,idle,Low_2,,7,idle,,1,angry
d_ex_workshop_07_99,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_99,True,,3,no,,S_30,S_30,1.0,,,tove,,5,idle,,,7,idle,,1,angry
d_ex_workshop_07_100,d_ex_workshop_07,Speech,tove,Locale_SuddenStory:d_ex_workshop_07_100,True,,3,no,,S_30,S_30,1.0,,,tove,,5,idle,,,7,idle,,1,angry
d_ex_workshop_07_101,d_ex_workshop_07,Speech,dolla,Locale_SuddenStory:d_ex_workshop_07_101,True,,3,no,,6,6,1.0,,,dolla,,5,surprise,,,7,surprise,,1,angry
d_ex_workshop_07_102,d_ex_workshop_07,Speech,yan,Locale_SuddenStory:d_ex_workshop_07_102,True,,3,no,,6,6,1.0,,,yan,,5,surprise,,,7,surprise,,1,angry
d_ex_workshop_07_103,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_103,False,,3,no,,black,black,1.0,,,,,5,surprise,,,7,surprise,,1,idle
d_ex_workshop_07_104,d_ex_workshop_07,Monologue,Monologue,Locale_SuddenStory:d_ex_workshop_07_104,False,,3,no,,black,black,1.0,,,,,5,idle,,,7,surprise,,1,idle
