id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
d_ex_redash_02_1_17,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_17,False,,3,smile,,5,rage,,4,4,1.0,,,,,,,,,,,,
d_ex_redash_02_1_18,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_18,True,,3,smile,,5,go,,50,50,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_19,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_19,True,,3,surprise,,5,go,,30,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_20,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_20,False,,3,surprise,,5,go,,13,13,1.0,,,sfx_scn_drawingsword,Low_2,,,,,,,,
d_ex_redash_02_1_21,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_21,False,,3,surprise,,5,go,,13,130,0.5,,,sfx_scn_beatup,Low_2,,,,,,,,
d_ex_redash_02_1_22,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_22,False,,3,surprise,,5,go,,130,130,1.0,,,sfx_scn_heavytrip,Low_2,redhood,9,surprise,,,,,
d_ex_redash_02_1_23,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_23,False,,3,surprise,,5,go,,130,170,0.7,,,sfx_scn_run,,,9,surprise,,,,,
d_ex_redash_02_1_24,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_24,True,,3,surprise,,5,go,,7,7,1.0,,redhood,,,,7,surprise,,,,,
d_ex_redash_02_1_25,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_25,True,,3,think,,5,go,,7,8,1.0,,snowwhite_o,,Low_2,,7,surprise,snowwhite_o,9,angry,,
d_ex_redash_02_1_26,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_26,True,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_27,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_27,True,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_28,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_28,True,,3,think,,5,go,,8,8,1.0,,redhood,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_29,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_29,False,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,no,,
d_ex_redash_02_1_30,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_30,True,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_31,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_31,True,,3,think,,5,go,,8,8,1.0,,redhood,,,,7,idle,,9,angry,,
d_ex_redash_02_1_32,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_32,True,,3,think,,5,go,,8,8,1.0,,redhood,,,,7,smile,,9,angry,,
d_ex_redash_02_1_33,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_33,True,,3,think,,5,think,,4,4,1.0,,hongryeon_o,,,,7,smile,,9,angry,,
d_ex_redash_02_1_34,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_34,True,,3,think,,5,think,,4,4,1.0,,hongryeon_o,,,,7,smile,,9,angry,,
d_ex_redash_02_1_35,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_35,True,,3,surprise,,5,think,,4,4,1.0,,dorothy,,,,7,smile,,9,angry,,
d_ex_redash_02_1_36,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_36,True,,3,surprise,,5,think,,4,4,1.0,,dorothy,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_37,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_37,True,,3,angry,,5,think,,4,30,1.0,,dorothy,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_38,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_38,True,,3,angry,,5,think,,30,30,1.0,,dorothy,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_39,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_39,True,,3,angry,,5,idle,,30,50,1.0,,hongryeon_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_40,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_40,True,,3,angry,,5,idle,,50,50,1.0,,hongryeon_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_41,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_41,True,,3,angry,,5,idle,,50,50,1.0,,hongryeon_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_42,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_42,True,,3,angry,,5,idle,,50,30,1.0,,dorothy,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_43,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_43,True,,3,angry,,5,rage,,50,500,0.5,,hongryeon_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_44,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_44,True,,3,angry,,5,rage,,500,500,1.0,,hongryeon_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_45,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_45,True,,3,angry,,5,rage,,9,90,0.7,,snowwhite_o,,Low_2,,7,idle,,9,sad,,
d_ex_redash_02_1_46,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_46,True,,3,angry,,5,rage,,90,90,1.0,,snowwhite_o,,,,7,idle,,9,sad,,
d_ex_redash_02_1_47,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_47,True,,3,angry,,5,rage,,90,90,1.0,,snowwhite_o,,,,7,idle,,9,sad,,
d_ex_redash_02_1_48,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_48,False,,3,angry,,5,rage,,90,8,1.0,,,sfx_scn_grab,,,7,idle,,9,surprise,,
d_ex_redash_02_1_49,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_49,True,,3,angry,,5,rage,,8,8,1.0,,snowwhite_o,,,,7,idle,,9,surprise,,
d_ex_redash_02_1_50,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_50,True,,3,angry,,5,rage,,8,8,1.0,,redhood,,,,7,smile,,9,sad,,
d_ex_redash_02_1_51,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_51,True,,3,angry,,5,rage,,8,8,1.0,,redhood,,,,7,idle,,9,sad,,
d_ex_redash_02_1_52,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_52,True,,3,angry,,5,rage,,8,8,1.0,,redhood,,,,7,smile,,9,sad,,
d_ex_redash_02_1_53,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_53,False,,3,angry,,5,rage,,8,S_90,1.0,,snowwhite_o,,,,7,smile,,9,no,,
d_ex_redash_02_1_54,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_54,False,,3,angry,,5,rage,,S_90,S_900,1.0,,snowwhite_o,,Low_2,,7,smile,,9,no,,
d_ex_redash_02_1_55,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_55,False,,3,angry,,5,rage,,black,black,1.0,,,,,,7,smile,,9,no,,
d_ex_redash_02_1_56,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_56,False,,3,angry,,5,rage,,17,170,0.5,,,sfx_scn_drawingsword,Low_2,,7,smile,,9,no,redhood,snowwhite_o
d_ex_redash_02_1_57,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_57,False,,3,angry,,5,rage,,170,170,1.0,,,sfx_scn_beatup,Low_2,,,,,,,,
d_ex_redash_02_1_58,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_58,False,,3,angry,,5,rage,,170,170,1.0,,,sfx_scn_glassbreak,Low_2,,,,,,,,
d_ex_redash_02_1_59,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_59,False,,3,angry,,5,rage,,black,black,1.0,,,sfx_scn_windowclack,,,,,,,,,
