id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_camera_shake,characters/1/hide_char_id,play_sound,characters/0/hide_char_id
d_ex_cafe_07_15,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_15,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_16,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_16,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_17,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_17,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,
d_ex_cafe_07_18,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_18,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_19,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_19,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_20,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_20,True,,9,smile,,7,idle,,5,idle,,3,idle,,1,idle,,8,8,1.0,,,,,,,,
d_ex_cafe_07_21,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_21,True,,9,smile,,7,idle,,5,idle,,3,idle,,1,idle,,8,8,1.0,,,,,,,,
d_ex_cafe_07_22,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_22,False,,9,smile,,7,idle,,5,idle,,3,idle,,1,idle,,8,8,1.0,,,,,,,,
d_ex_cafe_07_23,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_23,True,,9,smile,,7,delight,,5,idle,,3,idle,,1,idle,,8,S_70,1.0,,,,,,,,
d_ex_cafe_07_24,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_24,True,,9,smile,,7,delight,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_25,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_25,True,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_26,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_26,True,,9,idle,,7,surprise,,5,idle,,3,good,,1,idle,,2,2,1.0,,,,,,,,
d_ex_cafe_07_27,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_27,True,,9,idle,,7,surprise,,5,idle,,3,good,,1,idle,,2,2,1.0,,,,,,,,
d_ex_cafe_07_28,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_28,True,,9,idle,,7,surprise,,5,idle,,3,good,,1,idle,,2,2,1.0,,,,,,,,
d_ex_cafe_07_29,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_29,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_30,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_30,True,,9,idle,,7,delight,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_31,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_31,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_32,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_32,True,,9,idle,,7,delight,,5,idle,,3,idle,,1,idle,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_33,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_33,True,,9,idle,,7,delight,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,
d_ex_cafe_07_34,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_34,False,,9,idle,,7,delight,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,
d_ex_cafe_07_35,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_35,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,10,4,1.0,,,,,,,,
d_ex_cafe_07_36,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_36,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,4,4,1.0,,,,,,,,
d_ex_cafe_07_37,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_37,False,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,4,4,1.0,,,,,,,,
d_ex_cafe_07_38,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_38,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,4,4,1.0,,,,,,,,
d_ex_cafe_07_39,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_39,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,4,4,1.0,,,,,,,,
d_ex_cafe_07_40,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_40,True,,9,idle,,7,idle,,5,idle,,3,good,,1,delight,,4,4,1.0,,,,,,,,
d_ex_cafe_07_41,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_41,True,,9,idle,,7,idle,,5,idle,,3,good,,1,delight,,10,10,1.0,,,,,,,,
d_ex_cafe_07_42,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_42,True,,9,idle,,7,idle,,5,idle,,3,good,,1,delight,,8,8,1.0,,,,,,,,
d_ex_cafe_07_43,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_43,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,8,8,1.0,,,,,,,,
d_ex_cafe_07_44,d_ex_cafe_07,Monologue,,,Locale_SuddenStory:d_ex_cafe_07_44,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,17,17,1.0,,sugar,milk,frima,,,,
d_ex_cafe_07_45,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_45,True,,9,idle,,7,idle,,,,,,,,,,,17,170,0.5,,,,,,,,
d_ex_cafe_07_46,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_46,True,,9,idle,,7,surprise,,,,,,,,,,,170,7,1.0,,,,,,,,
d_ex_cafe_07_47,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_47,True,,9,idle,,7,special,,,,,,,,,,,7,S_70,1.0,,,,,,,,
d_ex_cafe_07_48,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_48,True,,9,idle,,7,idle,,,,,,,,,,,S_70,S_70,1.0,,,,,Low_2,,,
d_ex_cafe_07_49,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_49,True,,9,idle,,7,idle,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_50,d_ex_cafe_07,Monologue,,,Locale_SuddenStory:d_ex_cafe_07_50,False,,9,idle,,7,idle,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_51,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_51,True,,9,idle,,7,idle,,,,,,,,,,,S_70,7,1.0,,,,,,,,
d_ex_cafe_07_52,d_ex_cafe_07,Monologue,,,Locale_SuddenStory:d_ex_cafe_07_52,False,,9,idle,,7,idle,,,,,,,,,,,7,1,1.0,,,,,,,,
d_ex_cafe_07_53,d_ex_cafe_07,Monologue,,,Locale_SuddenStory:d_ex_cafe_07_53,False,,9,idle,,7,idle,,,,,,,,,,,1,1,1.0,,,,,,,,
d_ex_cafe_07_54,d_ex_cafe_07,Monologue,,,Locale_SuddenStory:d_ex_cafe_07_54,False,,9,idle,,7,idle,,,,,,,,,,,1,10,1.0,,,,,,,,
d_ex_cafe_07_55,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_55,False,,9,idle,,7,idle,,,,,,,,,,,10,10,1.0,,,,,,,,
d_ex_cafe_07_56,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_56,True,,9,idle,,7,surprise,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_57,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_57,True,,9,idle,,7,surprise,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_58,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_58,True,,9,idle,,7,surprise,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_59,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_59,False,,9,idle,,7,surprise,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_60,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_60,False,,9,idle,,7,special,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_61,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_61,True,,9,idle,,7,surprise,,,,,,,,,,,7,S_70,0.5,,,,,Low_2,,,
d_ex_cafe_07_62,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_62,True,,9,idle,,7,sad,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_63,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_63,True,,9,idle,,7,sad,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_64,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_64,False,,9,idle,,7,sad,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_65,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_65,False,,9,idle,,7,sad,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_66,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_66,True,,9,idle,,7,no,,,,,,,,,,,S_70,S_70,1.0,,,,,Low_2,,,
d_ex_cafe_07_67,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_67,True,,9,idle,,7,no,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_68,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_68,True,,9,idle,,7,special,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_69,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_69,True,,9,idle,,7,surprise,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_70,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_70,True,,9,think,,7,surprise,,,,,,,,,,,S_70,8,1.0,,,,,,,,
d_ex_cafe_07_71,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_71,True,,9,think,,7,surprise,,,,,,,,,,,8,8,1.0,,,,,,,,
d_ex_cafe_07_72,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_72,True,,9,think,,7,surprise,,,,,,,,,,,8,8,1.0,,,,,,,,
d_ex_cafe_07_73,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_73,True,,9,think,,7,surprise,,,,,,,,,,,8,8,1.0,,,,,,,,
d_ex_cafe_07_74,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_74,True,,9,think,,7,surprise,,,,,,,,,,,8,7,1.0,,,,,,,,
d_ex_cafe_07_75,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_75,True,,9,idle,,7,special,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_76,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_76,True,,9,idle,,7,idle,,,,,,,,,,,7,S_70,1.0,,,,,,,,
d_ex_cafe_07_77,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_77,False,,9,idle,,7,idle,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_78,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_78,True,,9,smile,,7,idle,,,,,,,,,,,90,90,1.0,,,,,,,,
d_ex_cafe_07_79,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_79,True,,9,smile,,7,delight,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_80,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_80,False,,9,idle,,7,delight,,,,,,,,,,,S_70,7,1.0,,,,,,mica_w,,
d_ex_cafe_07_81,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_81,False,,9,idle,,,,,,,,,,,,,,7,9,1.0,,,,,,,,
d_ex_cafe_07_82,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_82,True,,9,idle,,,,,,,,,,,,,,9,9,1.0,,,,,,,,
d_ex_cafe_07_83,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_83,True,,9,idle,,,,,,,,,,,,,,9,9,1.0,,,,,,,,
d_ex_cafe_07_84,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_84,True,,9,idle,,,,,,,,,,,,,,9,90,1.0,,,,,,,,
d_ex_cafe_07_85,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_85,True,,9,idle,,,,,,,,,,,,,,90,90,1.0,,,,,,,,
d_ex_cafe_07_86,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_86,False,,9,idle,,,,,,,,,,,,,,90,90,1.0,,,,,,,,
d_ex_cafe_07_87,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_87,True,,9,idle,mica_w,7,idle,,,,,,,,,,,90,7,1.0,,,,,,,,
d_ex_cafe_07_88,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_88,False,,9,idle,,7,idle,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_89,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_89,False,,9,idle,,7,idle,,,,,,,,,,,7,7,1.0,,,,,,,sfx_scn_swallow,
d_ex_cafe_07_90,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_90,False,,9,idle,,7,idle,,,,,,,,,,,black,black,1.0,,,,,,,,
d_ex_cafe_07_91,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_91,False,,9,idle,,7,idle,,,,,,,,,,,7,7,1.0,,,,,Low_2,,,
d_ex_cafe_07_92,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_92,True,,9,idle,,7,surprise,,,,,,,,,,,7,S_70,0.7,,,,,Low_2,,,
d_ex_cafe_07_93,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_93,True,,9,idle,,7,surprise,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_94,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_94,True,,9,surprise,,7,surprise,,,,,,,,,,,9,9,1.0,,,,,,,,
d_ex_cafe_07_95,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_95,True,,9,surprise,,7,surprise,,,,,,,,,,,9,9,1.0,,,,,,,,
d_ex_cafe_07_96,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_96,False,,9,idle,,7,idle,,,,,,,,,,,9,9,1.0,,,,,,,sfx_scn_swallow,
d_ex_cafe_07_97,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_97,False,,9,sad,,7,idle,,,,,,,,,,,9,90,0.7,,,,,,,,
d_ex_cafe_07_98,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_98,True,,9,sad,,7,idle,sugar,5,idle,milk,3,idle,frima,1,idle,,90,90,1.0,,,,,,,,
d_ex_cafe_07_99,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_99,True,,9,sad,,7,idle,,5,idle,,3,idle,,1,idle,,90,90,1.0,,,,,,,,
d_ex_cafe_07_100,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_100,True,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,90,90,1.0,none,,,,,,,
d_ex_cafe_07_101,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_101,True,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_102,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_102,True,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,S_50,S_50,1.0,bgm_story_whosdumber,,,,,,,
d_ex_cafe_07_103,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_103,True,,9,angry,,7,idle,,5,idle,,3,good,,1,idle,,90,90,1.0,,,,,,,,
d_ex_cafe_07_104,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_104,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,S_30,S_30,1.0,,,,,,,,
d_ex_cafe_07_105,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_105,True,,9,idle,,7,idle,,5,idle,,3,good,,1,idle,,10,10,1.0,,,,,,,,
d_ex_cafe_07_106,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_106,True,,9,idle,,7,idle,,5,surprise,,3,idle,,1,idle,,5,S_50,0.7,,,,,,,,
d_ex_cafe_07_107,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_107,True,,9,idle,,7,idle,,5,angry,,3,idle,,1,idle,,S_50,S_50,1.0,,,,,,,,
d_ex_cafe_07_108,d_ex_cafe_07,Speech,frima,frima,Locale_SuddenStory:d_ex_cafe_07_108,True,,9,idle,,7,idle,,5,angry,,3,angry,,1,idle,,10,10,1.0,,,,,,,,
d_ex_cafe_07_109,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_109,True,,9,idle,,7,idle,,5,angry,,3,angry,,1,idle,,10,S_30,1.0,,,,,,,,
d_ex_cafe_07_110,d_ex_cafe_07,Speech,milk,milk,Locale_SuddenStory:d_ex_cafe_07_110,True,,9,idle,,7,idle,,5,angry,,3,angry,,1,idle,,S_30,S_30,1.0,,,,,,,,
d_ex_cafe_07_111,d_ex_cafe_07,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_07_111,True,,9,sad,,7,idle,,5,angry,,3,angry,,1,idle,,S_30,S_50,1.0,,,,,,,,
d_ex_cafe_07_112,d_ex_cafe_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_cafe_07_112,True,,9,think,,7,idle,,5,angry,,3,idle,,1,idle,,90,90,1.0,,,,,,,,
d_ex_cafe_07_113,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_113,False,,9,think,,7,idle,,5,angry,,3,idle,,1,idle,,90,9,1.0,,sugar,milk,frima,,,,ludmilla_w
d_ex_cafe_07_114,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_114,True,,,,,7,idle,,,,,,,,,,,9,7,1.0,,,,,,,,
d_ex_cafe_07_115,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_115,True,,,,,7,idle,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_116,d_ex_cafe_07,Self,,,Locale_SuddenStory:d_ex_cafe_07_116,False,,,,,7,idle,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_117,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_117,True,,,,,7,delight,,,,,,,,,,,7,7,1.0,,,,,,,,
d_ex_cafe_07_118,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_118,True,,,,,7,idle,,,,,,,,,,,7,S_70,1.0,,,,,,,,
d_ex_cafe_07_119,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_119,False,,,,,7,idle,,,,,,,,,,,black,black,1.0,,,,,,,sfx_scn_swallow,
d_ex_cafe_07_120,d_ex_cafe_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_cafe_07_120,True,,,,,7,surprise,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_121,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_121,False,,,,,7,surprise,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_122,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_122,False,,,,,7,surprise,,,,,,,,,,,black,black,1.0,,,,,,,,
d_ex_cafe_07_123,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_123,False,,,,,7,idle,,,,,,,,,,,black,black,1.0,,,,,,,,
d_ex_cafe_07_124,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_124,False,,,,,7,delight,,,,,,,,,,,S_70,S_70,1.0,,,,,,,,
d_ex_cafe_07_125,d_ex_cafe_07,Narration,,,Locale_SuddenStory:d_ex_cafe_07_125,False,,,,,7,delight,,,,,,,,,,,S_70,S_700,1.0,,,,,,,,
