id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake
d_subquest_1103_17,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_17,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_18,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_18,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_19,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_19,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.0,,,,,,
d_subquest_1103_20,d_subquest_1103,Narration,neon,,Locale_SubScenario:d_subquest_1103_20,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,sfx_scn_machinefan,Low_2
d_subquest_1103_21,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_21,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_5,1.0,,,,,,
d_subquest_1103_22,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_22,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_23,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_23,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_24,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_24,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.0,,,,,,
d_subquest_1103_25,d_subquest_1103,Monologue,neon,,Locale_SubScenario:d_subquest_1103_25,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,sfx_scn_machinefan,Low_2
d_subquest_1103_26,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_26,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,,
d_subquest_1103_27,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_27,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,,
d_subquest_1103_28,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_28,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_5,1.0,,,,,,
d_subquest_1103_29,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_29,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_30,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_30,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_31,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_31,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_32,d_subquest_1103,Narration,neon,,Locale_SubScenario:d_subquest_1103_32,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.5,,,,,,
d_subquest_1103_33,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_33,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_5,0.5,,,,,,
d_subquest_1103_34,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_34,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_35,d_subquest_1103,Monologue,neon,,Locale_SubScenario:d_subquest_1103_35,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,none,black,black,1.0,,rapi,anis,neon,,
