id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,conversation_id
d_main_17af_01_18,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_18,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_19,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_19,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_20,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_20,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_21,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_21,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_22,d_main_17af_01,Speech,crowd,crowd,Locale_MainScenario:d_main_17af_01_22,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_23,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_23,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_24,d_main_17af_01,Speech,crowd,crowd,Locale_MainScenario:d_main_17af_01_24,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_25,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_25,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_26,d_main_17af_01,Speech,crowd,crowd,Locale_MainScenario:d_main_17af_01_26,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_27,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_27,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_28,d_main_17af_01,Speech,crowd,crowd,Locale_MainScenario:d_main_17af_01_28,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_29,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_29,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_30,d_main_17af_01,Speech,crowd,crowd,Locale_MainScenario:d_main_17af_01_30,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_31,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_31,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,black,
d_main_17af_01_32,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_32,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_33,d_main_17af_01,Speech,neon,neon,Locale_MainScenario:d_main_17af_01_33,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_34,d_main_17af_01,Self,neon,,Locale_MainScenario:d_main_17af_01_34,False,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_35,d_main_17af_01,Monologue,neon,,Locale_MainScenario:d_main_17af_01_35,False,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,m_main_17af_01
d_main_17af_01_36,d_main_17af_01,Self,,,Locale_MainScenario:d_main_17af_01_36,False,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_37,d_main_17af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_17af_01_37,True,,1,idle,,13,void,,15,idle,,1315,113,1.0,,,
d_main_17af_01_38,d_main_17af_01,Self,rapi,,Locale_MainScenario:d_main_17af_01_38,False,,1,idle,,13,void,,15,idle,,113,113,1.0,,,
d_main_17af_01_39,d_main_17af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_17af_01_39,True,,1,idle,,13,void,,15,idle,,1,10,1.0,,,
d_main_17af_01_40,d_main_17af_01,Self,rapi,,Locale_MainScenario:d_main_17af_01_40,False,,1,idle,,13,void,,15,idle,,10,10,1.0,,,
