id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,jump_target,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_ex_observationpost_04_33,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_33,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_34,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_34,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_35,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_35,False,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_36,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_36,True,,1,shy,,13,think,,S_130,S_130,1.0,,,,,,15,idle,
d_ex_observationpost_04_37,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_37,True,,1,shy,,13,think,,XS_100,XS_100,0.5,,,,Low_2,,15,idle,
d_ex_observationpost_04_38,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_38,True,,1,shy,,13,idle,,150,150,1.0,,,,,,15,think,
d_ex_observationpost_04_39,d_ex_observationpost_04,Narration,noise,,Locale_SuddenStory:d_ex_observationpost_04_39,False,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,black
d_ex_observationpost_04_40,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_40,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_41,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_41,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_42,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_42,True,,1,shy,,13,idle,,1315,150,2.0,,,,,,15,idle,
d_ex_observationpost_04_43,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_43,True,,1,shy,,13,idle,,XS_100,XS_100,0.5,,,,Low_2,,15,idle,
d_ex_observationpost_04_44,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_44,False,,1,shy,,13,idle,,150,1500,2.0,,,,,,15,think,
d_ex_observationpost_04_45,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_45,True,,1,shy,,13,idle,,1500,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_46,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_46,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_47,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_47,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_48,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_48,True,,1,shy,,13,idle,,1315,1315,1.0,,,,,,15,idle,
d_ex_observationpost_04_49,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_49,True,,1,shy,,13,idle,,1315,1500,2.0,,,,,,15,smile,
d_ex_observationpost_04_50,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_50,True,,1,shy,,13,idle,,XS_100,XS_100,0.5,,,,,,15,smile,
d_ex_observationpost_04_51,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_51,True,,1,shy,,13,idle,,150,150,1.0,,,,,,15,smile,
d_ex_observationpost_04_52,d_ex_observationpost_04,Self,noise,,Locale_SuddenStory:d_ex_observationpost_04_52,False,,1,shy,,13,idle,,150,150,1.0,,,,,,15,smile,
d_ex_observationpost_04_53,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_53,True,,1,shy,,13,idle,,150,150,1.0,,,,,,15,smile,
d_ex_observationpost_04_54,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_54,True,,1,shy,,13,think,,S_1300,S_1300,1.0,,,,,,15,smile,
d_ex_observationpost_04_55,d_ex_observationpost_04,Speech,noise,noise,Locale_SuddenStory:d_ex_observationpost_04_55,True,,1,shy,,13,think,,1500,1500,1.0,,,,,,15,idle,
d_ex_observationpost_04_56,d_ex_observationpost_04,Monologue,noise,,Locale_SuddenStory:d_ex_observationpost_04_56,False,,1,shy,,13,idle,none,black,black,1.0,,,,,,15,idle,
