id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake
d_main_18af_06_35,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_35,True,,13,surprise,,1,delight,,S_1300,100,1.0,,crow,crow,,,
d_main_18af_06_36,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_36,True,,13,surprise,,1,delight,,100,100,1.0,,crow,crow,,,
d_main_18af_06_37,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_37,True,,13,surprise,,1,delight,,100,113,1.0,,yuni,yuni,,,
d_main_18af_06_38,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_38,True,,13,surprise,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_39,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_39,True,,13,surprise,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_40,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_40,True,,13,surprise,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_41,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_41,False,,13,surprise,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_42,d_main_18af_06,Monologue,Locale_MainScenario:d_main_18af_06_42,False,,13,think,,1,delight,,113,113,1.0,,,,,,
d_main_18af_06_43,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_43,True,,13,think,,1,delight,,113,10,1.0,,crow,crow,,,
d_main_18af_06_44,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_44,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_45,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_45,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_46,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_46,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_47,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_47,True,,13,think,,1,delight,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_48,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_48,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_49,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_49,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_50,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_50,True,,13,think,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_51,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_51,False,,13,surprise,,1,idle,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_52,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_52,True,,13,surprise,,1,idle,,10,10,1.0,,crow,crow,,,
d_main_18af_06_53,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_53,True,,13,surprise,,1,idle,,10,10,1.0,,crow,crow,,,
d_main_18af_06_54,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_54,True,,13,surprise,,1,idle,,10,113,1.0,,yuni,yuni,,,
d_main_18af_06_55,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_55,True,,13,surprise,,1,idle,,113,113,1.0,,crow,crow,,,
d_main_18af_06_56,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_56,True,,13,surprise,,1,idle,,113,113,1.0,,crow,crow,,,
d_main_18af_06_57,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_57,True,,13,surprise,,1,idle,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_58,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_58,True,,13,surprise,,1,idle,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_59,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_59,True,,13,think,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_60,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_60,True,,13,think,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_61,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_61,True,,13,think,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_62,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_62,False,,13,surprise,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_63,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_63,True,,13,surprise,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_64,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_64,True,,13,think,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_65,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_65,True,,13,think,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_66,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_66,True,,13,think,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_67,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_67,True,,13,think,,1,delight,,113,113,1.0,,crow,crow,,,
d_main_18af_06_68,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_68,True,,13,surprise,,1,delight,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_69,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_69,True,,13,surprise,,1,delight,,113,10,1.0,,crow,crow,,,
d_main_18af_06_70,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_70,True,,13,surprise,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_71,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_71,True,,13,surprise,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_72,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_72,False,,13,surprise,,1,delight,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_73,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_73,True,,13,surprise,,1,delight,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_74,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_74,True,,13,surprise,,1,delight,,S_130,10,1.0,,crow,crow,,,
d_main_18af_06_75,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_75,True,,13,surprise,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_76,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_76,True,,13,surprise,,1,delight,,10,10,1.0,,crow,crow,,,
d_main_18af_06_77,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_77,True,,13,surprise,,1,delight,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_78,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_78,True,,13,surprise,,1,smile,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_79,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_79,True,,13,surprise,,1,smile,,10,10,1.0,,crow,crow,,,
d_main_18af_06_80,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_80,True,,13,surprise,,1,smile,,10,10,1.0,,crow,crow,,,
d_main_18af_06_81,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_81,True,,13,surprise,,1,smile,,10,10,1.0,,crow,crow,,,
d_main_18af_06_82,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_82,True,,13,surprise,,1,smile,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_83,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_83,True,,13,idle,,1,smile,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_84,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_84,True,,13,idle,,1,smile,,10,10,1.0,,crow,crow,,,
d_main_18af_06_85,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_85,True,,13,idle,,1,smile,,10,10,1.0,,crow,crow,,,
d_main_18af_06_86,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_86,False,,13,idle,,1,smile,,S_130,S_130,1.0,,yuni,yuni,,,
d_main_18af_06_87,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_87,False,,13,shy,,1,smile,,S_130,S_1300,1.0,,yuni,yuni,,,
d_main_18af_06_88,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_88,True,,13,shy,,1,smile,,S_1300,S_1300,1.0,,yuni,yuni,,,
d_main_18af_06_89,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_89,True,,13,shy,,1,smile,,S_1300,S_1300,1.0,,yuni,yuni,,,
d_main_18af_06_90,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_90,True,,13,shy,,1,smile,,S_1300,S_1300,1.0,,yuni,yuni,,,
d_main_18af_06_91,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_91,True,,13,shy,,1,smile,,S_1300,13,1.0,,yuni,yuni,,,
d_main_18af_06_92,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_92,True,,13,shy,,1,smile,,13,113,1.0,,crow,crow,,,
d_main_18af_06_93,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_93,True,,13,shy,,1,smile,,113,113,1.0,,crow,crow,,,
d_main_18af_06_94,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_94,True,,13,shy,,1,smile,,113,113,1.0,,crow,crow,,,
d_main_18af_06_95,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_95,True,,13,idle,,1,smile,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_96,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_96,True,,13,idle,,1,smile,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_97,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_97,True,,13,idle,,1,smile,,113,113,1.0,,crow,crow,,,
d_main_18af_06_98,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_98,True,,13,idle,,1,idle,,113,113,1.0,,crow,crow,,,
d_main_18af_06_99,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_99,False,,13,surprise,,1,idle,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_100,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_100,True,,13,idle,,1,idle,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_101,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_101,True,,13,idle,,1,idle,,113,113,1.0,,yuni,yuni,,,
d_main_18af_06_102,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_102,True,,13,idle,,1,idle,,113,1,1.0,,crow,crow,,,
d_main_18af_06_103,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_103,True,,13,idle,,1,idle,,1,1,1.0,,crow,crow,,,
d_main_18af_06_104,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_104,True,,13,idle,,1,idle,,1,10,1.0,,crow,crow,,,
d_main_18af_06_105,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_105,True,,13,idle,,1,idle,,10,10,1.0,,crow,crow,,,
d_main_18af_06_106,d_main_18af_06,Speech,Locale_MainScenario:d_main_18af_06_106,True,,13,idle,,1,idle,,black,black,1.0,,crow,crow,,,
