id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
event_ce004_3_02_s_38,40057,event_ce004_3_02_s,Self,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_38,False,,3,idle,,,,,,,,2,2,1.0,,,,,,1,idle,
event_ce004_3_02_s_39,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_39,True,,3,idle,,,,,,,,2,2,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_40,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_40,True,,3,idle,,,,,,,,2,2,1.0,,marciana,,,,1,surprise,
event_ce004_3_02_s_41,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_41,True,,3,idle,,,,,,,,2,2,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_42,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_42,True,,3,idle,,,,,,,,2,2,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_43,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_43,True,,3,idle,,,,,,,,2,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_44,40057,event_ce004_3_02_s,Self,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_44,False,,3,idle,,,,,,,,10,10,1.0,,,,,,1,surprise,
event_ce004_3_02_s_45,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_45,True,,3,idle,,,,,,,,10,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_46,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_46,True,,3,idle,,,,,,,,10,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_47,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_47,True,,3,idle,,,,,,,,10,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_48,40057,event_ce004_3_02_s,Speech,marciana,Locale_SubScenario:event_ce004_3_02_s_48,True,,3,idle,,,,,,,,30,30,1.0,,marciana,,,,1,surprise,
event_ce004_3_02_s_49,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_49,True,,3,idle,,,,,,,,10,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_50,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_50,True,,3,idle,,,,,,,,10,10,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_51,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_51,True,,3,idle,,,,,,,,10,100,1.0,,ce004_03_s,,,,1,surprise,
event_ce004_3_02_s_52,40057,event_ce004_3_02_s,Speech,ce004_03_s,Locale_SubScenario:event_ce004_3_02_s_52,True,,3,idle,,,,,,,,100,100,1.0,,ce004_03_s,,,,1,surprise,
