id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_newflavor_02_s_83,40073,event_newflavor_02_s,,Speech,crust,crust,Locale_SubScenario:event_newflavor_02_s_83,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,sad,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_84,40073,event_newflavor_02_s,,Speech,crust,crust,Locale_SubScenario:event_newflavor_02_s_84,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_85,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_85,False,,,,,,,XS_130,12,-858993459,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_86,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_86,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_87,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_87,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_88,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_88,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_89,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_89,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_90,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_90,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_91,40073,event_newflavor_02_s,,Speech,emma,emma,Locale_SubScenario:event_newflavor_02_s_91,True,,,,,,,12,2,-858993459,,,,100,,,None,None,,None,False,,,3,delight,,,13,think,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_92,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_92,True,,,,,,,2,2,0,,,,100,none,,None,None,,None,False,,,3,delight,,,13,think,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_93,40073,event_newflavor_02_s,,Speech,bready,bready,Locale_SubScenario:event_newflavor_02_s_93,True,,,,,,,2,S_10,0,,,,100,,,None,None,,None,False,,,3,delight,,,13,think,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_newflavor_02_s_94,40073,event_newflavor_02_s,,Speech,bready,crust,Locale_SubScenario:event_newflavor_02_s_94,False,,,,,,,S_10,S_10,-858993459,,,,100,,,None,None,,None,False,,,3,delight,,,13,think,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
