id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_footstepwalkrun2_03_s_20,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_20,True,,1,idle,,13,smile_02,,1300,1300,1.0,,
event_footstepwalkrun2_03_s_21,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_21,True,,1,idle,,13,smile_02,,100,100,1.0,,
event_footstepwalkrun2_03_s_22,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_22,False,,1,idle,,13,sad_02,,1300,130,1.0,,
event_footstepwalkrun2_03_s_23,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_23,True,,1,idle,,13,idle,,130,130,1.0,,
event_footstepwalkrun2_03_s_24,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_24,True,,1,idle,,13,idle,,130,113,1.0,,
event_footstepwalkrun2_03_s_25,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_25,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_26,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_26,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_27,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_27,False,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_28,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_28,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_29,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_29,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_30,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_30,True,,1,idle,,13,think,,113,113,1.0,,
event_footstepwalkrun2_03_s_31,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_31,True,,1,idle,,13,think,,113,113,1.0,,
event_footstepwalkrun2_03_s_32,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_32,True,,1,idle,,13,think,,113,113,1.0,,
event_footstepwalkrun2_03_s_33,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_33,True,,1,idle,,13,think,,113,113,1.0,,
event_footstepwalkrun2_03_s_34,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_34,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_35,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_35,True,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_36,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_36,False,,1,idle,,13,idle,,113,113,1.0,,
event_footstepwalkrun2_03_s_37,40066,event_footstepwalkrun2_03_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_03_s_37,False,,1,idle,,13,idle,,black,black,1.0,none,sfx_scn_fly
event_footstepwalkrun2_03_s_38,40066,event_footstepwalkrun2_03_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_03_s_38,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_explosionhuge
event_footstepwalkrun2_03_s_39,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_39,True,,1,idle,,13,idle,,113,113,1.0,event_bgm_redash_facethat,
event_footstepwalkrun2_03_s_40,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_40,True,,1,idle,,13,angry,,113,113,1.0,,
event_footstepwalkrun2_03_s_41,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_41,True,,1,idle,,13,angry,,113,113,1.0,,
event_footstepwalkrun2_03_s_42,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_42,True,,1,idle,,13,angry,,113,113,1.0,,
event_footstepwalkrun2_03_s_43,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_43,True,,1,idle,,13,angry,,113,113,1.0,,
event_footstepwalkrun2_03_s_44,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_44,True,,1,idle,,13,worry,,113,113,1.0,,
event_footstepwalkrun2_03_s_45,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_45,True,,1,idle,,13,worry,,113,113,1.0,,
event_footstepwalkrun2_03_s_46,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_46,True,,1,idle,,13,idle,,130,1300,0.7,,
event_footstepwalkrun2_03_s_47,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_47,True,,1,idle,,13,idle,,100,100,1.0,,
event_footstepwalkrun2_03_s_48,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_48,True,,1,idle,,13,idle,,1300,130,0.7,,
event_footstepwalkrun2_03_s_49,40066,event_footstepwalkrun2_03_s,Narration,redhood,,Locale_MainScenario:event_footstepwalkrun2_03_s_49,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_runaway2
event_footstepwalkrun2_03_s_50,40066,event_footstepwalkrun2_03_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_03_s_50,True,,1,idle,,13,smile,,130,1300,0.5,,
event_footstepwalkrun2_03_s_51,40066,event_footstepwalkrun2_03_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_03_s_51,False,,1,idle,,13,smile,,1300,100,1.0,,
