id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_ex_redash_04_3_24,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_24,False,,5,worry,,6,6,1.0,,,sfx_scn_poke2,,7,surprise,
d_ex_redash_04_3_25,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_25,True,,5,worry,,6,6,1.0,,redhood,,,7,surprise,
d_ex_redash_04_3_26,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_26,True,,5,idle,,6,6,1.0,,dorothy,,,7,surprise,
d_ex_redash_04_3_27,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_27,True,,5,think,,6,6,1.0,,dorothy,,,7,surprise,
d_ex_redash_04_3_28,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_28,True,,5,think,,6,6,1.0,,dorothy,,,7,surprise,
d_ex_redash_04_3_29,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_29,True,,5,think,,6,6,1.0,,redhood,,,7,worry,
d_ex_redash_04_3_30,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_30,True,,5,think,,6,6,1.0,,redhood,,,7,worry,
d_ex_redash_04_3_31,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_31,True,,5,think,,6,6,1.0,,redhood,,,7,no,
d_ex_redash_04_3_32,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_32,True,,5,idle,,6,6,1.0,,dorothy,,,7,no,
d_ex_redash_04_3_33,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_33,True,,5,idle,,6,6,1.0,,redhood,,,7,surprise,
d_ex_redash_04_3_34,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_34,False,,5,think,,6,6,1.0,,dorothy,,,7,surprise,
d_ex_redash_04_3_35,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_35,True,,5,think,,6,70,1.0,,redhood,,,7,smile,
d_ex_redash_04_3_36,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_36,True,,5,think,,70,70,1.0,,redhood,,,7,smile,
d_ex_redash_04_3_37,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_37,True,,6,think,,70,600,0.5,none,redhood,,,7,surprise_02,Low_2
d_ex_redash_04_3_38,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_38,True,,6,think,,600,60,0.7,bgm_story_herecomestrouble,redhood,,,7,angry,Low_2
d_ex_redash_04_3_39,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_39,True,,6,surprise,,60,6,1.0,,dorothy,,,7,angry,
d_ex_redash_04_3_40,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_40,True,,6,surprise,,6,6,1.0,,dorothy,,,7,angry,
d_ex_redash_04_3_41,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_41,True,,6,surprise,,6,6,1.0,,dorothy,,,7,angry,
d_ex_redash_04_3_42,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_42,True,,6,smile,,6,6,1.0,,dorothy,,,7,angry,
d_ex_redash_04_3_43,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_43,True,,6,smile,,6,6,1.0,,redhood,,,7,shy_02,
d_ex_redash_04_3_44,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_44,True,,6,smile,,6,6,1.0,,redhood,,,7,shy_02,
d_ex_redash_04_3_45,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_45,True,,6,smile,,6,6,1.0,,redhood,,,7,shy_02,
d_ex_redash_04_3_46,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_46,True,,6,surprise,,6,6,1.0,,dorothy,,,7,shy_02,
d_ex_redash_04_3_47,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_47,True,,6,surprise,,6,6,1.0,,redhood,,,7,shy_02,Low_2
d_ex_redash_04_3_48,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_48,True,,6,think,,6,6,1.0,,dorothy,,,7,shy_02,
d_ex_redash_04_3_49,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_49,False,,5,think,,6,6,1.0,,,,,7,worry,
d_ex_redash_04_3_50,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_50,True,,5,think,,6,6,1.0,,redhood,,,7,no,
d_ex_redash_04_3_51,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_51,True,,5,idle,,6,6,1.0,,dorothy,,,7,no,
d_ex_redash_04_3_52,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_52,True,,5,idle,,6,6,1.0,,dorothy,,,7,no,
d_ex_redash_04_3_53,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_53,True,,5,idle,,6,6,1.0,,redhood,,,7,idle,
d_ex_redash_04_3_54,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_54,True,,5,surprise,,50,50,1.0,,dorothy,,,7,idle,
d_ex_redash_04_3_55,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_55,True,,5,surprise,,70,70,1.0,,redhood,,,7,idle,
d_ex_redash_04_3_56,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_56,True,,5,surprise,,70,70,1.0,,redhood,,,7,smile,
d_ex_redash_04_3_57,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_57,True,,5,angry,,50,500,0.5,,dorothy,,,7,smile,
d_ex_redash_04_3_58,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_58,True,,5,angry,,70,70,1.0,,redhood,,,7,panic,
d_ex_redash_04_3_59,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_59,True,,5,angry,,70,700,0.7,,redhood,,,7,shy_02,Low_2
d_ex_redash_04_3_60,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_60,True,,5,angry,,700,700,1.0,,redhood,,,7,shy_02,Low_2
d_ex_redash_04_3_61,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_61,False,,5,angry,,black,black,1.0,,,sfx_scn_windowclack,,7,shy_02,
