id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,set_camera_shake,jump_target
event_maidinvalentine_05_s_19,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_19,False,,1,sad,,13,idle,,3,idle,,S_100,S_100,1.0,,,,,,
event_maidinvalentine_05_s_20,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_20,True,,1,idle,,13,idle,,3,idle,,S_100,S_10,1.0,,,soda,soda,,
event_maidinvalentine_05_s_21,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_21,True,,1,idle,,13,idle,,3,idle,,S_10,S_10,1.0,,,soda,soda,,
event_maidinvalentine_05_s_22,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_22,True,,1,idle,,13,idle,,3,idle,,S_10,113,1.0,,,cocoa,cocoa,,
event_maidinvalentine_05_s_23,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_23,True,,1,idle,,13,idle,,3,idle,,113,3,2.0,none,,ade,ade,,
event_maidinvalentine_05_s_24,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_24,False,,1,idle,,13,idle,,3,idle,,3,3,1.0,,,ade,,,event_maidinvalentine_05_s_26
event_maidinvalentine_05_s_25,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_25,False,,1,idle,,13,idle,,3,idle,,3,3,1.0,,,ade,,,event_maidinvalentine_05_s_26
event_maidinvalentine_05_s_26,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_26,True,,1,idle,,13,idle,,3,worried,,3,3,1.0,,,ade,ade,,
event_maidinvalentine_05_s_27,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_27,True,,1,idle,,13,idle,,3,idle,,3,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_28,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_28,False,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,,,
event_maidinvalentine_05_s_29,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_29,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,bgm_story_inwonderland,,ade,ade,,
event_maidinvalentine_05_s_30,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_30,False,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,,,event_maidinvalentine_05_s_32
event_maidinvalentine_05_s_31,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_31,False,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,,,event_maidinvalentine_05_s_32
event_maidinvalentine_05_s_32,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_32,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_33,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_33,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_34,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_34,False,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,,,event_maidinvalentine_05_s_36
event_maidinvalentine_05_s_35,40007,event_maidinvalentine_05_s,Choice,Locale_SubScenario:event_maidinvalentine_05_s_35,False,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,,,event_maidinvalentine_05_s_37
event_maidinvalentine_05_s_36,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_36,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,event_maidinvalentine_05_s_38
event_maidinvalentine_05_s_37,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_37,True,,1,idle,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,event_maidinvalentine_05_s_38
event_maidinvalentine_05_s_38,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_38,True,,1,idle,,13,idle,,3,idle,,30,300,1.0,,,ade,ade,,
event_maidinvalentine_05_s_39,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_39,False,,1,idle,,13,idle,,3,idle,,300,300,1.0,,,ade,,,
event_maidinvalentine_05_s_40,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_40,True,,1,idle,,13,idle,,3,idle,,300,300,1.0,,,ade,ade,,
event_maidinvalentine_05_s_41,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_41,False,,1,idle,,13,idle,,3,idle,,300,300,1.0,,,ade,,,
event_maidinvalentine_05_s_42,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_42,True,,1,idle,,13,idle,,3,worried,,300,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_43,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_43,False,,1,idle,,13,idle,,3,worried,,30,30,1.0,,,ade,,,
event_maidinvalentine_05_s_44,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_44,False,,1,idle,,13,idle,,3,worried,,30,30,1.0,,,ade,,,
event_maidinvalentine_05_s_45,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_45,True,,1,idle,,13,idle,,3,worried,,30,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_46,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_46,False,,1,idle,,13,idle,,3,worried,,30,30,1.0,,,ade,,,
event_maidinvalentine_05_s_47,40007,event_maidinvalentine_05_s,Monologue,Locale_SubScenario:event_maidinvalentine_05_s_47,False,,1,idle,,13,idle,,3,worried,,30,113,2.0,,,ade,,,
event_maidinvalentine_05_s_48,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_48,True,,1,think,,13,idle,,3,worried,,113,113,1.0,,,soda,soda,,
event_maidinvalentine_05_s_49,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_49,True,,1,sad,,13,idle,,3,worried,,113,113,1.0,,,soda,soda,,
event_maidinvalentine_05_s_50,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_50,True,,1,sad,,13,serious,,3,worried,,113,113,1.0,,,cocoa,cocoa,,
event_maidinvalentine_05_s_51,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_51,True,,1,sad,,13,serious,,3,worried,,113,113,1.0,,,cocoa,cocoa,,
event_maidinvalentine_05_s_52,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_52,False,,1,sad,,13,idle,,3,worried,,113,3,2.0,,,,,,
event_maidinvalentine_05_s_53,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_53,False,,1,sad,,13,idle,,3,worried,,3,3,1.0,,,,,,
event_maidinvalentine_05_s_54,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_54,True,,1,sad,,13,idle,,3,worried,,3,3,1.0,,,ade,ade,,
event_maidinvalentine_05_s_55,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_55,True,,1,sad,,13,idle,,3,worried,,3,3,1.0,,,ade,ade,,
event_maidinvalentine_05_s_56,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_56,False,,1,sad,,13,idle,,3,worried,,3,3,1.0,,,ade,,,
event_maidinvalentine_05_s_57,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_57,True,,1,sad,,13,idle,,3,delight,,3,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_58,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_58,True,,1,sad,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,
event_maidinvalentine_05_s_59,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_59,True,,1,sad,,13,idle,,3,idle,,30,30,1.0,,,ade,ade,,
