id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_overzone2_04_s_16,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_16,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,surprise,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_17,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_17,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,surprise,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_18,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_18,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,surprise,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_19,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_19,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_20,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_20,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_21,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_21,True,,,,,,,12,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_22,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_22,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_23,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_23,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_24,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_24,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_25,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_25,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_26,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_26,False,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_27,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_27,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_28,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_28,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_29,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_29,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_30,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_30,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_31,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_31,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_32,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_32,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_33,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_33,False,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_34,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_34,True,,,,,,,L_10,L_100,0,,,,100,none,,None,None,,None,False,,,1,idle,,,13,no,,,15,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_35,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_35,True,,,,,,,4,4,0,,,,100,bgm_story_signal,,None,None,,Black,False,,,1,idle,,,13,idle,,rapunzel,15,no,dorothy,,3,idle,collectrobot,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_36,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_36,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_37,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_37,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_38,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_38,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_39,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_39,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_40,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_40,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_41,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_41,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,think,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_42,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_42,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,think,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_43,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_43,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,worry,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_44,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_44,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,worry,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_45,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_45,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,worry,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_46,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_46,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_47,80304,event_overzone2_04_s,,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_04_s_47,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_48,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_48,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_49,80304,event_overzone2_04_s,,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone2_04_s_49,False,,,,,,,4,5,0,,sfx_scn_remotesignal,,100,none,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_50,80304,event_overzone2_04_s,,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone2_04_s_50,False,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_51,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_51,False,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,think,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_52,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_52,True,,,,,,,3,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,think,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_53,80304,event_overzone2_04_s,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_04_s_53,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
