id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_onemoretime_06_s_26,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_26,True,,1,idle,,3,idle,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_27,40044,event_onemoretime_06_s,Self,clay,Locale_SubScenario:event_onemoretime_06_s_27,False,,1,idle,,3,idle,,5,delight,,4,4,1.0,,,,,,,,
event_onemoretime_06_s_28,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_28,True,,1,delight,,3,idle,,5,delight,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_29,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_29,True,,1,delight,,3,idle,,5,delight,,4,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_30,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_30,True,,1,delight,,3,delight,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_31,40044,event_onemoretime_06_s,Narration,clay,Locale_SubScenario:event_onemoretime_06_s_31,False,,1,idle,,3,delight,,5,idle,,black,black,1.0,,,,black,,,,
event_onemoretime_06_s_32,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_32,True,,1,angry,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_33,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_33,True,,1,angry,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_34,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_34,True,,1,idle,,3,idle,,5,idle,,4,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_35,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_35,True,,1,idle,,3,idle,,5,idle,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_36,40044,event_onemoretime_06_s,Self,clay,Locale_SubScenario:event_onemoretime_06_s_36,False,,1,idle,,3,idle,,5,idle,,4,4,1.0,,,,,,,,
event_onemoretime_06_s_37,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_37,True,,1,worry,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_38,40044,event_onemoretime_06_s,Self,bay,Locale_SubScenario:event_onemoretime_06_s_38,False,,1,worry,,3,idle,,5,idle,,10,10,1.0,,,,,,,,
event_onemoretime_06_s_39,40044,event_onemoretime_06_s,Monologue,bay,Locale_SubScenario:event_onemoretime_06_s_39,False,,1,worry,,3,idle,,5,idle,,black,black,1.0,,,,,,,,
event_onemoretime_06_s_40,40044,event_onemoretime_06_s,Monologue,bay,Locale_SubScenario:event_onemoretime_06_s_40,False,,1,idle,,3,idle,,5,idle,Park,black,black,1.0,none,,,,mc,17,idle,
event_onemoretime_06_s_41,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_41,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,bgm_story_onlineshopping,mc,,,,17,idle,
event_onemoretime_06_s_42,40044,event_onemoretime_06_s,Monologue,Monologue,Locale_SubScenario:event_onemoretime_06_s_42,False,,1,idle,,3,idle,,5,idle,,17,17,1.0,,,,,,17,idle,
event_onemoretime_06_s_43,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_43,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,mc,,,,17,idle,
event_onemoretime_06_s_44,40044,event_onemoretime_06_s,Speech,cheeringspectators,Locale_SubScenario:event_onemoretime_06_s_44,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,cheeringspectators,sfx_scn_bigcrowdcheer,,,17,idle,
event_onemoretime_06_s_45,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_45,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,mc,,,,17,idle,
event_onemoretime_06_s_46,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_46,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,mc,,,,17,idle,
event_onemoretime_06_s_47,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_47,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,mc,,,,17,idle,
event_onemoretime_06_s_48,40044,event_onemoretime_06_s,Speech,cheeringspectators,Locale_SubScenario:event_onemoretime_06_s_48,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,cheeringspectators,sfx_scn_bigcrowdcheer,,,17,idle,
event_onemoretime_06_s_49,40044,event_onemoretime_06_s,Speech,mc,Locale_SubScenario:event_onemoretime_06_s_49,True,,1,idle,,3,idle,,5,idle,,17,17,1.0,,mc,,,,17,idle,
event_onemoretime_06_s_50,40044,event_onemoretime_06_s,Speech,staff02,Locale_SubScenario:event_onemoretime_06_s_50,True,,1,idle,,3,idle,,5,idle,SchoolCorridor,17,2,1.0,,staff02,,,,17,idle,
event_onemoretime_06_s_51,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_51,True,,1,idle,,3,worry,,5,idle,,2,2,1.0,,clay,,,,17,idle,mc
event_onemoretime_06_s_52,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_52,True,,1,surprise,,3,worry,,5,idle,,2,2,1.0,,bay,,,,,,
event_onemoretime_06_s_53,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_53,True,,1,surprise,,3,worry,,5,idle,,2,2,1.0,,bay,,,,,,
event_onemoretime_06_s_54,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_54,True,,1,idle,,3,worry,,5,delight,,2,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_55,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_55,True,,1,idle,,3,worry,,5,delight,,4,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_56,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_56,False,,1,idle,,3,surprise,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_57,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_57,True,,1,idle,,3,special,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_58,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_58,True,,1,idle,,3,special,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_59,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_59,True,,1,delight,,3,special,,5,delight,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_60,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_60,True,,1,delight,,3,special,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_61,40044,event_onemoretime_06_s,Self,bay,Locale_SubScenario:event_onemoretime_06_s_61,False,,1,delight,,3,special,,5,idle,,10,10,1.0,,,,,,,,
event_onemoretime_06_s_62,40044,event_onemoretime_06_s,Self,bay,Locale_SubScenario:event_onemoretime_06_s_62,False,,1,delight,,3,idle,,5,idle,,10,10,1.0,,,,,,,,
event_onemoretime_06_s_63,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_63,True,,1,delight,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_64,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_64,True,,1,idle,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,
event_onemoretime_06_s_65,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_65,True,,1,idle,,3,idle,,5,idle,,10,2,1.0,,clay,,,,,,
event_onemoretime_06_s_66,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_66,True,,1,idle,,3,idle,,5,idle,,2,2,1.0,,bay,,,,,,
event_onemoretime_06_s_67,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_67,True,,1,special,,3,idle,,5,idle,,2,2,1.0,,bay,,,,,,
event_onemoretime_06_s_68,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_68,True,,1,special,,3,idle,,5,idle,,2,2,1.0,,bay,,,,,,
event_onemoretime_06_s_69,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_69,True,,1,special,,3,idle,,5,idle,,2,2,1.0,,poli_c,,,,,,
event_onemoretime_06_s_70,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_70,True,,1,special,,3,idle,,5,delight,,1,10,0.5,,bay,,,,,,
event_onemoretime_06_s_71,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_71,True,,1,special,,3,special,,5,delight,,4,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_72,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_72,True,,1,special,,3,special,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_73,40044,event_onemoretime_06_s,Self,clay,Locale_SubScenario:event_onemoretime_06_s_73,False,,1,special,,3,special,,5,delight,,4,4,1.0,,,,,,,,
event_onemoretime_06_s_74,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_74,True,,1,delight,,3,special,,5,delight,,10,10,1.0,none,bay,,,,,,
event_onemoretime_06_s_75,40044,event_onemoretime_06_s,Monologue,bay,Locale_SubScenario:event_onemoretime_06_s_75,False,,1,delight,,3,special,,5,delight,Park,10,17,1.0,,,,,,,,
event_onemoretime_06_s_76,40044,event_onemoretime_06_s,Speech,cheeringspectators,Locale_SubScenario:event_onemoretime_06_s_76,True,,1,idle,,3,special,,5,delight,,17,170,0.7,event_bgm_onemoretime,cheeringspectators,sfx_scn_bigcrowdcheer,,,,,
event_onemoretime_06_s_77,40044,event_onemoretime_06_s,Monologue,bay,Locale_SubScenario:event_onemoretime_06_s_77,False,,1,special,,3,special,,5,delight,,170,170,1.0,,,,,,,,
event_onemoretime_06_s_78,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_78,True,,1,special,,3,special,,5,delight,,1,10,0.5,,bay,sfx_scn_pompom3,,,,,
event_onemoretime_06_s_79,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_79,True,,1,special,,3,special,,5,delight,,10,10,1.0,,bay,sfx_scn_pompom2,,,,,
event_onemoretime_06_s_80,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_80,True,,1,special,,3,special,,5,delight,,4,4,1.0,,poli_c,,,,,,
event_onemoretime_06_s_81,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_81,True,,1,special,,3,special,,5,delight,,4,4,1.0,,clay,,,,,,
event_onemoretime_06_s_82,40044,event_onemoretime_06_s,Monologue,clay,Locale_SubScenario:event_onemoretime_06_s_82,False,,1,special,,3,special,,5,delight,,black,black,1.0,,,,,,,,
