id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_overzone2_epilogue_81,80304,event_overzone2_epilogue,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_epilogue_81,False,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_82,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_82,True,,,,,,,31,100,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_83,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_83,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_84,80304,event_overzone2_epilogue,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_epilogue_84,True,,,,,,,L_30,L_30,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_85,80304,event_overzone2_epilogue,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_epilogue_85,True,,,,,,,L_30,L_300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_86,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_86,False,,,,,,,L_300,L_300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_87,80304,event_overzone2_epilogue,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_epilogue_87,True,,,,,,,L_300,L_300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_88,80304,event_overzone2_epilogue,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_epilogue_88,True,,,,,,,L_300,L_300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_89,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_89,False,,,,,,,L_300,31,0,,,,100,,,None,None,,None,False,,,1,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_90,80304,event_overzone2_epilogue,,Narration,Narration,Narration,Locale_MainScenario:event_overzone2_epilogue_90,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,think,,snowwhite,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_91,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_91,False,,,,,,,31,1,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_92,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_92,True,,,,,,,1,10,0,,,,100,none,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_93,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_93,True,,,,,,,10,100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_94,80304,event_overzone2_epilogue,,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_epilogue_94,True,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_epilogue_95,80304,event_overzone2_epilogue,,Narration,Narration,Narration,Locale_MainScenario:event_overzone2_epilogue_95,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
