id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,fade
event_lordforjustice_05_s_13,40078,event_lordforjustice_05_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_05_s_13,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_14,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_14,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_15,40078,event_lordforjustice_05_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_05_s_15,False,,1,think,,,,,10,10,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_16,40078,event_lordforjustice_05_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_05_s_16,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_17,40078,event_lordforjustice_05_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_05_s_17,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_18,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_18,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_19,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_19,False,,1,think,,,,,10,2,1.3,,k,,3,idle,,,,,,
event_lordforjustice_05_s_20,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_20,True,,1,think,,,,,2,2,1.0,,k,,3,idle,,,,,,
event_lordforjustice_05_s_21,40078,event_lordforjustice_05_s,Monologue,k,Locale_SubScenario:event_lordforjustice_05_s_21,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_22,40078,event_lordforjustice_05_s,Narration,k,Locale_SubScenario:event_lordforjustice_05_s_22,False,,1,think,,,,,black,black,1.0,,,,3,idle,,sfx_scn_pour_water,,,,
event_lordforjustice_05_s_23,40078,event_lordforjustice_05_s,Monologue,k,Locale_SubScenario:event_lordforjustice_05_s_23,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_24,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_24,True,,1,think,,,,,2,2,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_25,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_25,True,,1,think,,,,,2,2,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_26,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_26,True,,1,think,,,,,2,2,1.0,,k,,3,surprise,,,,,,
event_lordforjustice_05_s_27,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_27,True,,1,worry,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_28,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_28,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_29,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_29,True,,1,think,,,,,2,2,1.0,,k,,3,think,,,,,,
event_lordforjustice_05_s_30,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_30,True,,1,think,,,,,2,2,1.0,,k,,3,think,,,,,,
event_lordforjustice_05_s_31,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_31,True,,1,think,,,,,2,2,1.0,,moran_c,,3,think,,,,,,
event_lordforjustice_05_s_32,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_32,True,,1,think,,,,,2,S_30,1.3,,k,,3,surprise,,,,,,
event_lordforjustice_05_s_33,40078,event_lordforjustice_05_s,Monologue,k,Locale_SubScenario:event_lordforjustice_05_s_33,False,,1,think,,,,,black,black,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_34,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_34,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_35,40078,event_lordforjustice_05_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_05_s_35,False,,1,think,,,,,10,10,1.0,,,,3,idle,,,,,,
event_lordforjustice_05_s_36,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_36,False,,1,think,,,,,10,10,1.0,,k,,3,idle,,,,,,
event_lordforjustice_05_s_37,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_37,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_38,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_38,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_39,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_39,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_40,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_40,True,,1,think,,,,,10,10,1.0,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_41,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_41,True,,1,think,,,,,10,S_30,1.3,,k,,3,idle,,,,,,
event_lordforjustice_05_s_42,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_42,True,,1,think,,,,,S_30,S_30,1.0,,k,,3,idle,,,,,,
event_lordforjustice_05_s_43,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_43,True,,1,angry,,,,,S_30,2,1.3,,moran_c,,3,idle,,,,,,
event_lordforjustice_05_s_44,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_44,False,,1,angry,,,,,2,2,1.0,,k,,3,surprise,,,,,,
event_lordforjustice_05_s_45,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_45,True,,1,angry,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_46,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_46,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_47,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_47,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_48,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_48,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_49,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_49,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_50,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_50,False,,1,think,,,,,2,2,1.0,,k,,3,surprise,,,,,,
event_lordforjustice_05_s_51,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_51,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_52,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_52,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_53,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_53,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_54,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_54,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_55,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_55,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_56,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_56,True,,1,think,,,,,2,2,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_57,40078,event_lordforjustice_05_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_05_s_57,False,,1,think,,,,,2,2,1.0,,,,3,surprise,,,,,,
event_lordforjustice_05_s_58,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_58,False,,1,think,ltk_event,1,idle,,black,black,1.0,,d,,3,surprise,,,k,moran_c,Grey,black
event_lordforjustice_05_s_59,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_59,True,,,,,1,idle,,lordforjustice_05,lordforjustice_05,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_60,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_60,True,,,,,1,idle,,lordforjustice_05,lordforjustice_05,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_61,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_61,True,,,,,1,idle,,lordforjustice_05,lordforjustice_05,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_62,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_62,True,,,,,1,idle,,lordforjustice_05,lordforjustice_05,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_63,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_63,True,,,,,1,idle,,lordforjustice_05,lordforjustice_06,2.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_64,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_64,True,,,,,1,idle,,lordforjustice_06,lordforjustice_06,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_65,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_65,True,,,,,1,idle,,lordforjustice_06,lordforjustice_06,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_66,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_66,True,,,,,1,idle,,lordforjustice_06,lordforjustice_06,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_67,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_67,True,,,,,1,idle,,lordforjustice_06,lordforjustice_05,2.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_68,40078,event_lordforjustice_05_s,Speech,d,Locale_SubScenario:event_lordforjustice_05_s_68,True,,,,,1,idle,,lordforjustice_05,lordforjustice_05,1.0,,d,,,,,,,,Grey,
event_lordforjustice_05_s_69,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_69,False,moran_c,1,think,,1,idle,,black,black,1.0,,k,k,3,surprise,ltk_event,,,,,black
event_lordforjustice_05_s_70,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_70,True,,1,think,,,,,10,10,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_71,40078,event_lordforjustice_05_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_05_s_71,False,,1,think,,,,,10,10,1.0,,,,3,surprise,,,,,,
event_lordforjustice_05_s_72,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_72,True,,1,think,,,,,10,10,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_73,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_73,True,,1,think,,,,,10,10,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_74,40078,event_lordforjustice_05_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_05_s_74,True,,1,think,,,,,10,10,1.0,,moran_c,,3,surprise,,,,,,
event_lordforjustice_05_s_75,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_75,False,,1,think,,,,,10,S_30,1.3,none,k,,3,think,,,,moran_c,,
event_lordforjustice_05_s_76,40078,event_lordforjustice_05_s,Self,k,Locale_SubScenario:event_lordforjustice_05_s_76,False,,,,,,,,S_30,S_30,1.0,,,,3,think,,,,,,
event_lordforjustice_05_s_77,40078,event_lordforjustice_05_s,Speech,k,Locale_SubScenario:event_lordforjustice_05_s_77,True,,,,,,,,S_30,S_300,1.3,,k,,3,think,,,,,,
event_lordforjustice_05_s_78,40078,event_lordforjustice_05_s,Narration,k,Locale_SubScenario:event_lordforjustice_05_s_78,False,,,,,,,,black,black,1.0,,,,3,think,,sfx_scn_naturalfootstep,,,,
event_lordforjustice_05_s_79,40078,event_lordforjustice_05_s,Monologue,k,Locale_SubScenario:event_lordforjustice_05_s_79,False,,,,,,,,3,3,1.0,,,,3,think,,,,,,
event_lordforjustice_05_s_80,40078,event_lordforjustice_05_s,Self,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_80,False,vii_unknown,14,idle,,,,,3,14,1.5,,,,3,think,,,,,,
event_lordforjustice_05_s_81,40078,event_lordforjustice_05_s,Speech,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_81,True,,14,idle,,,,,14,14,1.0,,vii_unknown,,3,think,,,,,,
event_lordforjustice_05_s_82,40078,event_lordforjustice_05_s,Speech,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_82,True,,14,idle,,,,,14,L_140,1.3,,vii_unknown,,3,think,,,,,,
event_lordforjustice_05_s_83,40078,event_lordforjustice_05_s,Self,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_83,False,,14,idle,,,,,L_140,L_140,1.0,,,,3,think,,,,,,
event_lordforjustice_05_s_84,40078,event_lordforjustice_05_s,Speech,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_84,True,,14,idle,,,,,L_140,L_140,1.0,,vii,,3,think,,,,,,
event_lordforjustice_05_s_85,40078,event_lordforjustice_05_s,Speech,vii_unknown,Locale_SubScenario:event_lordforjustice_05_s_85,True,,14,idle,,,,,L_140,L_1400,1.3,,vii,,3,think,,,,,,
