id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,conversation_id,characters/1/hide_char_id,set_filter_01,set_filter_02
event_dirtybackyard_04_s_19,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_19,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_20,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_20,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_21,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_21,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_22,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_22,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_23,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_23,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_24,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_24,False,,5,idle,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_25,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_25,True,,5,idle,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_26,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_26,True,,5,idle,,50,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_27,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_27,True,,5,idle,,6,6,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_28,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_28,True,,5,think,,6,50,1.0,none,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_29,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_29,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_30,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_30,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_31,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_31,False,,5,think,,50,50,1.0,bgm_enemyclose,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_32,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_32,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_33,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_33,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_34,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_34,True,,5,think,,50,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_35,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_35,True,,5,think,,500,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_36,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_36,True,,5,think,,500,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_37,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_37,True,,5,angry,,500,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_38,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_38,True,,5,angry,,500,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_39,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_39,False,,5,angry,,15,150,3.0,,,7,idle,Low_2,sfx_scn_sonicexplode,,3,idle,,,,
event_dirtybackyard_04_s_40,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_40,False,,5,angry,,150,150,1.0,,,7,idle,,sfx_scn_collapsewall,,3,idle,,,,
event_dirtybackyard_04_s_41,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_41,True,,5,angry,,7,7,1.0,,,7,idle,Low_2,,,3,idle,,,,
event_dirtybackyard_04_s_42,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_42,True,,5,angry,,7,7,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_43,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_43,True,,5,angry,,7,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_44,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_44,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_45,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_45,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_46,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_46,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_47,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_47,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_48,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_48,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_49,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_49,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_50,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_50,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_51,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_51,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_52,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_52,True,,5,angry,,50,500,0.5,,,7,idle,Low_2,,,3,idle,,,,
event_dirtybackyard_04_s_53,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_53,True,,5,angry,,500,500,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_54,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_54,True,,5,think,,500,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_55,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_55,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_56,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_56,True,,5,angry,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_57,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_57,False,,5,angry,,15,150,0.3,,,7,idle,,sfx_scn_phonevibration,,3,idle,,,,
event_dirtybackyard_04_s_58,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_58,False,,5,angry,,150,150,1.0,,,7,idle,,sfx_scn_phonevibration,,3,idle,,,,
event_dirtybackyard_04_s_59,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_59,False,,5,angry,,150,150,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_60,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_60,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_61,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_61,False,,5,think,,15,150,0.3,,,7,idle,,sfx_scn_phonevibration,,3,idle,,,,
event_dirtybackyard_04_s_62,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_62,False,,5,think,,150,150,1.0,,,7,idle,,sfx_scn_phonevibration,,3,idle,,,,
event_dirtybackyard_04_s_63,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_63,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_64,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_64,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_65,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_65,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_66,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_66,True,,5,think,,50,50,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_67,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_67,True,,5,think,,7,7,1.0,,,7,idle,Low_2,,,3,idle,,,,
event_dirtybackyard_04_s_68,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_68,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_69,40038,event_dirtybackyard_04_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_04_s_69,True,,5,think,,S_30,S_30,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_70,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_70,True,,5,think,,S_30,S_30,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_71,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_71,False,,5,think,,black,black,1.0,none,,7,idle,,,,3,idle,m_event_dirtybackyard_04_s,,,
event_dirtybackyard_04_s_72,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_72,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_73,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_73,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_74,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_74,False,,5,think,,black,black,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_75,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_75,True,,5,think,,7,7,1.0,bgm_mystery,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_76,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_76,True,,5,think,,7,7,1.0,,,7,idle,,,,3,idle,,,,
event_dirtybackyard_04_s_77,40038,event_dirtybackyard_04_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_04_s_77,True,,5,think,,S_30,S_30,1.0,,,7,idle,,,,3,angry,,,,
event_dirtybackyard_04_s_78,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_78,False,,5,think,,S_30,15,0.7,,,7,idle,,sfx_scn_bombbeep,,3,angry,,,,
event_dirtybackyard_04_s_79,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_79,True,,5,think,,15,15,1.0,,,7,idle,,,,3,angry,,,,
event_dirtybackyard_04_s_80,40038,event_dirtybackyard_04_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_04_s_80,True,,5,angry,,S_30,S_30,1.0,,,7,idle,,,,3,angry,,ourterrimmannn,,
event_dirtybackyard_04_s_81,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_81,True,,5,angry,,50,50,1.0,,,,,Low_2,,,3,angry,,,,
event_dirtybackyard_04_s_82,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_82,False,,5,angry,,15,150,0.3,,,,,Low_2,sfx_scn_sonicexplode,,3,angry,,,Vignetting,Red
event_dirtybackyard_04_s_83,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_83,False,,5,angry,,black,black,1.0,,,,,,,,3,angry,,,Vignetting,
event_dirtybackyard_04_s_84,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_84,False,,5,angry,,black,black,1.0,,,,,,,,3,angry,,,Vignetting,
