id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
event_ce004_2_01_e_20,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_20,True,,2,idle,,12,think,,1,20,1.0,,marciana
event_ce004_2_01_e_21,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_21,True,,2,idle,,12,think,,20,20,1.0,,marciana
event_ce004_2_01_e_22,40056,event_ce004_2_01_e,Self,marciana,Locale_SubScenario:event_ce004_2_01_e_22,False,,2,idle,,12,think,,20,20,1.0,,
event_ce004_2_01_e_23,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_23,True,,2,idle,,12,think,,20,20,1.0,,marciana
event_ce004_2_01_e_24,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_24,True,,2,idle,,12,think,,20,20,1.0,,marciana
event_ce004_2_01_e_25,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_25,True,,2,idle,,12,think,,20,200,1.0,,marciana
event_ce004_2_01_e_26,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_26,True,,2,idle,,12,think,,200,200,1.0,,marciana
event_ce004_2_01_e_27,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_27,True,,2,idle,,12,think,,200,200,1.0,,marciana
event_ce004_2_01_e_28,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_28,True,,2,idle,,12,think,,200,200,1.0,,marciana
event_ce004_2_01_e_29,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_29,True,,2,idle,,12,think,,200,20,1.0,,marciana
event_ce004_2_01_e_30,40056,event_ce004_2_01_e,Self,marciana,Locale_SubScenario:event_ce004_2_01_e_30,False,,2,idle,,12,think,,20,20,1.0,,
event_ce004_2_01_e_31,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_31,True,,2,idle,,12,idle,,20,120,1.0,,ce004_04
event_ce004_2_01_e_32,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_32,True,,2,idle,,12,idle,,120,120,1.0,,ce004_04
event_ce004_2_01_e_33,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_33,True,,2,idle,,12,idle,,120,120,1.0,,ce004_04
event_ce004_2_01_e_34,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_34,True,,2,idle,,12,idle,,120,1,1.0,,marciana
event_ce004_2_01_e_35,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_35,True,,2,idle,,12,idle,,1,1,1.0,,ce004_04
event_ce004_2_01_e_36,40056,event_ce004_2_01_e,Self,ce004_04,Locale_SubScenario:event_ce004_2_01_e_36,False,,2,idle,,12,idle,,1,1,1.0,,
event_ce004_2_01_e_37,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_37,True,,2,idle,,12,idle,,1,20,1.0,,marciana
event_ce004_2_01_e_38,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_38,True,,2,idle,,12,idle,,20,200,1.0,,marciana
