id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,play_sound,jump_target
event_beautyfullshot2_01_e_25,40052,event_beautyfullshot2_01_e,Self,Locale_MainScenario:event_beautyfullshot2_01_e_25,False,,1,shy,,10,10,1.0,,,sakura_s,,,
event_beautyfullshot2_01_e_26,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_26,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_27,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_27,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_28,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_28,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_29,40052,event_beautyfullshot2_01_e,Choice,Locale_MainScenario:event_beautyfullshot2_01_e_29,False,,1,shy,,10,10,1.0,,,sakura_s,,,event_beautyfullshot2_01_e_31
event_beautyfullshot2_01_e_30,40052,event_beautyfullshot2_01_e,Choice,Locale_MainScenario:event_beautyfullshot2_01_e_30,False,,1,shy,,10,10,1.0,,,sakura_s,,,event_beautyfullshot2_01_e_34
event_beautyfullshot2_01_e_31,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_31,True,,1,shy,,10,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_32,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_32,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_33,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_33,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,event_beautyfullshot2_01_e_39
event_beautyfullshot2_01_e_34,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_34,True,,1,shy,,10,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_35,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_35,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_36,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_36,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_37,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_37,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_38,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_38,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,event_beautyfullshot2_01_e_39
event_beautyfullshot2_01_e_39,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_39,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_40,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_40,True,,1,shy,,100,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_41,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_41,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_42,40052,event_beautyfullshot2_01_e,Self,Locale_MainScenario:event_beautyfullshot2_01_e_42,False,,1,shy,,10,10,1.0,,,sakura_s,,,
event_beautyfullshot2_01_e_43,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_43,False,,1,shy,,10,100,0.7,,,sakura_s,,,
event_beautyfullshot2_01_e_44,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_44,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_45,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_45,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_46,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_46,True,,1,shy,,100,100,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_47,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_47,False,,1,shy,,100,10,1.0,,,sakura_s,,,
event_beautyfullshot2_01_e_48,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_48,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_49,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_49,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_50,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_50,True,,1,shy,,10,10,1.0,,,sakura_s,sakura_s,,
event_beautyfullshot2_01_e_51,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_51,False,,1,shy,,black,black,1.0,,,sakura_s,,,
