id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound
event_ce004_3_01_14,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_14,False,,2,idle,,12,idle,,20,20,1.0,,,
event_ce004_3_01_15,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_15,True,,2,delight,,12,idle,,20,1,1.0,,marciana,
event_ce004_3_01_16,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_16,True,,2,delight,,12,idle,,1,1,1.0,,marciana,
event_ce004_3_01_17,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_17,False,,2,delight,,12,idle,,1,1,1.0,,,
event_ce004_3_01_18,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_18,True,,2,delight,,12,idle,,1,1,1.0,,ce004_04,
event_ce004_3_01_19,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_19,True,,2,idle,,12,idle,,1,20,1.0,,marciana,
event_ce004_3_01_20,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_20,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_21,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_21,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_22,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_22,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_23,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_23,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_24,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_24,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_25,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_25,True,,2,idle,,12,idle,,20,20,1.0,,marciana,
event_ce004_3_01_26,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_26,False,,2,idle,,12,idle,,20,20,1.0,,,
event_ce004_3_01_27,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_27,False,,2,idle,,12,idle,,20,20,1.0,,,
event_ce004_3_01_28,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_28,True,,2,idle,,12,idle,,20,1,1.0,,ce004_04,
event_ce004_3_01_29,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_29,True,,2,idle,,12,idle,,1,1,1.0,,marciana,
event_ce004_3_01_30,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_30,True,,2,idle,,12,idle,,1,1,1.0,,ce004_04,
event_ce004_3_01_31,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_31,True,,2,idle,,12,delight,,1,1,1.0,,ce004_04,
event_ce004_3_01_32,40057,event_ce004_3_01,Narration,ce004_04,Locale_SubScenario:event_ce004_3_01_32,False,,2,idle,,12,delight,,1,1,1.0,none,,sfx_scn_phonevibration
event_ce004_3_01_33,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_33,True,,2,good,,12,delight,,1,20,1.0,,marciana,
event_ce004_3_01_34,40057,event_ce004_3_01,Monologue,marciana,Locale_SubScenario:event_ce004_3_01_34,False,,2,good,,12,delight,,20,20,1.0,,,
event_ce004_3_01_35,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_35,True,,2,idle,,12,delight,,20,20,1.0,,marciana,
event_ce004_3_01_36,40057,event_ce004_3_01,Narration,marciana,Locale_SubScenario:event_ce004_3_01_36,False,,2,idle,,12,delight,,20,20,1.0,,Narration,sfx_scn_phoneonce
event_ce004_3_01_37,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_37,True,,2,idle,,12,delight,,20,20,1.0,,marciana,
event_ce004_3_01_38,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_38,True,,2,rage,,12,delight,,20,200,0.7,,marciana,
event_ce004_3_01_39,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_39,True,,2,rage,,12,delight,,200,200,1.0,,marciana,
event_ce004_3_01_40,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_40,True,,2,rage,,12,delight,,200,200,1.0,bgm_enemyclose,marciana,
event_ce004_3_01_41,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_41,False,,2,rage,,12,delight,,200,200,1.0,,,
event_ce004_3_01_42,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_42,True,,2,rage,,12,surprise,,120,120,1.0,,ce004_04,
event_ce004_3_01_43,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_43,True,,2,think,,12,surprise,,200,200,1.0,,marciana,
event_ce004_3_01_44,40057,event_ce004_3_01,Narration,marciana,Locale_SubScenario:event_ce004_3_01_44,False,,2,think,,12,surprise,,200,200,1.0,,,sfx_scn_phoneonce
event_ce004_3_01_45,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_45,True,,2,think,,12,surprise,,200,1,1.0,,ce004_04,
event_ce004_3_01_46,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_46,True,,2,think,,12,surprise,,1,1,1.0,,ce004_04,
event_ce004_3_01_47,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_47,True,,2,special,,12,surprise,,1,1,1.0,,marciana,
event_ce004_3_01_48,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_48,True,,2,special,,12,surprise,,1,1,1.0,,marciana,
event_ce004_3_01_49,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_49,False,,2,special,,12,surprise,,1,1,1.0,,,
event_ce004_3_01_50,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_50,True,,2,think,,12,surprise,,1,1,1.0,,marciana,
event_ce004_3_01_51,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_51,True,,2,think,,12,think,,1,120,1.0,,ce004_04,
event_ce004_3_01_52,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_52,True,,2,think,,12,think,,120,120,1.0,,ce004_04,
event_ce004_3_01_53,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_53,True,,2,think,,12,think,,120,120,1.0,,ce004_04,
event_ce004_3_01_54,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_54,True,,2,think,,12,think,,20,20,1.0,,marciana,
event_ce004_3_01_55,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_55,False,,2,think,,12,think,,20,20,1.0,,,
event_ce004_3_01_56,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_56,True,,2,think,,12,think,,120,120,1.0,,ce004_04,
