id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_maidinvalentine_04_s_11,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_11,True,,5,idle,,3,idle,,1,sad,,13,idle,,50,50,1.0,,
event_maidinvalentine_04_s_12,40007,event_maidinvalentine_04_s,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_04_s_12,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,4,0.7,,
event_maidinvalentine_04_s_13,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_13,True,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_14,40007,event_maidinvalentine_04_s,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_04_s_14,True,,5,idle,,3,serious,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_15,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_15,True,,5,idle,,3,serious,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_16,40007,event_maidinvalentine_04_s,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_04_s_16,False,,5,idle,,3,delight,,1,idle,,13,idle,,4,XS_40,2.0,,
event_maidinvalentine_04_s_17,40007,event_maidinvalentine_04_s,Narration,,Narration,Locale_SubScenario:event_maidinvalentine_04_s_17,False,,5,idle,,3,delight,,1,idle,,13,idle,,black,black,1.0,,c311_ult_ketchup
event_maidinvalentine_04_s_18,40007,event_maidinvalentine_04_s,Self,,Self,Locale_SubScenario:event_maidinvalentine_04_s_18,False,,5,idle,,3,delight,,1,idle,,13,idle,,XS_40,XS_40,1.0,,
event_maidinvalentine_04_s_19,40007,event_maidinvalentine_04_s,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_04_s_19,True,,5,idle,,3,idle,,1,idle,,13,worried,,130,130,1.0,,
event_maidinvalentine_04_s_20,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_20,True,,5,idle,,3,idle,,1,idle,,13,worried,,50,50,1.0,,
event_maidinvalentine_04_s_21,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_21,True,,5,idle,,3,idle,,1,idle,,13,worried,,50,50,1.0,,
event_maidinvalentine_04_s_22,40007,event_maidinvalentine_04_s,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_04_s_22,True,,5,idle,,3,idle,,1,idle,,13,worried,,13,13,1.0,,
event_maidinvalentine_04_s_23,40007,event_maidinvalentine_04_s,Monologue,,Monologue,Locale_SubScenario:event_maidinvalentine_04_s_23,False,,5,idle,,3,idle,,1,idle,,13,worried,,13,2,2.0,,
event_maidinvalentine_04_s_24,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_24,True,,5,idle,,3,idle,,1,idle,,13,worried,,2,4,1.0,,
event_maidinvalentine_04_s_25,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_25,True,,5,idle,,3,idle,,1,idle,,13,worried,,4,4,1.0,,
event_maidinvalentine_04_s_26,40007,event_maidinvalentine_04_s,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_04_s_26,False,,5,idle,,3,idle,,1,idle,,13,worried,,13,13,1.0,,
