id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/3/hide_char_id
event_cherryblossom_02_e_17,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_17,True,,1,idle,,3,think,,13,angry,,L_30,L_30,1.0,,,,,,
event_cherryblossom_02_e_18,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_18,True,,1,idle,,3,think,,13,angry,,L_30,L_30,1.0,,,,,,
event_cherryblossom_02_e_19,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_19,True,,1,angry,,3,think,,13,angry,,L_30,10,1.0,none,,,,,
event_cherryblossom_02_e_20,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_20,True,,1,angry,,3,think,,13,angry,,10,10,1.0,,memberofseimeikai,6,idle,,
event_cherryblossom_02_e_21,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_21,True,,1,angry,,3,think,,13,angry,,10,10,1.0,,,6,idle,,
event_cherryblossom_02_e_22,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_22,True,,1,idle,,3,think,,13,angry,,10,10,1.0,,,6,idle,,
event_cherryblossom_02_e_23,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_23,True,,1,idle,,3,think,,13,angry,,10,10,1.0,,,6,idle,,
event_cherryblossom_02_e_24,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_24,True,,1,angry,,3,think,,13,angry,,10,1,1.0,bgm_story_fairytalesend_if,,6,idle,,
event_cherryblossom_02_e_25,40011,event_cherryblossom_02_e,Speech,memberofseimeikai,memberofseimeikai,Locale_SubScenario:event_cherryblossom_02_e_25,True,,1,angry,,3,think,,13,angry,,L_60,L_60,1.0,,,6,idle,,
event_cherryblossom_02_e_26,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_26,True,,1,angry,,3,think,,13,angry,,1,1,1.0,,,6,idle,,
event_cherryblossom_02_e_27,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_27,True,,1,angry,,3,think,,13,angry,,1,1,1.0,,,6,idle,,
event_cherryblossom_02_e_28,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_28,True,,1,angry,,3,think,,13,angry,,1,1,1.0,,,6,idle,,
event_cherryblossom_02_e_29,40011,event_cherryblossom_02_e,Speech,memberofseimeikai,memberofseimeikai,Locale_SubScenario:event_cherryblossom_02_e_29,True,,1,angry,,1,worry,,13,angry,,1,2,1.0,,,3,idle,sakura,
event_cherryblossom_02_e_30,40011,event_cherryblossom_02_e,Monologue,,,Locale_SubScenario:event_cherryblossom_02_e_30,False,sakura,8,angry,,1,worry,,13,angry,,black,black,1.0,,,3,idle,sakura,
event_cherryblossom_02_e_31,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_31,True,,,,,1,worry,,13,angry,,2,2,1.0,,,3,idle,,
event_cherryblossom_02_e_32,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_32,True,sakura,8,idle,,1,worry,,13,angry,,2,12,1.0,,,3,idle,,
event_cherryblossom_02_e_33,40011,event_cherryblossom_02_e,Self,,,Locale_SubScenario:event_cherryblossom_02_e_33,False,,8,idle,,1,worry,,13,angry,,80,80,1.0,,,3,idle,,
event_cherryblossom_02_e_34,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_34,True,,8,idle,,1,worry,,13,angry,,80,80,1.0,,,3,idle,,memberofseimeikai
event_cherryblossom_02_e_35,40011,event_cherryblossom_02_e,Self,,,Locale_SubScenario:event_cherryblossom_02_e_35,False,,8,idle,,1,worry,,13,angry,,80,80,1.0,,,,,,
event_cherryblossom_02_e_36,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_36,True,,8,idle,,1,worry,,13,angry,,80,800,1.0,,,,,,
event_cherryblossom_02_e_37,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_37,True,,8,idle,,1,worry,,13,angry,,800,800,1.0,,,,,,
event_cherryblossom_02_e_38,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_38,True,,8,idle,,1,worry,,13,angry,,800,800,1.0,,,,,,
event_cherryblossom_02_e_39,40011,event_cherryblossom_02_e,Self,,,Locale_SubScenario:event_cherryblossom_02_e_39,False,,8,idle,,1,worry,,13,angry,,800,800,1.0,,,,,,
event_cherryblossom_02_e_40,40011,event_cherryblossom_02_e,Monologue,,,Locale_SubScenario:event_cherryblossom_02_e_40,False,,8,idle,,1,worry,,13,angry,,800,800,1.0,,,,,sakura,
event_cherryblossom_02_e_41,40011,event_cherryblossom_02_e,Narration,moran,,Locale_SubScenario:event_cherryblossom_02_e_41,False,,,,,1,angry,,13,angry,,L_10,L_10,1.0,,,,,,
event_cherryblossom_02_e_42,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_42,True,,,,,1,angry,,13,angry,,L_10,L_10,1.0,,,,,,
event_cherryblossom_02_e_43,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_43,True,,,,,1,angry,,13,angry,,L_10,L_10,1.0,,,,,,
