id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_miraclesnow2_05_s_16,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_16,True,,1,think,,S_130,113,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_17,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_17,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_18,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_18,True,,1,think,,113,113,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_19,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_19,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_20,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_20,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_21,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_21,True,,1,think,,113,113,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_22,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_22,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_23,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_23,False,,1,think,,113,113,1.0,,,,,,13,angry
event_miraclesnow2_05_s_24,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_24,True,,1,think,,113,113,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_25,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_25,True,,1,think,,113,113,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_26,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_26,False,,1,think,,113,113,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_27,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_27,True,,1,think,,113,13,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_28,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_28,True,,1,think,,13,13,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_29,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_29,True,,1,think,,13,13,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_30,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_30,True,,1,think,,13,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_31,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_31,False,,1,think,,S_130,S_130,1.0,,,,,,13,angry
event_miraclesnow2_05_s_32,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_32,False,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_33,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_33,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_34,40004,event_miraclesnow2_05_s,Monologue,Locale_SubScenario:event_miraclesnow2_05_s_34,False,,1,think,,S_130,S_1300,1.0,,,,,,13,angry
event_miraclesnow2_05_s_35,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_35,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_36,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_36,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_37,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_37,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_38,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_38,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_39,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_39,False,,1,think,,S_1300,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_40,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_40,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_41,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_41,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_42,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_42,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_43,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_43,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_44,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_44,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_45,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_45,True,,1,think,,S_130,S_1300,0.5,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_46,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_46,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_47,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_47,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_48,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_48,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_49,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_49,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_50,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_50,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_51,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_51,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_52,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_52,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_53,40004,event_miraclesnow2_05_s,Monologue,Locale_SubScenario:event_miraclesnow2_05_s_53,False,,1,think,,S_1300,S_130,0.5,,,,,,13,angry
event_miraclesnow2_05_s_54,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_54,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_55,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_55,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_56,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_56,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_57,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_57,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_58,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_58,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,think
event_miraclesnow2_05_s_59,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_59,False,,1,think,,S_130,S_130,1.0,,,,,,13,think
event_miraclesnow2_05_s_60,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_60,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_61,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_61,True,,1,think,,S_130,S_1300,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_62,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_62,True,,1,think,,S_1300,S_1300,1.0,,syuen,syuen,,,13,think
event_miraclesnow2_05_s_63,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_63,True,,1,think,,S_1300,113,1.0,,rupee_w,rupee,,,13,think
event_miraclesnow2_05_s_64,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_64,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,think
event_miraclesnow2_05_s_65,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_65,True,,1,think,,113,113,1.0,,rupee_w,rupee,,,13,think
event_miraclesnow2_05_s_66,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_66,True,,1,think,,113,113,1.0,,syuen,syuen,,,13,think
event_miraclesnow2_05_s_67,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_67,False,,1,think,,113,113,1.0,,,,,,13,think
event_miraclesnow2_05_s_68,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_68,True,,1,think,,113,S_130,1.0,,syuen,syuen,,,13,delight
event_miraclesnow2_05_s_69,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_69,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,think
event_miraclesnow2_05_s_70,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_70,True,,1,think,,S_130,S_130,1.0,,syuen,syuen,,,13,angry
event_miraclesnow2_05_s_71,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_71,False,,1,think,,S_130,S_130,1.0,,,,,,13,angry
event_miraclesnow2_05_s_72,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_72,True,,1,think,,S_130,L_10,1.0,none,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_73,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_73,False,,1,think,,L_10,L_10,1.0,,,,,,13,angry
event_miraclesnow2_05_s_74,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_74,True,,1,think,,L_10,L_10,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_75,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_75,False,,1,think,,L_10,L_10,1.0,,,,,,13,angry
event_miraclesnow2_05_s_76,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_76,True,,1,surprise,,L_10,L_10,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_77,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_77,False,,1,surprise,,L_10,L_10,1.0,,,,,,13,angry
event_miraclesnow2_05_s_78,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_78,True,,1,idle_02,,L_10,L_100,1.0,,rupee_w,rupee,,,13,angry
event_miraclesnow2_05_s_79,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_79,True,,1,idle_02,,L_100,L_100,1.0,,rupee_w,rupee,,,13,angry
