id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,fade,set_camera_shake,set_filter_01,play_sound
d_nikke_volume_04_30,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_30,True,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_31,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_31,True,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_32,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_32,False,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_33,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_33,True,,,,,13,surprise,City,S_130,13,1.0,,,,black,,,
d_nikke_volume_04_34,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_34,False,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_35,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_35,True,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_36,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_36,False,,,,,13,surprise,,13,5,1.0,bgm_story_herecomestrouble,,,,,,
d_nikke_volume_04_37,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_37,True,,,,,13,surprise,,5,5,1.0,,,,,,,
d_nikke_volume_04_38,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_38,False,,,,,13,surprise,,5,5,1.0,,,,,,,
d_nikke_volume_04_39,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_39,True,,,,,13,surprise,,5,13,1.0,,,,,,,
d_nikke_volume_04_40,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_40,False,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_41,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_41,True,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_42,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_42,False,,,,,13,surprise,,13,13,1.0,,,,,Low_2,,
d_nikke_volume_04_43,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_43,True,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_44,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_44,False,,,,,13,surprise,,13,13,1.0,,,,,,,
d_nikke_volume_04_45,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_45,True,,,,,13,surprise,,13,S_130,0.5,,,,,,,
d_nikke_volume_04_46,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_46,False,,,,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_47,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_47,False,,,,,13,surprise,,S_130,S_130,1.0,,,,,Low_2,,
d_nikke_volume_04_48,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_48,False,,,,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_49,d_nikke_volume_04,Choice,,,Locale_NikkeEpisode:d_nikke_volume_04_49,False,,,,,13,surprise,,S_130,S_130,1.0,,d_nikke_volume_04_51,,,,,
d_nikke_volume_04_50,d_nikke_volume_04,Choice,,,Locale_NikkeEpisode:d_nikke_volume_04_50,False,,,,,13,surprise,,S_130,S_130,1.0,,d_nikke_volume_04_53,,,,,
d_nikke_volume_04_51,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_51,False,,,,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_52,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_52,False,,,,,13,surprise,,S_130,S_130,1.0,,d_nikke_volume_04_55,,,,,
d_nikke_volume_04_53,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_53,False,,,,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_54,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_54,False,,,,,13,surprise,,S_130,S_130,1.0,,d_nikke_volume_04_55,,,,,
d_nikke_volume_04_55,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_55,True,,,,,13,surprise,,S_130,S_1300,1.0,,,,,,,
d_nikke_volume_04_56,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_56,False,,,,,13,surprise,,S_1300,S_1300,1.0,,,,,,,
d_nikke_volume_04_57,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_57,True,,,,,13,idle,,S_1300,13,1.0,,,,,,,
d_nikke_volume_04_58,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_58,True,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_59,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_59,False,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_60,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_60,False,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_61,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_61,True,,,,,13,idle,,13,S_130,1.0,,,,,,,
d_nikke_volume_04_62,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_62,True,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_63,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_63,True,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_64,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_64,True,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_65,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_65,False,,,,,13,idle,,S_130,S_130,1.0,,,,,,,
d_nikke_volume_04_66,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_66,False,,,,,13,idle,,S_130,13,1.0,,,,,,,
d_nikke_volume_04_67,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_67,False,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_68,d_nikke_volume_04,Speech,volumefan,volumefan,Locale_NikkeEpisode:d_nikke_volume_04_68,False,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_69,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_69,True,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_70,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_70,True,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_71,d_nikke_volume_04,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_04_71,False,,,,,13,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_72,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_72,False,,,,,13,idle,,black,black,1.0,none,,,,,Black,
d_nikke_volume_04_73,d_nikke_volume_04,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_04_73,False,,,,,5,idle,CommanderRoom,black,black,1.0,,,,,,Black,
d_nikke_volume_04_74,d_nikke_volume_04,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_04_74,False,,,,,5,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_75,d_nikke_volume_04,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_04_75,False,,,,,5,idle,,13,13,1.0,,,,,,,
d_nikke_volume_04_76,d_nikke_volume_04,Narration,,,Locale_NikkeEpisode:d_nikke_volume_04_76,False,,,,,5,idle,,13,13,1.0,,,,,,,sfx_scn_remotesignal
d_nikke_volume_04_77,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_77,False,,,,,5,idle,,13,5,1.0,bgm_story_backtonormal,,,,,,
d_nikke_volume_04_78,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_78,True,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_79,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_79,True,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_80,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_80,False,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_81,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_81,False,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_82,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_82,False,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_83,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_83,True,,,,,5,surprise,,5,S_50,1.0,,,,,,,
d_nikke_volume_04_84,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_84,True,,,,,5,surprise,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_85,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_85,False,,,,,5,surprise,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_86,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_86,True,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_87,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_87,True,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_88,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_88,True,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_89,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_89,False,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_90,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_90,True,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_91,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_91,True,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_92,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_92,False,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_93,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_93,False,,,,,5,angry,,S_50,S_50,1.0,,,,,,,
d_nikke_volume_04_94,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_94,False,,,,,5,idle,,S_50,5,1.0,,,,,,,
d_nikke_volume_04_95,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_95,True,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_96,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_96,True,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_97,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_97,True,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_98,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_98,False,,,,,5,idle,,5,5,1.0,,,,,,,
d_nikke_volume_04_99,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_99,True,,,,,5,idle,,5,S_500,1.0,,,,,,,
d_nikke_volume_04_100,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_100,True,,,,,5,idle,,S_500,S_500,1.0,,,,,,,
d_nikke_volume_04_101,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_101,True,,,,,5,idle,,S_500,S_500,1.0,,,,,,,
d_nikke_volume_04_102,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_102,False,,,,,5,idle,,S_500,S_500,1.0,,,,,,,
d_nikke_volume_04_103,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_103,True,,,,,5,idle,,S_500,S_500,1.0,,,,,,,
