id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_flora_05_12,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_12,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_13,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_13,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_14,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_14,False,,,,,,,17,170,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_15,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_15,False,,,,,,,170,170,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_16,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_16,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_17,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_17,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_18,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_18,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_19,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_19,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_20,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_20,False,,,,,,,black,black,0,,none,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_21,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_21,False,,,,,,,black,black,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_22,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_22,False,,,,,,,17,17,0,,bgm_story_shapeofhope,,None,None,,Black,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_23,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_23,False,,,,,,,17,170,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_24,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_24,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_25,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_25,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_26,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_26,False,,,,,,,17,170,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_27,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_27,False,,,,,,,170,170,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_28,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_28,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_29,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_29,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_30,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_30,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_31,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_31,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_32,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_32,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_33,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_33,True,,,,,,,30,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_34,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_34,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_35,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_35,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_36,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_36,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_37,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_37,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_38,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_38,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_39,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_39,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_40,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_40,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_41,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_41,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_42,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_42,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_43,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_43,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_44,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_44,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_45,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_45,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_46,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_46,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_47,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_47,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_48,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_48,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_49,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_49,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_50,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_50,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_51,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_51,True,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_52,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_52,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_53,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_53,False,,,,,,,300,300,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_54,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_54,True,,,,,,,300,30,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_55,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_55,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_56,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_56,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_57,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_57,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_58,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_58,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_59,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_59,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_60,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_60,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_61,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_61,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_62,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_62,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_63,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_63,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_64,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_64,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_65,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_65,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_66,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_66,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_67,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_67,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_68,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_68,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_69,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_69,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_70,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_70,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_71,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_71,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_72,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_72,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_73,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_73,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_74,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_74,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_75,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_75,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_76,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_76,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_77,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_77,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_78,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_78,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_79,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_79,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_80,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_80,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_81,d_nikke_flora_05,,Self,,Self,Locale_NikkeEpisode:d_nikke_flora_05_81,False,,,,,,,30,30,0,,,,None,None,,None,False,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_82,d_nikke_flora_05,,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_flora_05_82,True,,,,,,,30,30,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_83,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_83,False,,,,,,,17,170,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_84,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_84,False,,,,,,,black,black,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_flora_05_85,d_nikke_flora_05,,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_85,False,,,,,,,black,black,0,,,,None,None,,None,False,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
