id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/2/hide_char_id,characters/1/hide_char_id,characters/0/hide_char_id,fade,play_sound,conversation_id,set_filter_01,set_filter_02
d_nikke_admi_04_48,d_nikke_admi_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_48,False,,13,shy,,,,CommanderRoom,S_1300,S_1300,1.0,bgm_menu_commandersroom,,,,,,,privaty,black,,,,
d_nikke_admi_04_49,d_nikke_admi_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_49,False,,,,,,,,S_1300,S_1300,1.0,,,,,,,,,,,,,
d_nikke_admi_04_50,d_nikke_admi_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_50,False,,,,,,,,S_1300,S_1300,1.0,,,,,,,,,,,,,
d_nikke_admi_04_51,d_nikke_admi_04,Self,,Self,Locale_NikkeEpisode:d_nikke_admi_04_51,False,,,,,,,,S_1300,S_1300,1.0,,,,,,,,,,,,,
d_nikke_admi_04_52,d_nikke_admi_04,Narration,,Narration,Locale_NikkeEpisode:d_nikke_admi_04_52,False,,,,,,,,S_1300,S_1300,1.0,,,,,,,,,,sfx_scn_phonevibration,,,
d_nikke_admi_04_53,d_nikke_admi_04,Self,,Self,Locale_NikkeEpisode:d_nikke_admi_04_53,False,,,,,,,,S_1300,S_1300,1.0,,,,,,,,,,,m_nikke_admi_04,,
d_nikke_admi_04_54,d_nikke_admi_04,Self,,Self,Locale_NikkeEpisode:d_nikke_admi_04_54,False,,,,admi,1,idle,,black,black,1.0,none,,,,,admi,,,,,,,
d_nikke_admi_04_55,d_nikke_admi_04,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_55,False,,,,admi,1,worry,Park,1,1,1.0,bgm_story_backtonormal,,,,,,,,,,,,
d_nikke_admi_04_56,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_56,False,,,,,1,worry,,1,1,1.0,,,,,,,,,,,,,
d_nikke_admi_04_57,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_57,True,,,,,1,surprise,,1,XS_10,0.7,,,,,,,,,,,,,
d_nikke_admi_04_58,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_58,True,,,,,1,surprise,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_59,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_59,True,,,,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_60,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_60,False,,,,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_61,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_61,True,,,,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_62,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_62,False,,,,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_63,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_63,True,,,,,1,delight,,XS_10,XS_10,1.0,,,,,,,,,,,,,
d_nikke_admi_04_64,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_64,True,,,,,1,delight,,XS_10,1,1.0,,,,,,,,,,,,,
d_nikke_admi_04_65,d_nikke_admi_04,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_65,False,,,,,9,delight,,black,black,1.0,,,,,,,,,,,,,
d_nikke_admi_04_66,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_66,False,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_67,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_67,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_68,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_68,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_69,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_69,True,,,,,9,idle,,XS_90,XS_90,1.0,none,,,,,,,,,,,,
d_nikke_admi_04_70,d_nikke_admi_04,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_70,False,,,,,9,idle,,XS_90,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_71,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_71,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_72,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_72,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_73,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_73,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_74,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_74,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_75,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_75,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_76,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_76,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_77,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_77,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_78,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_78,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_79,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_79,True,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_80,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_80,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_81,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_81,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_82,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_82,False,,,,,9,idle,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_83,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_83,True,,,,,9,idle,,9,XS_90,1.0,bgm_story_shapeofhope,,,,,,,,,,,,
d_nikke_admi_04_84,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_84,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_85,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_85,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_86,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_86,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_87,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_87,True,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_88,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_88,False,,,,,9,idle,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_89,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_89,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_90,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_90,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_91,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_91,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_92,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_92,False,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_93,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_93,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_94,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_94,True,,,,,9,sad,,XS_90,XS_900,0.5,,,,,,,,,,,,,
d_nikke_admi_04_95,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_95,True,,,,,9,sad,,XS_900,XS_900,1.0,,,,,,,,,,,,,
d_nikke_admi_04_96,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_96,False,,,,,9,sad,,XS_900,XS_900,1.0,,,,,,,,,,,,,
d_nikke_admi_04_97,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_97,True,,,,,9,sad,,XS_900,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_98,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_98,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_99,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_99,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_100,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_100,True,,,,,9,sad,FastFood,XS_90,XS_90,1.0,,,,,,admi,,,,,,Grey,Blur_Low
d_nikke_admi_04_101,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_101,True,,,,,,,,XS_90,XS_90,1.0,,,,,,,,,,,,Grey,Blur_Low
d_nikke_admi_04_102,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_102,True,,,,admi,9,sad,Park,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_103,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_103,True,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_104,d_nikke_admi_04,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_04_104,False,,,,,9,sad,,XS_90,XS_90,1.0,,,,,,,,,,,,,
d_nikke_admi_04_105,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_105,True,,,,,9,sad,,XS_90,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_106,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_106,True,,,,,9,sad,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_107,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_107,True,,,,,9,sad,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_108,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_108,True,,,,,9,sad,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_109,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_109,True,,,,,9,sad,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_110,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_110,True,,,,,9,sad,,9,9,1.0,,,,,,,,,,,,,
d_nikke_admi_04_111,d_nikke_admi_04,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_04_111,False,,,,,9,sad,,9,9,1.0,,,,,,admi,,,,,,,
d_nikke_admi_04_112,d_nikke_admi_04,Self,,Self,Locale_NikkeEpisode:d_nikke_admi_04_112,False,,,,,,,,9,9,1.0,,,,,,,,,,,,,
