id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound
d_nikke_guilty_01_13,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_13,True,,1,idle,,10,10,1.0,,d_nikke_guilty_01_14,,
d_nikke_guilty_01_14,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_14,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_15,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_15,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_16,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_16,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_17,d_nikke_guilty_01,Self,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_17,False,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_18,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_18,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_19,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_19,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_20,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_20,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_21,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_21,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_22,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_22,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_23,d_nikke_guilty_01,Choice,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_23,False,,1,idle,,10,10,1.0,,d_nikke_guilty_01_25,,
d_nikke_guilty_01_24,d_nikke_guilty_01,Choice,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_24,False,,1,idle,,10,10,1.0,,d_nikke_guilty_01_25,,
d_nikke_guilty_01_25,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_25,True,,1,idle,,10,100,2.0,,,,
d_nikke_guilty_01_26,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_26,True,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_27,d_nikke_guilty_01,Narration,,,Locale_NikkeEpisode:d_nikke_guilty_01_27,False,,1,idle,,black,black,1.0,,,mana,sfx_scn_trainstop
d_nikke_guilty_01_28,d_nikke_guilty_01,Narration,,,Locale_NikkeEpisode:d_nikke_guilty_01_28,False,guilty,1,surprise,Jail,black,black,1.0,none,,,
d_nikke_guilty_01_29,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_29,True,,1,surprise,,50,10,2.0,bgm_recognition_underworld,,,
d_nikke_guilty_01_30,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_30,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_31,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_31,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_32,d_nikke_guilty_01,Choice,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_32,False,,1,surprise,,10,10,1.0,,d_nikke_guilty_01_34,,
d_nikke_guilty_01_33,d_nikke_guilty_01,Choice,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_33,False,,1,surprise,,10,10,1.0,,d_nikke_guilty_01_36,,
d_nikke_guilty_01_34,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_34,True,,1,surprise,,10,100,2.0,,,,
d_nikke_guilty_01_35,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_35,True,,1,surprise,,100,100,1.0,,d_nikke_guilty_01_38,,
d_nikke_guilty_01_36,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_36,True,,1,surprise,,10,100,2.0,,,,
d_nikke_guilty_01_37,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_37,True,,1,surprise,,100,100,1.0,,d_nikke_guilty_01_38,,
d_nikke_guilty_01_38,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_38,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_39,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_39,False,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_40,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_40,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_41,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_41,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_42,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_42,True,,1,surprise,,100,10,2.0,,,,
d_nikke_guilty_01_43,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_43,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_44,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_44,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_45,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_45,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_46,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_46,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_47,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_47,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_48,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_48,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_49,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_49,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_50,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_50,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_51,d_nikke_guilty_01,Choice,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_51,False,,1,surprise,,10,10,1.0,,d_nikke_guilty_01_53,,
d_nikke_guilty_01_52,d_nikke_guilty_01,Choice,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_52,False,,1,surprise,,10,10,1.0,,d_nikke_guilty_01_54,,
d_nikke_guilty_01_53,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_53,True,,1,idle,,10,100,0.5,,d_nikke_guilty_01_59,,
d_nikke_guilty_01_54,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_54,True,,1,surprise,,10,10,2.0,,,,
d_nikke_guilty_01_55,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_55,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_56,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_56,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_57,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_57,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_58,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_58,True,,1,idle,,10,100,0.5,,,,
d_nikke_guilty_01_59,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_59,False,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_60,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_60,True,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_61,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_61,False,,1,surprise,,100,10,0.5,,,,
d_nikke_guilty_01_62,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_62,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_63,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_63,False,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_64,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_64,True,,1,idle,,10,100,2.0,,,,
d_nikke_guilty_01_65,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_65,False,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_66,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_66,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_67,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_67,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_68,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_68,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_69,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_69,False,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_70,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_70,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_71,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_71,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_72,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_72,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_73,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_73,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_74,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_74,False,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_75,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_75,True,,1,idle,,100,10,0.5,,,,
d_nikke_guilty_01_76,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_76,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_77,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_77,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_78,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_78,True,,1,idle,,10,100,0.5,,,,
d_nikke_guilty_01_79,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_79,False,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_80,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_80,True,,1,idle,,100,100,1.0,,,,
d_nikke_guilty_01_81,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_81,False,,1,surprise,,100,10,0.5,,,,
d_nikke_guilty_01_82,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_82,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_83,d_nikke_guilty_01,Monologue,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_83,False,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_84,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_84,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_85,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_85,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_86,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_86,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_87,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_87,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_88,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_88,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_89,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_89,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_90,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_90,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_91,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_91,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_92,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_92,True,,1,surprise,,10,100,2.0,,,,
d_nikke_guilty_01_93,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_93,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_94,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_94,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_95,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_95,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_96,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_96,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_97,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_97,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_98,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_98,False,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_99,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_99,True,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_100,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_100,False,,1,surprise,,100,100,1.0,,,,
d_nikke_guilty_01_101,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_101,True,,1,idle,,100,10,1.0,,,,
d_nikke_guilty_01_102,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_102,True,,1,idle,,10,10,1.0,,,,
d_nikke_guilty_01_103,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_103,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_104,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_104,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_105,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_105,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_106,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_106,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_107,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_107,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_108,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_108,True,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_109,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_109,False,,1,surprise,,10,10,1.0,,,,
d_nikke_guilty_01_110,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_110,True,,1,surprise,,10,1,2.0,,,,
d_nikke_guilty_01_111,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_111,True,,1,surprise,,1,1,1.0,,,,
d_nikke_guilty_01_112,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_112,False,,1,surprise,,1,1,1.0,,,,
d_nikke_guilty_01_113,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_113,True,,1,surprise,,1,1,1.0,,,,
d_nikke_guilty_01_114,d_nikke_guilty_01,Speech,guilty,guilty,Locale_NikkeEpisode:d_nikke_guilty_01_114,True,,1,surprise,,1,1,1.0,,,,
d_nikke_guilty_01_115,d_nikke_guilty_01,Self,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_115,False,,1,surprise,,1,1,1.0,,,,
d_nikke_guilty_01_116,d_nikke_guilty_01,Narration,guilty,,Locale_NikkeEpisode:d_nikke_guilty_01_116,False,,1,surprise,,black,black,1.0,,,,
