id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/1/hide_char_id
d_nikke_snowwhite_young_04_32,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_32,True,,1,sad,,13,idle,,130,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_33,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_33,True,,1,sad,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_34,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_34,False,,1,sad,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_35,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_35,True,,1,surprise,,13,idle,,S_10,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_36,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_36,True,,1,angry,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_37,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_37,True,,1,sad,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_38,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_38,True,,1,sad,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_39,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_39,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_40,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_40,True,,1,sad,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_41,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_41,False,,1,sad,,13,think,,12,130,1.0,,liliweiss,,,,
d_nikke_snowwhite_young_04_42,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_42,False,,1,sad,,13,think,,130,130,1.0,,liliweiss,,sfx_scn_swordswing,,
d_nikke_snowwhite_young_04_43,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_43,False,,1,sad,,13,think,,black,black,1.0,,liliweiss,,sfx_scn_sonicexplode,,
d_nikke_snowwhite_young_04_44,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_44,True,,1,sad,,13,think,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_45,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_45,True,,1,sad,,13,think,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_46,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_46,False,,1,sad,,13,think,,130,1300,2.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_47,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_47,False,,1,sad,,13,think,,S_10,S_100,2.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_48,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_48,True,,1,shy,,13,idle,,1300,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_49,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_49,True,,1,shy,,13,idle,,S_100,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_50,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_50,True,,1,sad,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_51,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_51,False,,1,sad,,13,idle,,130,130,1.0,,liliweiss,,sfx_scn_remotesignal,,
d_nikke_snowwhite_young_04_52,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_52,False,,1,sad,,13,idle,,130,130,1.0,,liliweiss,,sfx_scn_aims,,
d_nikke_snowwhite_young_04_53,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_53,False,,1,sad,,13,idle,,130,130,1.0,,liliweiss,,,,
d_nikke_snowwhite_young_04_54,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_54,True,,1,sad,,13,think,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_55,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_55,False,,1,sad,,13,think,,130,1300,0.5,,liliweiss,,sfx_scn_aim,,
d_nikke_snowwhite_young_04_56,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_56,False,,1,sad,,13,think,,1300,1300,1.0,,liliweiss,,sfx_scn_finishshot,Low_2,
d_nikke_snowwhite_young_04_57,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_57,False,,1,sad,,13,think,,1300,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_58,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_58,False,,1,sad,,13,think,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_59,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_59,True,,1,shy,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_60,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_60,True,,1,special,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_61,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_61,True,,1,special,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_62,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_62,True,,1,shy,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_63,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_63,True,,1,shy,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_64,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_64,True,,1,surprise,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_65,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_65,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_66,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_66,True,,1,sad,,13,think,,12,130,2.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_67,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_67,True,,1,sad,,13,think,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_68,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_68,False,,1,shy,,13,think,,130,130,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_69,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_69,True,,1,shy,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_70,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_70,True,,1,shy,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_71,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_71,True,,1,sad,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_72,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_72,True,,1,sad,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_73,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_73,True,,1,shy,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_74,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_74,True,,1,shy,,13,idle,,130,1300,2.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_75,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_75,True,,1,shy,,13,idle,,1300,1300,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_76,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_76,False,,1,shy,,13,idle,,1300,S_100,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_77,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_77,True,,1,shy,,13,idle,,S_100,S_100,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_78,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_78,True,,1,shy,,13,delight,,S_100,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_79,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_79,True,,1,shy,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_80,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_80,False,,1,shy,,13,idle,,12,12,1.0,,liliweiss,,,Low_2,
d_nikke_snowwhite_young_04_81,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_81,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_82,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_82,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_83,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_83,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_84,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_84,True,,1,sad,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_85,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_85,False,,1,sad,,13,think,,12,12,1.0,none,liliweiss,,sfx_scn_siren,Low_2,
d_nikke_snowwhite_young_04_86,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_86,False,,1,surprise,,13,think,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_87,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_87,True,,1,surprise,,13,think,,12,12,1.0,,announcement,announcement,,,
d_nikke_snowwhite_young_04_88,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_88,True,,1,surprise,,13,think,,12,12,1.0,,announcement,announcement,,,
d_nikke_snowwhite_young_04_89,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_89,True,,1,surprise,,13,think,,12,12,1.0,,announcement,announcement,,,
d_nikke_snowwhite_young_04_90,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_90,True,,1,surprise,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_91,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_91,True,,1,surprise,,13,idle,,12,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_92,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_92,True,,1,surprise,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_93,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_93,True,,1,surprise,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_94,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_94,True,,1,surprise,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_95,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_95,True,,1,sad,,13,idle,,130,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_96,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_96,True,,1,sad,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_97,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_97,False,,1,sad,,13,idle,,12,12,1.0,,liliweiss,,,,liliweiss
d_nikke_snowwhite_young_04_98,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_98,True,,1,surprise,,,,,12,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_99,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_99,True,,1,surprise,,,,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_100,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_100,False,,1,surprise,,,,,black,black,1.0,,snowwhite_o,,,,
