id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,conversation_id
d_nikke_pepper_02_22,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_22,False,,1,worry,Corridor,black,black,1.0,,mary,,
d_nikke_pepper_02_23,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_23,False,,,,,XS_10,XS_30,1.0,,,,
d_nikke_pepper_02_24,d_nikke_pepper_02,Speech,patients01,patients01,Locale_NikkeEpisode:d_nikke_pepper_02_24,False,,,,,XS_30,XS_30,1.0,,,,
d_nikke_pepper_02_25,d_nikke_pepper_02,Speech,patients02,patients02,Locale_NikkeEpisode:d_nikke_pepper_02_25,False,,,,,XS_30,XS_30,1.0,,,,
d_nikke_pepper_02_26,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_26,False,,,,Cafe,XS_30,XS_50,1.0,,,,
d_nikke_pepper_02_27,d_nikke_pepper_02,Speech,patients03,patients03,Locale_NikkeEpisode:d_nikke_pepper_02_27,False,,,,,XS_50,XS_50,1.0,,,,
d_nikke_pepper_02_28,d_nikke_pepper_02,Speech,patients03,patients03,Locale_NikkeEpisode:d_nikke_pepper_02_28,False,,,,,XS_50,XS_50,1.0,,,,
d_nikke_pepper_02_29,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_29,False,,,,NikkeCorridor,XS_50,XS_70,1.0,,,,
d_nikke_pepper_02_30,d_nikke_pepper_02,Speech,patients04,patients04,Locale_NikkeEpisode:d_nikke_pepper_02_30,False,,,,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_31,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_31,False,pepper,3,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_32,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_32,True,,7,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_33,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_33,False,,7,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_34,d_nikke_pepper_02,Speech,patients04,patients04,Locale_NikkeEpisode:d_nikke_pepper_02_34,False,,7,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_35,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_35,True,,7,surprise,,XS_70,XS_700,0.5,,,,
d_nikke_pepper_02_36,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_36,True,,7,angry,,XS_700,XS_700,1.0,,,,
d_nikke_pepper_02_37,d_nikke_pepper_02,Speech,patients04,patients04,Locale_NikkeEpisode:d_nikke_pepper_02_37,False,,7,angry,,XS_700,XS_700,1.0,,,,
d_nikke_pepper_02_38,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_38,True,,7,idle,,XS_700,XS_700,1.0,,,,
d_nikke_pepper_02_39,d_nikke_pepper_02,Speech,patients04,patients04,Locale_NikkeEpisode:d_nikke_pepper_02_39,False,,7,idle,,XS_700,XS_700,1.0,,,,
d_nikke_pepper_02_40,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_40,True,,7,idle,,XS_700,XS_70,1.0,,,,
d_nikke_pepper_02_41,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_41,True,,7,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_42,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_42,False,,7,idle,,XS_70,XS_70,1.0,,,,
d_nikke_pepper_02_43,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_43,False,,1,idle,,XS_70,XS_50,1.0,,,,
d_nikke_pepper_02_44,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_44,False,,1,idle,,XS_50,XS_50,1.0,,pepper,,
d_nikke_pepper_02_45,d_nikke_pepper_02,Narration,,,Locale_NikkeEpisode:d_nikke_pepper_02_45,False,,,,,XS_50,XS_50,1.0,none,,sfx_scn_phonevibration,
d_nikke_pepper_02_46,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_46,False,,,,,XS_50,XS_50,1.0,,,,m_nikke_pepper_02
d_nikke_pepper_02_47,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_47,False,,,,,XS_50,5,1.0,,,,
d_nikke_pepper_02_48,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_48,True,pepper,5,idle,,5,5,1.0,bgm_story_orangepop,,,
d_nikke_pepper_02_49,d_nikke_pepper_02,Monologue,,,Locale_NikkeEpisode:d_nikke_pepper_02_49,False,,5,idle,,5,XS_50,1.0,,,,
d_nikke_pepper_02_50,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_50,True,,5,idle,,XS_50,XS_500,1.0,,,,
d_nikke_pepper_02_51,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_51,False,,5,idle,,XS_500,XS_500,1.0,,,,
d_nikke_pepper_02_52,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_52,True,,5,idle,,XS_500,XS_500,1.0,,,,
d_nikke_pepper_02_53,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_53,False,,5,idle,,XS_500,XS_500,1.0,,,,
d_nikke_pepper_02_54,d_nikke_pepper_02,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_02_54,False,,5,idle,,XS_500,XS_500,1.0,,,,
