id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,conversation_id,characters/0/hide_char_id
d_nikke_sugar_04_19,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_19,False,,1,idle,,17,idle,,15,worry,,13,no,,black,black,1.0,,,,,,,,,,
d_nikke_sugar_04_20,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_20,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_21,d_nikke_sugar_04,Speech,sugar,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_21,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_22,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_22,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_10,S_10,1.0,,,,Low_2,,,,,,
d_nikke_sugar_04_23,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_23,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_24,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_24,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_130,1.0,,,,,,,,,,
d_nikke_sugar_04_25,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_25,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_130,S_130,1.0,,,,,,,,,,
d_nikke_sugar_04_26,d_nikke_sugar_04,Narration,neon,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_26,False,,1,idle,,17,idle,,15,worry,,13,no,,S_130,S_130,1.0,,,sfx_scn_aim,,,,,,,
d_nikke_sugar_04_27,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_27,True,,1,idle,,17,idle,,15,worry,,13,no,,S_130,S_1300,1.0,,,,,,,,,,
d_nikke_sugar_04_28,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_28,False,,1,idle,,17,idle,,15,worry,,13,no,,black,black,1.0,,,sfx_scn_3shotgun,Low_2,,,,,,
d_nikke_sugar_04_29,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_29,False,,1,idle,,17,idle,,15,worry,,13,no,,black,black,1.0,,,,,,,,,,
d_nikke_sugar_04_30,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_30,False,,1,idle,,17,idle,,15,worry,,13,idle,,17,17,1.0,,,,,,,,,,
d_nikke_sugar_04_31,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_31,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_32,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_32,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_10,S_10,1.0,,,,Low_2,,,,,,
d_nikke_sugar_04_33,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_33,True,,1,idle,,17,think,,15,angry,,13,idle,,170,170,1.0,,,,,,,,,,
d_nikke_sugar_04_34,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_34,True,,1,idle,,17,idle,,15,angry,,13,idle,,170,1700,1.0,,,,,,,,,,
d_nikke_sugar_04_35,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_35,True,,1,idle,,17,idle,,15,worry,,13,idle,CommanderRoom,3,3,1.0,,black,,,emma,3,delight,,,
d_nikke_sugar_04_36,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_36,True,,1,idle,,17,idle,,15,worry,,13,idle,,3,30,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_37,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_37,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_38,d_nikke_sugar_04,Self,emma,Self,Locale_NikkeEpisode:d_nikke_sugar_04_38,False,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_39,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_39,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_40,d_nikke_sugar_04,Narration,emma,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_40,False,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,9,delight,,,
d_nikke_sugar_04_41,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_41,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,15,1.0,,,,,,9,delight,emma,,
d_nikke_sugar_04_42,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_42,True,,1,idle,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,,,,,
d_nikke_sugar_04_43,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_43,True,,1,idle,,17,idle,,15,worry,,13,idle,,15,15,1.0,,,,,,,,,,
d_nikke_sugar_04_44,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_44,True,,1,idle,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,,,,,
d_nikke_sugar_04_45,d_nikke_sugar_04,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_04_45,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,,,,,
d_nikke_sugar_04_46,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_46,True,,1,idle,,17,idle,,15,worry,,13,idle,,15,15,1.0,,,,,,,,,,
d_nikke_sugar_04_47,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_47,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,S_10,3.0,,,,,,,,,,
d_nikke_sugar_04_48,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_48,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_49,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_49,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_50,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_50,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_51,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_51,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,sfx_scn_glassbreak,Low_2,,,,,,
d_nikke_sugar_04_52,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_52,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_53,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_53,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_54,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_54,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,sfx_scn_smash,Low_2,,,,,,
d_nikke_sugar_04_55,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_55,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_56,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_56,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_sugar_04_57,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_57,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,150,1.0,,,,,,,,,,
d_nikke_sugar_04_58,d_nikke_sugar_04,Self,anis,Self,Locale_NikkeEpisode:d_nikke_sugar_04_58,False,,1,idle,,17,idle,,15,worry,,13,idle,,150,150,1.0,,,,,,,,,,
d_nikke_sugar_04_59,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_59,False,,1,idle,,17,idle,,15,worry,,13,idle,,black,black,1.0,none,,,,emma,3,delight,,,
d_nikke_sugar_04_60,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_60,True,,1,idle,,17,idle,,15,worry,,13,idle,,3,300,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_61,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_61,True,,1,idle,,17,idle,,15,worry,,13,idle,,300,300,1.0,bgm_story_orangepop,,,,,3,delight,,,
d_nikke_sugar_04_62,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_62,True,,1,idle,,17,idle,,15,worry,,13,idle,,150,150,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_63,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_63,True,,1,idle,,17,idle,,15,worry,,13,idle,,170,170,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_64,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_64,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_130,S_130,1.0,,,,,,3,delight,,,
d_nikke_sugar_04_65,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_65,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,3,special,,,
d_nikke_sugar_04_66,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_66,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,30,1.0,,,,,,3,special,,,
d_nikke_sugar_04_67,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_67,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,S_10,1.0,,,,,,3,special,,,
d_nikke_sugar_04_68,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_68,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_69,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_69,True,,1,idle,,17,idle,,15,worry,,13,idle,,150,150,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_70,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_70,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_71,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_71,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_72,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_72,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_73,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_73,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,sfx_scn_sugar,,,3,idle,,,
d_nikke_sugar_04_74,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_74,True,,1,idle,,17,idle,,15,worry,,13,idle,,30,300,1.0,bgm_story_herecomestrouble,,,,,3,surprise,,,
d_nikke_sugar_04_75,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_75,True,,1,idle,,17,idle,,15,angry,,13,idle,,150,1500,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_76,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_76,True,,1,idle,,17,idle,,15,angry,,13,idle,,1,1,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_77,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_77,False,,1,idle,,17,idle,,15,angry,,13,idle,,1,S_10,1.0,,,sfx_scn_sugar,,,3,surprise,,,
d_nikke_sugar_04_78,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_78,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_10,S_10,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_79,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_79,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_10,S_100,1.0,,,sfx_scn_sugar,,,3,surprise,,,
d_nikke_sugar_04_80,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_80,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_81,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_81,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,sfx_scn_sugar,,,3,surprise,,,
d_nikke_sugar_04_82,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_82,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_83,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_83,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,sfx_scn_sugar,,,3,surprise,,,
d_nikke_sugar_04_84,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_84,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_85,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_85,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,sfx_scn_sugar,,,3,surprise,,,
d_nikke_sugar_04_86,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_86,False,,1,idle,,17,idle,,15,angry,,13,idle,,S_100,S_100,1.0,,,,Low_2,,3,surprise,,,
d_nikke_sugar_04_87,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_87,True,,1,idle,,17,idle,,15,angry,,13,idle,,S_130,S_130,1.0,,,,,,3,surprise,,,
d_nikke_sugar_04_88,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_88,False,,1,idle,,17,idle,,15,angry,,13,idle,,300,300,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_89,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_89,True,,1,idle,,17,idle,,15,worry,,13,idle,,170,170,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_90,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_90,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,S_10,1.0,,,sfx_scn_sugar,,,3,idle,,,
d_nikke_sugar_04_91,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_91,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_100,1.0,,,sfx_scn_sugar,,,3,idle,,,
d_nikke_sugar_04_92,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_92,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,S_100,1.0,,,sfx_scn_sugar,,,3,idle,,,
d_nikke_sugar_04_93,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_93,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_94,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_94,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,1,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_95,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_95,False,,1,idle,,17,idle,,15,worry,,13,idle,,1,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_96,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_96,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_100,0.5,,,,,,3,idle,,,
d_nikke_sugar_04_97,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_97,True,,1,delight,,17,idle,,15,worry,,13,idle,,S_100,S_100,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_98,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_98,True,,1,delight,,17,idle,,15,worry,,13,idle,,S_100,S_100,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_99,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_99,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,S_100,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_100,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_100,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_101,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_101,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_102,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_102,False,,1,idle,,17,idle,,15,worry,,13,idle,,black,black,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_103,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_103,False,,1,idle,,17,idle,,15,worry,,13,idle,,black,black,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_104,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_104,True,,1,angry,,17,idle,,15,worry,,13,idle,,1,1,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_105,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_105,True,,1,angry,,17,idle,,15,worry,,13,idle,,1,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_106,d_nikke_sugar_04,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_04_106,False,,1,angry,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_107,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_107,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_108,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_108,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_109,d_nikke_sugar_04,Narration,sugar,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_109,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,none,,sfx_scn_phonevibration,,,3,idle,,m_nikke_sugar_04,
d_nikke_sugar_04_110,d_nikke_sugar_04,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_04_110,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,bgm_story_fairytalesend_if,,,,,3,idle,,,
d_nikke_sugar_04_111,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_111,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_10,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_112,d_nikke_sugar_04,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_04_112,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_10,S_100,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_113,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_113,True,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,S_100,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_114,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_114,False,,1,idle,,17,idle,,15,worry,,13,idle,,S_100,17,1.0,,,,,,3,idle,,,sugar
d_nikke_sugar_04_115,d_nikke_sugar_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_sugar_04_115,False,,,,,17,idle,,15,worry,,13,idle,,17,17,1.0,,,,,,3,idle,,,
d_nikke_sugar_04_116,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_116,True,,,,,17,worry,,15,worry,,13,idle,,17,17,1.0,,,,,,3,idle,,,
