id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,fade,characters/2/hide_char_id,characters/1/hide_char_id,characters/0/hide_char_id
d_nikke_marciana_04_15,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_15,True,,13,idle,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_16,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_16,True,,13,idle,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_17,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_17,True,,13,good,,XS_10,12,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_18,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_18,True,,13,good,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_19,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_19,True,,13,good,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_20,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_20,False,,13,think,SchoolCorridor,black,black,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_21,d_nikke_marciana_04,Speech,puppies,puppies,Locale_NikkeEpisode:d_nikke_marciana_04_21,True,,13,think,,15,XS_150,0.6,,sfx_scn_bowwow,,1,idle,puppies,15,idle,Low_2,,,,
d_nikke_marciana_04_22,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_22,False,,13,panic,,13,130,0.6,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_23,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_23,True,,13,panic,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_24,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_24,False,,13,panic,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_25,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_25,False,,13,panic,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_26,d_nikke_marciana_04,Narration,,,Locale_NikkeEpisode:d_nikke_marciana_04_26,False,,13,panic,,XS_10,XS_10,1.0,,sfx_scn_pipe,,1,"expression_0,angry",,15,idle,,,,,
d_nikke_marciana_04_27,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_27,True,,13,panic,,XS_10,XS_10,1.0,,,,1,angry,,15,idle,,,,,
d_nikke_marciana_04_28,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_28,True,,13,panic,,XS_10,XS_10,1.0,,,,1,angry,,15,idle,,,,,
d_nikke_marciana_04_29,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_29,True,,13,panic,,XS_10,12,1.0,,,,1,sad,,15,idle,,,,,
d_nikke_marciana_04_30,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_30,True,,13,surprise,,12,12,1.0,,,,1,sad,,15,idle,,,,,
d_nikke_marciana_04_31,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_31,True,,13,surprise,,12,12,1.0,,,,1,sad,,15,idle,,,,,
d_nikke_marciana_04_32,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_32,True,,13,surprise,,12,12,1.0,,,,1,sad,,15,idle,,,,,
d_nikke_marciana_04_33,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_33,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_34,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_34,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_35,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_35,False,,13,surprise,,12,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_36,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_36,True,,13,surprise,,12,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_37,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_37,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_38,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_38,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_39,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_39,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_40,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_40,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_41,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_41,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_42,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_42,True,,13,surprise,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_43,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_43,True,,13,surprise,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_44,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_44,True,,13,surprise,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_45,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_45,True,,13,surprise,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_46,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_46,True,,13,surprise,,XS_10,12,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_47,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_47,True,,13,surprise,,12,12,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_48,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_48,False,,13,surprise,,12,12,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_49,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_49,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_50,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_50,False,,13,think,,12,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_51,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_51,True,,13,think,,12,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_52,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_52,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,black,,,
d_nikke_marciana_04_53,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_53,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_54,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_54,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_55,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_55,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_56,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_56,True,,13,think,,XS_10,12,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_57,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_57,True,,13,think,,12,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_58,d_nikke_marciana_04,Speech,puppies,puppies,Locale_NikkeEpisode:d_nikke_marciana_04_58,False,,13,think,,14,14,1.0,,sfx_scn_bowwow,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_59,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_59,True,,13,surprise,,14,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_60,d_nikke_marciana_04,Speech,puppy,puppy,Locale_NikkeEpisode:d_nikke_marciana_04_60,False,,13,surprise,,14,14,1.0,,sfx_scn_bowwow,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_61,d_nikke_marciana_04,Speech,puppy,puppy,Locale_NikkeEpisode:d_nikke_marciana_04_61,True,,13,surprise,,14,14,1.0,,sfx_scn_dogyummy,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_62,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_62,True,,13,surprise,,14,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_63,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_63,True,,13,surprise,,14,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_64,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_64,True,,13,surprise,,130,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_65,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_65,False,,13,surprise,,130,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_66,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_66,False,,13,surprise,,14,14,1.0,,,,1,idle,,15,idle,,,puppies,,
d_nikke_marciana_04_67,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_67,True,,13,panic,,14,13,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_68,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_68,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,puppies,15,idle,,black,,,
d_nikke_marciana_04_69,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_69,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_70,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_70,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_71,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_71,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_72,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_72,True,,13,think,,XS_10,XS_10,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_73,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_73,True,,13,think,,XS_10,130,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_74,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_74,True,,13,idle,,130,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_75,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_75,True,,13,idle,,14,14,1.0,,,,1,idle,,15,idle,,,,,
d_nikke_marciana_04_76,d_nikke_marciana_04,Speech,puppy,puppy,Locale_NikkeEpisode:d_nikke_marciana_04_76,True,,13,idle,,14,14,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_77,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_77,False,,13,idle,,14,14,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_78,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_78,False,,13,idle,,14,XS_150,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_79,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_79,True,,13,surprise,,130,130,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_80,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_80,True,,13,surprise,,130,13,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_81,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_81,True,,13,surprise,,13,13,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_82,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_82,True,,13,surprise,,13,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_83,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_83,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_84,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_84,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_85,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_85,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_86,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_86,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_87,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_87,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_88,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_88,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_89,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_89,True,,13,surprise,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_90,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_90,True,,13,think,,12,12,1.0,,,,1,idle,,15,special,,,,,
d_nikke_marciana_04_91,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_91,True,,13,think,,12,XS_10,1.0,,,,1,delight,,15,special,,,,,
d_nikke_marciana_04_92,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_92,True,,13,think,,XS_10,XS_10,1.0,,,,1,delight,,15,special,,,,,
d_nikke_marciana_04_93,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_93,False,,13,think,,130,130,1.0,,,,1,delight,,15,special,,,,,
d_nikke_marciana_04_94,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_94,False,,13,think,,130,13,1.0,,,,1,delight,,15,special,,,,,
d_nikke_marciana_04_95,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_95,True,,13,delight,,13,14,1.0,,,,1,delight,,15,special,,,,,
d_nikke_marciana_04_96,d_nikke_marciana_04,Speech,puppy,puppy,Locale_NikkeEpisode:d_nikke_marciana_04_96,True,,13,delight,,14,14,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_97,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_97,True,,13,delight,,14,14,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_98,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_98,True,,13,delight,,14,14,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_99,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_99,True,,13,delight,,14,14,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_100,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_100,True,,13,delight,,14,14,1.0,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_101,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_101,False,,13,delight,,14,130,1.5,,,,1,delight,,15,idle,,,,,
d_nikke_marciana_04_102,d_nikke_marciana_04,Speech,puppy,puppy,Locale_NikkeEpisode:d_nikke_marciana_04_102,True,,13,delight,,15,XS_150,1.0,,sfx_scn_bowwow,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_103,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_103,False,,13,delight,,XS_150,XS_150,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_104,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_104,True,,13,panic,,12,12,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_105,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_105,True,,13,panic,,12,12,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_106,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_106,True,,13,surprise,,12,130,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_107,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_107,True,,13,surprise,,130,130,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_108,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_108,True,,13,delight,,130,130,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_109,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_109,False,,13,delight,,130,14,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_110,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_110,False,,13,delight,,14,14,1.0,,,,1,delight,,15,delight,,,,,
d_nikke_marciana_04_111,d_nikke_marciana_04,Narration,,,Locale_NikkeEpisode:d_nikke_marciana_04_111,False,,13,delight,,black,black,1.0,,,,1,idle,,15,delight,,black,puppies,,
d_nikke_marciana_04_112,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_112,True,,13,idle,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_113,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_113,True,,13,idle,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_114,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_114,True,,13,idle,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_115,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_115,True,,13,idle,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_116,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_116,True,,13,idle,,12,12,1.0,,,,1,idle,,,,,,,,
d_nikke_marciana_04_117,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_117,True,,13,idle,,12,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_118,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_118,True,,13,idle,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_119,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_119,False,,13,idle,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_120,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_120,True,,13,idle,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_nikke_marciana_04_121,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_121,False,,13,idle,Park_n,black,black,1.0,none,,,1,delight,,,,,,,biscuit,
d_nikke_marciana_04_122,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_122,False,,13,idle,,13,13,1.0,bgm_story_backtonormal,,,,,,,,,,,,
d_nikke_marciana_04_123,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_123,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_124,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_124,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_125,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_125,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_126,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_126,True,,13,delight,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_127,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_127,True,,13,delight,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_128,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_128,False,,13,think,,13,13,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_129,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_129,True,,13,idle,,13,130,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_130,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_130,True,,13,idle,,130,130,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_131,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_131,False,,13,idle,,130,130,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_132,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_132,True,,13,think,,130,130,1.0,,,,,,,,,,,,,
d_nikke_marciana_04_133,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_133,True,,13,think,,130,130,1.0,,,,,,,,,,,,,
