id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/6/hide_char_id
d_nikke_kilo_04_31,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_31,True,,,,,,,,,,,,,,,,,15,1517,1.0,,,,,,,,15,idle,,17,idle,,
d_nikke_kilo_04_32,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_32,True,rapi,5,idle,anis,7,void,neon,9,idle,kilo,3,surprise,talos,1,idle,OutpostOut,S_30,S_30,1.0,,,,,,,,15,idle,,17,idle,delta,signal
d_nikke_kilo_04_33,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_33,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_34,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_34,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_35,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_35,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,3,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_36,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_36,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,3,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_37,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_37,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_38,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_38,True,,5,idle,,7,worry,,9,idle,,3,surprise,,1,idle,,97,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_39,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_39,True,,5,idle,,7,worry,,9,idle,,3,surprise,,1,idle,,97,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_40,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_40,False,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,97,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_41,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_41,False,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_42,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_42,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_43,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_43,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_44,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_44,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_45,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_45,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_46,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_46,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_47,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_47,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_48,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_48,False,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_49,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_49,False,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_50,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_50,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_30,S_300,2.0,,,,,,,,,,,,,,
d_nikke_kilo_04_51,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_51,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_300,S_300,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_52,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_52,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_300,3,3.0,,,,,,,,,,,,,,
d_nikke_kilo_04_53,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_53,True,,5,idle,,7,void,,9,idle,,3,smile,,1,idle,,3,3,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_54,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_54,False,,5,idle,,7,void,,9,idle,,3,smile,,1,idle,,3,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_55,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_55,True,,5,idle,,7,void,,9,idle,,3,smile,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_56,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_56,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_57,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_57,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_58,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_58,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_59,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_59,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_60,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_60,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_61,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_61,True,,5,idle,,7,void,,9,idle,,3,surprise,,1,idle,,53,500,2.0,,,,,,,,,,,,,,
d_nikke_kilo_04_62,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_62,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,S_300,S_300,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_63,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_63,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_64,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_64,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_65,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_65,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_66,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_66,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_67,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_67,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_68,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_68,True,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_69,d_nikke_kilo_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_kilo_04_69,False,,5,idle,,7,void,,9,idle,,3,idle,,1,idle,,53,53,1.0,none,,,,kilo,talos,,,,,,,,
d_nikke_kilo_04_70,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_70,True,,5,idle,,7,void,,9,idle,,,,,,,,53,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_71,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_71,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_72,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_72,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_73,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_73,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_74,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_74,True,,5,idle,,7,void,,9,idle,,,,,,,,75,50,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_75,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_75,True,,5,idle,,7,void,,9,idle,,,,,,,,50,50,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_76,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_76,True,,5,idle,,7,void,,9,idle,,,,,,,,50,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_77,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_77,True,,5,idle,,7,void,,9,idle,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_78,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_78,True,,5,idle,,7,void,,9,idle,,,,,,,,50,50,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_79,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_79,True,,5,idle,,7,void,,9,idle,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_80,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_80,True,,5,idle,,7,void,,9,idle,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_81,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_81,True,,5,idle,,7,void,,9,idle,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_82,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_82,True,,5,idle,,7,void,,9,idle,,,,,,,,500,500,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_83,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_83,True,,5,idle,,7,void,,9,idle,,,,,,,,700,700,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_84,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_84,True,,5,idle,,7,void,,9,idle,,,,,,,,500,500,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_85,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_85,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_86,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_86,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_87,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_87,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_88,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_88,True,,5,idle,,7,void,,9,no,,,,,,,,75,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_89,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_89,True,,5,idle,,7,void,,9,no,,,,,,,,97,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_90,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_90,True,,5,idle,,7,sad,,9,no,,,,,,,,97,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_91,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_91,True,,5,idle,,7,sad,,9,delight,,,,,,,,97,S_90,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_92,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_92,True,,5,idle,,7,sad,,9,delight,,,,,,,,S_90,S_90,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_93,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_93,False,,5,idle,,7,void,,9,delight,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_94,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_94,True,,5,idle,,7,void,,9,delight,,,,,,,,50,50,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_95,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_95,True,,5,idle,,7,void,,9,delight,,,,,,,,S_90,S_90,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_96,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_96,True,,5,idle,,7,void,,9,delight,,,,,,,,50,50,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_97,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_97,True,,5,idle,,7,sad,,9,idle,,,,,,,,70,70,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_98,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_98,False,,5,idle,,7,sad,,9,idle,,,,,,,,70,7,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_99,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_99,True,,5,idle,,7,void,,9,idle,,,,,,,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_100,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_100,True,,5,idle,,7,void,,9,idle,,,,,,,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_101,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_101,True,,5,idle,,7,void,,9,idle,,,,,,,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_102,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_102,True,,5,idle,,7,void,,9,idle,,,,,,,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_103,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_103,True,,5,idle,,7,void,,9,idle,,,,,,,,7,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_104,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_104,False,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_105,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_105,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_106,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_106,False,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,bgm_story_girlstalk,,,,,,,,,,,,,
d_nikke_kilo_04_107,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_107,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_108,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_108,False,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_109,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_109,False,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_110,d_nikke_kilo_04,Self,Self,Self,Locale_NikkeEpisode:d_nikke_kilo_04_110,False,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_111,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_111,True,,5,idle,,7,void,,9,idle,,,,,,,,75,75,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_112,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_112,True,,5,idle,,7,void,,9,idle,,,,,,,,75,97,1.0,,,,,,,,,,,,,,
d_nikke_kilo_04_113,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_113,True,,5,idle,,7,void,,9,no,,,,,,,,97,S_90,1.0,,,,,,,,,,,,,,
