id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/hide_char_id,fade
treasurestory_poli_04_18,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_18,True,,2,idle,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_19,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_19,True,,2,idle,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_20,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_20,True,,2,idle,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_21,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_21,True,,2,delight,,12,idle,,XS_120,20,1.3,,,ade,,
treasurestory_poli_04_22,treasurestory_poli_04,Monologue,ade,Locale_NikkeEpisode:treasurestory_poli_04_22,False,,2,delight,,12,idle,,black,black,1.0,,,,ade,
treasurestory_poli_04_23,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_23,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_24,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_24,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_25,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_25,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_26,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_26,False,,,,,12,idle,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_27,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_27,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_28,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_28,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_29,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_29,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_30,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_30,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_31,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_31,False,,,,,12,idle,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_32,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_32,False,,,,,12,idle,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_33,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_33,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_34,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_34,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_35,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_35,False,,,,,12,idle,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_36,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_36,True,ade,2,delight,,12,idle,,XS_120,1,1.3,,,ade,,
treasurestory_poli_04_37,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_37,True,,2,delight,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_38,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_38,True,,2,delight,,12,idle,,1,1,1.0,,,poli,,
treasurestory_poli_04_39,treasurestory_poli_04,Narration,poli,Locale_NikkeEpisode:treasurestory_poli_04_39,False,,2,delight,,12,idle,,1,1,1.0,sfx_scn_putdown,,,,
treasurestory_poli_04_40,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_40,True,,2,delight,,12,surprise,,1,1,1.0,,,poli,,
treasurestory_poli_04_41,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_41,True,,2,delight,,12,surprise,,1,1,1.0,,,poli,,
treasurestory_poli_04_42,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_42,True,,2,delight,,12,surprise,,1,1,1.0,,,poli,,
treasurestory_poli_04_43,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_43,True,,2,delight,,12,angry,,1,1,1.0,,,poli,,
treasurestory_poli_04_44,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_44,True,,2,delight,,12,surprise,,1,XS_120,1.0,,,poli,,
treasurestory_poli_04_45,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_45,False,,2,delight,,12,surprise,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_46,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_46,True,,2,delight,,12,surprise,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_47,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_47,True,,2,delight,,12,surprise,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_48,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_48,True,,2,idle,,12,surprise,,20,20,1.0,,,ade,,
treasurestory_poli_04_49,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_49,True,,2,idle,,12,surprise,,20,20,1.0,,,ade,,
treasurestory_poli_04_50,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_50,True,,2,idle,,12,delight,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_51,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_51,True,,2,idle,,12,delight,,XS_120,XS_1200,1.3,,,poli,,
treasurestory_poli_04_52,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_52,True,,2,idle,,12,delight,,black,black,1.0,,,poli,,
treasurestory_poli_04_53,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_53,False,,2,idle,,12,surprise,,XS_1200,XS_120,0.7,,,poli,,
treasurestory_poli_04_54,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_54,True,,2,idle,,12,surprise,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_55,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_55,True,,2,idle,,12,surprise,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_56,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_56,True,,2,delight,,12,surprise,,XS_120,1,1.3,,,ade,,
treasurestory_poli_04_57,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_57,True,,2,delight,,12,idle,,1,1,1.0,,,poli,,
treasurestory_poli_04_58,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_58,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_59,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_59,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_60,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_60,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_61,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_61,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_62,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_62,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_63,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_63,True,,2,idle,,12,idle,,1,1,1.0,,,poli,,
treasurestory_poli_04_64,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_64,True,,2,idle,,12,idle,,1,1,1.0,,,poli,,
treasurestory_poli_04_65,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_65,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_66,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_66,True,,2,idle,,12,idle,,1,1,1.0,,,ade,,
treasurestory_poli_04_67,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_67,True,,2,idle,,12,idle,,1,XS_120,1.5,,,poli,,
treasurestory_poli_04_68,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_68,True,,2,idle,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_69,treasurestory_poli_04,Monologue,poli,Locale_NikkeEpisode:treasurestory_poli_04_69,False,,2,idle,,12,idle,,black,black,1.0,,,,,
treasurestory_poli_04_70,treasurestory_poli_04,Self,ade,Locale_NikkeEpisode:treasurestory_poli_04_70,False,,2,idle,,12,idle,,20,20,1.0,,,,,black
treasurestory_poli_04_71,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_71,True,,2,delight,,12,idle,,20,20,1.0,,,ade,,
treasurestory_poli_04_72,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_72,True,,2,delight,,12,idle,,20,20,1.0,,,ade,,
treasurestory_poli_04_73,treasurestory_poli_04,Self,ade,Locale_NikkeEpisode:treasurestory_poli_04_73,False,,2,delight,,12,idle,,20,XS_120,1.3,,,,ade,
treasurestory_poli_04_74,treasurestory_poli_04,Self,ade,Locale_NikkeEpisode:treasurestory_poli_04_74,False,,,,,12,idle,,XS_120,XS_120,1.0,,,,,
treasurestory_poli_04_75,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_75,True,,,,,12,idle,,XS_120,XS_120,1.0,,,poli,,
treasurestory_poli_04_76,treasurestory_poli_04,Narration,poli,Locale_NikkeEpisode:treasurestory_poli_04_76,False,,,,,12,idle,,XS_120,XS_1200,1.3,sfx_scn_bookpageone,,,,
treasurestory_poli_04_77,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_77,True,,,,,12,idle,,XS_1200,XS_1200,1.0,,,poli,,
treasurestory_poli_04_78,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_78,True,,,,,12,idle,,XS_1200,XS_1200,1.0,,,poli,,
treasurestory_poli_04_79,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_79,True,,,,,12,idle,,XS_1200,XS_1200,1.0,,,poli,,
treasurestory_poli_04_80,treasurestory_poli_04,Self,poli,Locale_NikkeEpisode:treasurestory_poli_04_80,False,,,,,12,idle,,XS_1200,XS_1200,1.0,,,,,
treasurestory_poli_04_81,treasurestory_poli_04,Monologue,poli,Locale_NikkeEpisode:treasurestory_poli_04_81,False,,,,,12,idle,,black,black,1.0,,,,,
