id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,jump_target,characters/0/hide_char_id,characters/2/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,set_filter_01,set_filter_02
d_nikke_novel_03_19,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_19,True,,S_10,S_10,1.0,,neon,,5,idle,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_20,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_20,True,,S_10,S_10,1.0,,neon,,5,idle,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_21,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_21,False,,S_10,S_10,1.0,,neon,,5,idle,,1,angry,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_22,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_22,True,,4,4,1.0,,emma,,5,angry,,1,angry,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_23,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_23,True,,4,4,1.0,,emma,,5,angry,,1,angry,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_24,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_24,True,,4,4,1.0,,exia,,5,angry,,1,angry,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_25,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_25,True,,4,4,1.0,,exia,,5,angry,,1,angry,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_26,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_26,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_27,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_27,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_28,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_28,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_29,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_29,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_30,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_30,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_31,d_nikke_novel_03,Choice,,Locale_NikkeEpisode:d_nikke_novel_03_31,False,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,d_nikke_novel_03_33,,,,,,
d_nikke_novel_03_32,d_nikke_novel_03,Choice,,Locale_NikkeEpisode:d_nikke_novel_03_32,False,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,d_nikke_novel_03_33,,,,,,
d_nikke_novel_03_33,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_33,True,,13,13,1.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_34,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_34,True,,13,5,2.0,,novel,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_35,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_35,False,,black,black,1.0,none,,,5,idle,,1,idle,,,13,think,,3,idle,,,novel,,,,,
d_nikke_novel_03_36,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_36,True,,13,13,1.0,bgm_recognition_underworld,novel,,5,idle,,1,idle,,novel,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_37,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_37,True,,13,1,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_38,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_38,True,,1,1,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_39,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_39,False,,1,S_10,1.0,,neon,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_40,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_40,False,,S_10,S_10,1.0,,neon,,5,idle,,1,worry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_41,d_nikke_novel_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_novel_03_41,False,,S_10,S_10,1.0,,,,5,idle,,1,worry,,,13,think,,3,idle,,,,neon,,,,
d_nikke_novel_03_42,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_42,False,,black,black,1.0,,,,5,idle,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_43,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_43,False,,1,4,2.0,,exia,,5,worry,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_44,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_44,False,,4,4,1.0,,emma,,5,worry,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_45,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_45,False,,4,4,1.0,,,,5,worry,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_46,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_46,True,,4,S_30,1.0,,exia,,5,worry,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_47,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_47,True,,S_30,S_30,1.0,,exia,,5,worry,,,,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_48,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_48,True,,S_30,S_30,1.0,,exia,,5,worry,,,,,,13,think,,3,good,,,,,,,,
d_nikke_novel_03_49,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_49,True,,S_30,S_30,1.0,,exia,,5,worry,,,,,,13,think,,3,good,,,,,,,,
d_nikke_novel_03_50,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_50,False,,S_30,S_30,1.0,,exia,,5,worry,,,,,,15,think,,3,good,,,,,,,,
d_nikke_novel_03_51,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_51,False,CommanderRoom_n,1,1,1.0,,exia,,5,worry,neon,1,idle,,,15,think,,3,good,black,,,,emma,exia,,
d_nikke_novel_03_52,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_52,False,,1,1,1.0,,neon,,,,,1,idle,,,15,think,,,,,,,,,,,
d_nikke_novel_03_53,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_53,False,,1,1,1.0,,neon,,,,,1,idle,,,15,think,,,,,,,,,,,
d_nikke_novel_03_54,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_54,False,,1,1,1.0,,neon,,,,,1,idle,,,15,think,,,,,,,,,,,
d_nikke_novel_03_55,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_55,False,,1,1,1.0,,neon,,,,,1,idle,,,15,think,,,,,,,,,,,
d_nikke_novel_03_56,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_56,False,,1,1,1.0,,neon,,,,,1,idle,,,15,think,,,,,,,,,,,
d_nikke_novel_03_57,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_57,True,,1,S_10,1.0,,neon,,,,,1,worry,,,15,think,,,,,,,,,,,
d_nikke_novel_03_58,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_58,True,Office,S_10,S_10,1.0,,neon,,,,,1,worry,,,15,think,,,,,,,neon,,,Grey,Blur_Middle
d_nikke_novel_03_59,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_59,True,,S_10,S_10,1.0,,neon,,,,,,,,,15,think,,,,,,,,,,Grey,Blur_Middle
d_nikke_novel_03_60,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_60,True,NikkeRoom,S_10,S_10,1.0,,neon,,,,,,,,,15,think,,,,,,,,,,Grey,Blur_Middle
d_nikke_novel_03_61,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_61,True,,S_10,S_10,1.0,,neon,,,,,,,,,15,think,,,,,,,,,,Grey,Blur_Middle
d_nikke_novel_03_62,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_62,True,CommanderRoom_n,black,black,1.0,,emma,emma,1,idle,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_63,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_63,True,,1,1,1.0,,emma,,1,idle,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_64,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_64,True,,1,1,1.0,,emma,,1,idle,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_65,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_65,True,,1,10,1.0,,emma,,1,surprise,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_66,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_66,True,,10,10,1.0,,emma,,1,worry,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_67,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_67,True,,10,S_150,2.0,,novel,,1,worry,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_68,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_68,True,,S_150,S_150,1.0,,novel,,1,worry,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_69,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_69,True,,S_150,S_150,1.0,,novel,,1,worry,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_70,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_70,True,,S_150,10,1.0,,emma,,1,surprise,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_71,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_71,True,,10,10,1.0,,emma,,1,delight,,,,,,15,think,,,,,,,,,,,
d_nikke_novel_03_72,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_72,True,,black,black,1.0,,exia,,,,,,,,,15,think,exia,1,idle,,,,,emma,,,
d_nikke_novel_03_73,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_73,True,,1,1,1.0,,exia,,,,,,,,,15,think,,1,idle,,,,,,,,
d_nikke_novel_03_74,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_74,False,,1,1,1.0,,exia,,,,,,,,,15,think,,1,idle,,,,,,,,
d_nikke_novel_03_75,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_75,True,,1,1,1.0,,exia,,,,,,,,,15,think,,1,idle,,,,,,,,
d_nikke_novel_03_76,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_76,True,,1,15,2.0,,novel,,,,,,,,,15,think,,1,idle,,,,,,,,
d_nikke_novel_03_77,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_77,True,,15,15,1.0,,novel,,,,,,,,,15,think,,1,idle,,,,,,,,
d_nikke_novel_03_78,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_78,True,,1,1,1.0,,exia,,,,,,,,,15,think,,1,good,,,,,,,,
d_nikke_novel_03_79,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_79,True,,1,S_10,2.0,,exia,,,,,,,,,15,think,,1,good,,,,,,,,
d_nikke_novel_03_80,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_80,False,,S_10,S_150,2.0,,novel,,,,,,,,,15,think,,1,good,,,,,,,,
d_nikke_novel_03_81,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_81,True,,S_150,S_150,1.0,,novel,,,,,,,,,15,think,,1,good,,,,,,,,
d_nikke_novel_03_82,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_82,False,NikkeRoom,black,black,1.0,none,,emma,5,idle,neon,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_83,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_83,True,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_84,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_84,True,,13,13,1.0,,exia,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_85,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_85,True,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_86,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_86,True,,13,4,2.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_87,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_87,True,,4,2,0.5,,neon,,5,idle,,1,surprise,,,13,pain,,3,surprise,,,,,,,,
d_nikke_novel_03_88,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_88,False,,2,2,1.0,bgm_story_trauma,neon,,5,idle,,1,surprise,,,13,pain,,3,surprise,,,,,,,,
d_nikke_novel_03_89,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_89,False,,2,S_10,0.5,,neon,,5,idle,,1,surprise,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_90,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_90,False,,50,50,1.0,,emma,,5,surprise,,1,surprise,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_91,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_91,False,,S_30,S_30,1.0,,exia,,5,surprise,,1,surprise,,,13,think,,3,surprise,,,,,,,,
d_nikke_novel_03_92,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_92,True,,S_30,3,1.0,,exia,,5,idle,,1,surprise,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_93,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_93,True,,3,2,1.0,,neon,,5,idle,,1,angry,,,13,think,,3,delight,,,,,,,,
d_nikke_novel_03_94,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_94,True,,2,4,1.0,,emma,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_95,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_95,True,,4,4,1.0,,emma,,5,worry,,1,angry,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_96,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_96,False,,13,13,1.0,,novel,,5,worry,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_97,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_97,True,,13,13,1.0,,novel,,5,worry,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_98,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_98,True,,13,S_130,1.0,none,novel,,5,worry,,1,idle,,,13,delight,,3,idle,,,,,,,,
d_nikke_novel_03_99,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_99,False,,S_130,S_130,1.0,bgm_story_whosdumber,novel,,5,idle,,1,idle,,,13,delight,,3,idle,,,,,,,,
d_nikke_novel_03_100,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_100,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_101,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_101,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_102,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_102,False,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_103,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_103,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_104,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_104,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_105,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_105,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_106,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_106,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_107,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_107,True,,S_130,S_30,2.0,,exia,,5,idle,,1,idle,,,13,pain,,3,good,,,,,,,,
d_nikke_novel_03_108,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_108,False,,black,black,1.0,none,,,5,idle,,1,idle,,,13,pain,,3,good,,,,,,,,
d_nikke_novel_03_109,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_109,True,,13,S_130,1.0,bgm_story_whosdumber,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_110,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_110,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,Low_2,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_111,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_111,True,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,idle,,,,,,,,
d_nikke_novel_03_112,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_112,False,,S_30,S_30,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,surprise,,,,,,,,
d_nikke_novel_03_113,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_113,False,,S_130,S_130,1.0,,novel,,5,idle,,1,idle,,,13,pain,,3,surprise,,,,,,,,
d_nikke_novel_03_114,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_114,True,,S_130,13,2.0,,novel,,5,idle,,1,idle,,,13,shy,,3,surprise,,,,,,,,
d_nikke_novel_03_115,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_115,False,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,shy,,3,idle,,,,,,,,
d_nikke_novel_03_116,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_116,True,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,delight,,3,idle,,,,,,,,
d_nikke_novel_03_117,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_117,True,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_118,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_118,True,,13,13,1.0,,novel,,5,idle,,1,idle,,,13,think,,3,idle,,,,,,,,
d_nikke_novel_03_119,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_119,True,,3,S_30,1.0,,exia,,5,idle,,1,idle,,,13,think,,3,surprise,,,,,,,,
