id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade
d_nikke_sora_05_20,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_20,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_21,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_21,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_22,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_22,False,,1,idle,,,10,10,1.0,,,,
d_nikke_sora_05_23,d_nikke_sora_05,Narration,sora,Locale_NikkeEpisode:d_nikke_sora_05_23,False,,1,idle,,,10,10,1.0,sfx_scn_paperopen,,,
d_nikke_sora_05_24,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_24,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_25,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_25,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_26,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_26,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_27,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_27,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_28,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_28,False,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_29,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_29,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_30,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_30,False,,1,idle,,,10,10,1.0,,,,
d_nikke_sora_05_31,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_31,True,,1,idle,,,10,100,1.0,,,sora,
d_nikke_sora_05_32,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_32,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_33,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_33,False,,1,idle,,,100,100,1.0,,,,
d_nikke_sora_05_34,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_34,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_35,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_35,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_36,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_36,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_37,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_37,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_38,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_38,True,,1,idle,,,100,100,1.0,,,sora,
d_nikke_sora_05_39,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_39,True,,1,idle,,,100,10,0.5,,,sora,
d_nikke_sora_05_40,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_40,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_41,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_41,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_42,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_42,False,,1,idle,,,10,10,1.0,,,,
d_nikke_sora_05_43,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_43,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_44,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_44,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_45,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_45,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_46,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_46,False,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_47,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_47,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_48,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_48,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_49,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_49,True,,1,shy,,,10,100,1.0,,,sora,
d_nikke_sora_05_50,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_50,True,,1,shy,,,100,100,1.0,,,sora,
d_nikke_sora_05_51,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_51,False,,1,shy,,,black,black,1.0,,,,
d_nikke_sora_05_52,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_52,False,,1,shy,,,black,black,1.0,,,,
d_nikke_sora_05_53,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_53,False,,1,shy,,,black,black,1.0,,,,
d_nikke_sora_05_54,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_54,True,,1,idle,,,100,10,1.0,,,sora,
d_nikke_sora_05_55,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_55,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_56,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_56,True,,1,idle,,,10,10,1.0,,,sora,
d_nikke_sora_05_57,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_57,False,,1,idle,,,black,black,1.0,,,,
