id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,jump_target,set_filter_01
d_nikke_harran_04_39,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_39,False,,,,,190,190,1.0,,,,,,
d_nikke_harran_04_40,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_40,False,,,,,190,190,1.0,,,,,,
d_nikke_harran_04_41,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_41,False,,,,,190,190,1.0,,,,,,
d_nikke_harran_04_42,d_nikke_harran_04,Choice,harran,,Locale_NikkeEpisode:d_nikke_harran_04_42,False,,,,,190,190,1.0,,,,,d_nikke_harran_04_44,
d_nikke_harran_04_43,d_nikke_harran_04,Choice,harran,,Locale_NikkeEpisode:d_nikke_harran_04_43,False,,,,,190,190,1.0,,,,,d_nikke_harran_04_52,
d_nikke_harran_04_44,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_44,False,,,,,190,19,1.0,,sfx_scn_3step,,,,
d_nikke_harran_04_45,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_45,False,,,,,19,19,1.0,,,,,,
d_nikke_harran_04_46,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_46,False,,,,,19,1900,0.5,,sfx_scn_run,Low_2,,,
d_nikke_harran_04_47,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_47,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_48,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_48,False,,,,,black,black,1.0,,sfx_scn_heavytrip,,,,
d_nikke_harran_04_49,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_49,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_50,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_50,True,,,,,1900,1900,1.0,,,,,,
d_nikke_harran_04_51,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_51,True,,,,,1900,1900,1.0,,,,,d_nikke_harran_04_63,
d_nikke_harran_04_52,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_52,False,,,,,190,19,1.0,,sfx_scn_3step,,,,
d_nikke_harran_04_53,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_53,False,,,,,19,19,1.0,,,,,,
d_nikke_harran_04_54,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_54,False,,,,,19,190,0.5,,sfx_scn_run,Low_2,,,
d_nikke_harran_04_55,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_55,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_56,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_56,True,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_57,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_57,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_58,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_58,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_59,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_59,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_60,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_60,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_61,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_61,True,,,,,1900,1900,1.0,,,,,,
d_nikke_harran_04_62,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_62,True,,,,,1900,1900,1.0,,,,,,
d_nikke_harran_04_63,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_63,False,,,,,1900,190,1.0,,,,,,
d_nikke_harran_04_64,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_64,False,,,,,190,10,2.0,,,,,,
d_nikke_harran_04_65,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_65,False,,,,,10,10,1.0,,,,,,
d_nikke_harran_04_66,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_66,False,,,,,10,10,1.0,,,,,,
d_nikke_harran_04_67,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_67,True,,,,,10,10,1.0,,,,,,
d_nikke_harran_04_68,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_68,True,,,,,10,10,1.0,,,,,,
d_nikke_harran_04_69,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_69,False,,,,,10,10,1.0,,,,,,
d_nikke_harran_04_70,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_70,False,,,,,10,1,2.0,,sfx_scn_3step,,,,
d_nikke_harran_04_71,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_71,False,,,,,1,1,1.0,,,,,,
d_nikke_harran_04_72,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_72,False,,,,,1,100,0.5,,sfx_scn_run,Low_2,,,
d_nikke_harran_04_73,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_73,False,,,,,100,6002,0.5,,,Low_1,,,Blur_High
d_nikke_harran_04_74,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_74,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_75,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_75,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_76,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_76,False,harran,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_77,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_77,True,,1,idle,,6002,10,2.0,,,,,,
d_nikke_harran_04_78,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_78,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_79,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_79,False,,1,idle,,10,10,1.0,,,Low_2,,,
d_nikke_harran_04_80,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_80,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_81,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_81,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_82,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_82,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_83,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_83,False,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_84,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_84,True,,1,idle,,10,100,2.0,,,,,,
d_nikke_harran_04_85,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_85,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_86,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_86,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_87,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_87,False,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_88,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_88,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_89,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_89,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_90,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_90,False,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_91,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_91,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_92,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_92,False,,1,idle,,100,10,1.0,,,,,,
d_nikke_harran_04_93,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_93,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_94,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_94,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_95,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_95,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_96,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_96,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_97,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_97,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_98,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_98,True,,1,idle,,10,100,0.5,,,,,,
d_nikke_harran_04_99,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_99,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_100,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_100,False,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_101,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_101,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_102,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_102,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_103,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_103,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_104,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_104,False,,1,idle,,100,10,1.0,,,Low_2,,,
d_nikke_harran_04_105,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_105,False,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_106,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_106,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_107,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_107,False,,1,rage,,10,10,1.0,,,Low_2,,,
d_nikke_harran_04_108,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_108,False,,1,rage,,black,black,1.0,,,,,,
d_nikke_harran_04_109,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_109,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_110,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_110,True,,1,rage,,10,10,2.0,,,,,,
d_nikke_harran_04_111,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_111,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_112,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_112,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_113,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_113,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_114,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_114,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_115,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_115,False,,1,rage,,10,100,2.0,,,Low_2,,,
d_nikke_harran_04_116,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_116,False,,1,rage,,100,100,1.0,,,Low_2,,,
d_nikke_harran_04_117,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_117,False,,1,rage,,100,6002,0.5,none,,Low_2,harran,,Blur_Middle
d_nikke_harran_04_118,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_118,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_119,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_119,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_120,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_120,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_121,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_121,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_122,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_122,True,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_123,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_123,False,,,,,black,black,1.0,,,,,,
d_nikke_harran_04_124,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_124,False,,,,,6001,10,0.5,,sfx_scn_down,,,,
d_nikke_harran_04_125,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_125,True,harran,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_126,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_126,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_127,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_127,False,,1,rage,,10,100,2.0,bgm_story_shapeofhope,,,,,
d_nikke_harran_04_128,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_128,False,,1,rage,,100,100,1.0,,,,,,
d_nikke_harran_04_129,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_129,False,,1,shy,,100,100,1.0,,,,,,
d_nikke_harran_04_130,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_130,True,,1,shy,,100,100,2.0,,,,,,
d_nikke_harran_04_131,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_131,True,,1,shy,,100,100,1.0,,,,,,
d_nikke_harran_04_132,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_132,True,,1,shy,,100,100,1.0,,,,,,
d_nikke_harran_04_133,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_133,True,,1,shy,,black,black,1.0,,,,,,
d_nikke_harran_04_134,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_134,False,,1,shy,,100,10,0.5,,,,,,
d_nikke_harran_04_135,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_135,True,,1,shy,,10,10,1.0,,,,,,
