id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/1/hide_char_id,characters/2/hide_char_id,jump_target
d_nikke_sora_02_15,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_15,False,,1,delight,,13,idle,,15,idle,,black,black,1.0,,sora,,,,,
d_nikke_sora_02_16,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_16,False,,1,delight,,13,idle,,15,idle,,black,black,1.0,,sora,,,,,
d_nikke_sora_02_17,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_17,False,,1,delight,,13,idle,,15,idle,,black,black,1.0,,sora,,,,,
d_nikke_sora_02_19,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_19,True,,1,delight,,13,idle,,15,idle,,1315,1315,1.0,,children,children,black,,,
d_nikke_sora_02_20,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_20,True,,1,delight,,13,idle,,15,idle,,1315,1315,1.0,,children,children,,,,
d_nikke_sora_02_21,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_21,True,,1,delight,,13,idle,,15,idle,,1315,1,1.0,,sora,sora,,,,
d_nikke_sora_02_22,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_22,False,,1,delight,,13,idle,,15,idle,,1,1,1.0,,sora,,,,,
d_nikke_sora_02_23,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_23,False,,1,delight,,13,idle,,15,idle,,1,1,1.0,,sora,,,,,
d_nikke_sora_02_24,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_24,True,,1,idle,,13,idle,,15,idle,,1,10,1.0,,sora,sora,,,,
d_nikke_sora_02_25,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_25,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_26,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_26,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_27,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_27,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_28,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_28,False,,1,idle,,13,idle,,15,idle,,10,1,1.0,,sora,,,,,
d_nikke_sora_02_29,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_29,False,,1,idle,,13,idle,,15,idle,,1,1315,1.5,,boy,children,,,,
d_nikke_sora_02_30,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_30,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,,,,,
d_nikke_sora_02_31,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_31,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,,,,,
d_nikke_sora_02_32,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_32,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,,,,,
d_nikke_sora_02_33,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_33,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,,,,,
d_nikke_sora_02_34,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_34,True,,1,idle,,13,idle,,15,idle,,10,100,1.0,,sora,sora,,,,
d_nikke_sora_02_35,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_35,True,,1,idle,,13,idle,,15,idle,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_36,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_36,True,,1,idle,,13,idle,,15,idle,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_37,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_37,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.5,,boy,children,,,,
d_nikke_sora_02_38,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_38,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,children,,,,
d_nikke_sora_02_39,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_39,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,sora,,,,
d_nikke_sora_02_40,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_40,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,children,,,,
d_nikke_sora_02_41,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_41,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,boy,children,,,,
d_nikke_sora_02_42,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_42,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,boy,,,,,
d_nikke_sora_02_43,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_43,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,boy,,,,,
d_nikke_sora_02_44,d_nikke_sora_02,Narration,Locale_NikkeEpisode:d_nikke_sora_02_44,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,none,boy,,,boy,girl04,
d_nikke_sora_02_46,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_46,False,,1,idle,,,,,,,FastFood,black,black,1.0,,sora,,black,,,
d_nikke_sora_02_47,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_47,False,,1,idle,,,,,,,,1,1,1.0,bgm_inark,sora,,,,,
d_nikke_sora_02_48,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_48,True,,1,idle,,,,,,,,1,10,1.0,,sora,sora,,,,
d_nikke_sora_02_49,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_49,True,,1,idle,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_50,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_50,True,,1,idle,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_51,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_51,False,,1,idle,,,,,,,,10,10,1.0,,sora,,,,,
d_nikke_sora_02_52,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_52,False,,1,idle,,,,,,,,10,10,1.0,,sora,,,,,
d_nikke_sora_02_53,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_53,False,,1,idle2,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_54,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_54,True,,1,idle2,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_55,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_55,False,,1,idle2,,,,,,,,10,10,1.0,,sora,,,,,
d_nikke_sora_02_56,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_56,True,,1,idle2,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_57,d_nikke_sora_02,Choice,Locale_NikkeEpisode:d_nikke_sora_02_57,False,,1,idle2,,,,,,,,10,10,1.0,,sora,,,,,d_nikke_sora_02_59
d_nikke_sora_02_58,d_nikke_sora_02,Choice,Locale_NikkeEpisode:d_nikke_sora_02_58,False,,1,idle2,,,,,,,,10,10,1.0,,sora,,,,,d_nikke_sora_02_62
d_nikke_sora_02_59,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_59,True,,1,idle,,,,,,,,10,100,1.0,,sora,sora,,,,
d_nikke_sora_02_60,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_60,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_61,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_61,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,d_nikke_sora_02_67
d_nikke_sora_02_62,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_62,True,,1,idle2,,,,,,,,10,100,1.0,,sora,sora,,,,
d_nikke_sora_02_63,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_63,False,,1,idle2,,,,,,,,100,100,1.0,,sora,,,,,
d_nikke_sora_02_64,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_64,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_65,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_65,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_66,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_66,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,d_nikke_sora_02_67
d_nikke_sora_02_67,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_67,False,,1,idle,,,,,,,,100,100,1.0,,sora,,,,,
d_nikke_sora_02_68,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_68,False,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_69,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_69,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_70,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_70,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_71,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_71,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_72,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_72,True,,1,idle,,,,,,,,100,100,1.0,,sora,sora,,,,
d_nikke_sora_02_73,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_73,False,,1,idle,,,,,,,,100,100,1.0,,sora,,,,,
d_nikke_sora_02_74,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_74,False,,1,idle,,,,,,,,100,100,1.0,,sora,,,,,
d_nikke_sora_02_75,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_75,True,,1,idle,,,,,,,,100,10,1.0,,sora,sora,,,,
d_nikke_sora_02_76,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_76,True,,1,idle,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_77,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_77,True,,1,delight,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_78,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_78,True,,1,delight,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_79,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_79,True,,1,delight,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_80,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_80,True,,1,idle,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_81,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_81,True,,1,idle,,,,,,,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_82,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_82,True,,1,idle,,,,,,,,10,100,0.5,,sora,sora,,,,
