id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/1/hide_char_id,play_sound
s001_02_36,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_36,True,,1,angry,,13,sad,,3,idle,,15,no,,31,31,1.0,,,,
s001_02_37,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_37,False,,1,sad2,,13,sad,,3,idle,,15,no,,31,31,1.0,,,,
s001_02_38,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_38,True,,1,sad2,,13,sad,,3,idle,,15,no,,31,300,1.0,,,,
s001_02_39,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_39,True,,1,sad2,,13,sad,,3,idle,,15,no,,300,300,1.0,,,,
s001_02_40,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_40,True,,1,sad2,,13,sad,,3,idle,,15,no,,300,30,1.0,,,,
s001_02_41,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_41,False,,1,sad2,,13,sad,,3,idle,,15,no,,10,10,1.0,,,,
s001_02_42,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_42,True,,1,sad2,,13,sad,,3,idle,,15,no,,150,150,1.0,,,,
s001_02_43,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_43,True,,1,sad2,,13,sad,,3,idle,,15,no,,150,150,1.0,,,,
s001_02_44,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_44,True,,1,sad2,,13,sad,,3,idle,,15,no,,150,150,1.0,,,,
s001_02_45,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_45,True,,1,sad2,,13,sad,,3,idle,,15,no,,150,150,1.0,,,,
s001_02_46,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_46,True,,1,sad2,,13,sad,,3,idle,,15,no,,150,130,1.0,,,,
s001_02_47,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_47,True,,1,sad2,,13,sad,,3,idle,,15,no,,130,130,1.0,,,,
s001_02_48,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_48,False,,1,sad2,,13,sad,,3,idle,,15,idle,,130,113,1.0,,,,
s001_02_49,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_49,True,,1,sad2,,13,sad,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_50,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_50,True,,1,sad2,,13,sad,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_51,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_51,True,,1,sad2,,13,sad,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_52,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_52,True,,1,sad2,,13,idle,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_53,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_53,True,,1,sad2,,13,idle,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_54,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_54,False,,1,sad2,,13,idle,,3,idle,,15,idle,,113,113,1.0,,,,
s001_02_55,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_55,False,,1,sad2,,13,idle,,3,idle,,15,idle,,113,31,1.0,,,,
s001_02_56,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_56,True,,1,sad2,,13,idle,,3,idle,,15,idle,,31,30,1.0,,,,
s001_02_57,s001_02,Speech,snowwhite,snowwhite,Locale_SideStory:s001_02_57,True,,1,sad2,,13,idle,,3,idle,,15,idle,,30,30,1.0,,,,
