id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
s003_02_32,s003_02,Speech,Locale_SideStory:s003_02_32,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,12,idle,,,,,,
s003_02_33,s003_02,Speech,Locale_SideStory:s003_02_33,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,12,idle,,,,,,
s003_02_34,s003_02,Speech,Locale_SideStory:s003_02_34,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,12,idle,,,,,,
s003_02_35,s003_02,Speech,Locale_SideStory:s003_02_35,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,12,think,,,,,,
s003_02_36,s003_02,Speech,Locale_SideStory:s003_02_36,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,12,think,,,,,,
s003_02_37,s003_02,Speech,Locale_SideStory:s003_02_37,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,12,think,,,,,,
s003_02_38,s003_02,Monologue,Locale_SideStory:s003_02_38,False,,black,black,1.3,,,blackwatergirl,,,12,think,,blackwatergirl,2,go,,
s003_02_39,s003_02,Speech,Locale_SideStory:s003_02_39,False,,black,black,1.0,,none,blackwatergirl,littlemermaid,,12,surprise,,,2,go,,
s003_02_40,s003_02,Monologue,Locale_SideStory:s003_02_40,False,,S_20,S_20,1.0,,,blackwatergirl,,,12,surprise,,,2,go,,
s003_02_41,s003_02,Speech,Locale_SideStory:s003_02_41,True,,S_20,1,1.3,,,littlemermaid,littlemermaid,,12,surprise,,,2,go,,
s003_02_42,s003_02,Speech,Locale_SideStory:s003_02_42,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,go,,
s003_02_43,s003_02,Speech,Locale_SideStory:s003_02_43,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,go,,
s003_02_44,s003_02,Speech,Locale_SideStory:s003_02_44,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_45,s003_02,Speech,Locale_SideStory:s003_02_45,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_46,s003_02,Speech,Locale_SideStory:s003_02_46,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_47,s003_02,Speech,Locale_SideStory:s003_02_47,False,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_48,s003_02,Speech,Locale_SideStory:s003_02_48,True,,1,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_49,s003_02,Narration,Locale_SideStory:s003_02_49,False,,black,black,1.0,sfx_scn_mermaid1shot,,blackwatergirl,,,12,rage,,,2,go,,
s003_02_50,s003_02,Monologue,Locale_SideStory:s003_02_50,False,,black,black,1.0,,,blackwatergirl,,,12,rage,,,2,go,,
s003_02_51,s003_02,Speech,Locale_SideStory:s003_02_51,False,,S_200,S_20,1.0,,bgm_story_armageddon,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_52,s003_02,Narration,Locale_SideStory:s003_02_52,False,,S_20,S_20,1.0,sfx_scn_hugedarkwaterexp,,blackwatergirl,,,12,rage,Low_2,,2,go,,
s003_02_53,s003_02,Speech,Locale_SideStory:s003_02_53,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_54,s003_02,Monologue,Locale_SideStory:s003_02_54,False,,S_20,S_20,1.0,,,blackwatergirl,,,12,rage,,,2,go,,
s003_02_55,s003_02,Monologue,Locale_SideStory:s003_02_55,False,,S_20,S_20,1.0,,,blackwatergirl,,,12,rage,,,2,go,,
s003_02_56,s003_02,Speech,Locale_SideStory:s003_02_56,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_57,s003_02,Speech,Locale_SideStory:s003_02_57,False,,S_20,L_120,1.3,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_58,s003_02,Monologue,Locale_SideStory:s003_02_58,False,,L_120,L_120,1.0,,,littlemermaid,,,12,rage,,,2,go,,
s003_02_59,s003_02,Speech,Locale_SideStory:s003_02_59,True,EventScene_oldtales_21,black,black,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,blackwatergirl,littlemermaid
s003_02_60,s003_02,Speech,Locale_SideStory:s003_02_60,True,,1,ce_003_03_01,1.0,sfx_scn_talkspellon,,blackwatergirl,littlemermaid,,,,,,,,,
s003_02_61,s003_02,Speech,Locale_SideStory:s003_02_61,False,,ce_003_03_01,ce_003_03_01,1.0,,,blackwatergirl,blackwatergirl,,,,,,,,,
s003_02_62,s003_02,Monologue,Locale_SideStory:s003_02_62,False,,ce_003_03_01,ce_003_03_01,1.0,,,blackwatergirl,,,,,,,,,,
s003_02_63,s003_02,Speech,Locale_SideStory:s003_02_63,True,,ce_003_03_01,ce_003_03_01,1.0,,,blackwatergirl,blackwatergirl,,,,,,,,,
s003_02_64,s003_02,Speech,Locale_SideStory:s003_02_64,False,silentcave_on,black,black,1.0,,,littlemermaid,littlemermaid,littlemermaid,12,rage,,blackwatergirl,2,go,,
s003_02_65,s003_02,Monologue,Locale_SideStory:s003_02_65,False,,L_120,1,1.3,,,littlemermaid,,,12,rage,,,2,go,,
s003_02_66,s003_02,Speech,Locale_SideStory:s003_02_66,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_67,s003_02,Speech,Locale_SideStory:s003_02_67,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_68,s003_02,Speech,Locale_SideStory:s003_02_68,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_69,s003_02,Speech,Locale_SideStory:s003_02_69,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_70,s003_02,Speech,Locale_SideStory:s003_02_70,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_71,s003_02,Speech,Locale_SideStory:s003_02_71,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_72,s003_02,Speech,Locale_SideStory:s003_02_72,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_73,s003_02,Speech,Locale_SideStory:s003_02_73,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_74,s003_02,Speech,Locale_SideStory:s003_02_74,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,go,,
s003_02_75,s003_02,Speech,Locale_SideStory:s003_02_75,True,,1,S_20,1.3,,,blackwatergirl,blackwatergirl,,12,rage,,,2,go,,
s003_02_76,s003_02,Monologue,Locale_SideStory:s003_02_76,False,,black,black,1.0,,,blackwatergirl,,,12,rage,,,2,worry,,
s003_02_77,s003_02,Speech,Locale_SideStory:s003_02_77,False,,S_20,S_20,1.0,,,blackwatergirl,littlemermaid,,12,surprise,,,2,worry,,
s003_02_78,s003_02,Monologue,Locale_SideStory:s003_02_78,False,,S_20,S_20,1.0,,,blackwatergirl,,,12,surprise,,,2,worry,,
s003_02_79,s003_02,Speech,Locale_SideStory:s003_02_79,True,,S_20,1,1.3,,,littlemermaid,littlemermaid,,12,surprise,,,2,worry,,
s003_02_80,s003_02,Speech,Locale_SideStory:s003_02_80,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,worry,,
s003_02_81,s003_02,Speech,Locale_SideStory:s003_02_81,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,worry,,
s003_02_82,s003_02,Speech,Locale_SideStory:s003_02_82,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,worry,,
s003_02_83,s003_02,Speech,Locale_SideStory:s003_02_83,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,worry,,
s003_02_84,s003_02,Speech,Locale_SideStory:s003_02_84,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,rage,,,2,worry,,
s003_02_85,s003_02,Speech,Locale_SideStory:s003_02_85,True,,1,1,1.0,,,blackwatergirl,blackwatergirl,,12,rage,,,2,worry,,
s003_02_86,s003_02,Speech,Locale_SideStory:s003_02_86,True,,1,1,1.0,,,littlemermaid,littlemermaid,,12,surprise,,,2,worry,,
s003_02_87,s003_02,Speech,Locale_SideStory:s003_02_87,True,,1,S_20,1.0,,none,blackwatergirl,blackwatergirl,,12,surprise,,,2,angry,,
s003_02_88,s003_02,Speech,Locale_SideStory:s003_02_88,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,angry,,
s003_02_89,s003_02,Speech,Locale_SideStory:s003_02_89,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_90,s003_02,Speech,Locale_SideStory:s003_02_90,True,,S_20,S_20,1.0,,bgm_story_enormousgap,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_91,s003_02,Speech,Locale_SideStory:s003_02_91,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_92,s003_02,Speech,Locale_SideStory:s003_02_92,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_93,s003_02,Speech,Locale_SideStory:s003_02_93,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_94,s003_02,Speech,Locale_SideStory:s003_02_94,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_95,s003_02,Speech,Locale_SideStory:s003_02_95,False,,S_20,S_20,1.0,,,blackwatergirl,littlemermaid,,12,surprise,,,2,sad,,
s003_02_96,s003_02,Speech,Locale_SideStory:s003_02_96,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,sad,,
s003_02_97,s003_02,Speech,Locale_SideStory:s003_02_97,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,special,,
s003_02_98,s003_02,Speech,Locale_SideStory:s003_02_98,True,,S_20,S_20,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,2,special,,
s003_02_99,s003_02,Speech,Locale_SideStory:s003_02_99,True,,S_20,L_120,1.0,,,littlemermaid,littlemermaid,,12,surprise,,,2,special,,
s003_02_100,s003_02,Narration,Locale_SideStory:s003_02_100,False,,black,black,1.0,sfx_scn_down,,littlemermaid,,,12,idle,,,2,special,,
s003_02_101,s003_02,Monologue,Locale_SideStory:s003_02_101,False,,black,black,1.0,,,littlemermaid,,,12,idle,,,2,special,,
s003_02_102,s003_02,Speech,Locale_SideStory:s003_02_102,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,12,idle,,,2,special,,
s003_02_103,s003_02,Monologue,Locale_SideStory:s003_02_103,False,,L_120,S_20,1.3,,,blackwatergirl,,,12,idle,,,2,special,,
s003_02_104,s003_02,Speech,Locale_SideStory:s003_02_104,True,,S_20,S_200,1.3,,,blackwatergirl,blackwatergirl,,12,idle,,,2,special,,
s003_02_105,s003_02,Monologue,Locale_SideStory:s003_02_105,False,,black,black,1.0,,,blackwatergirl,,,12,idle,,,2,special,blackwatergirl,
s003_02_106,s003_02,Speech,Locale_SideStory:s003_02_106,False,,black,black,1.3,,,littlemermaid,littlemermaid,,12,surprise,,blackwatergirl,4,special,,
s003_02_107,s003_02,Speech,Locale_SideStory:s003_02_107,True,,S_40,S_40,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,4,special,,
s003_02_108,s003_02,Speech,Locale_SideStory:s003_02_108,True,,S_40,S_40,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,4,special,,
s003_02_109,s003_02,Speech,Locale_SideStory:s003_02_109,True,,S_40,S_40,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,4,special,,
s003_02_110,s003_02,Speech,Locale_SideStory:s003_02_110,True,,S_40,S_40,1.0,,,blackwatergirl,blackwatergirl,,12,surprise,,,4,special,,
s003_02_111,s003_02,Speech,Locale_SideStory:s003_02_111,True,,S_40,L_120,1.5,,,littlemermaid,littlemermaid,,12,surprise,,,4,special,,
s003_02_112,s003_02,Speech,Locale_SideStory:s003_02_112,False,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,12,think,,,4,special,,
s003_02_113,s003_02,Speech,Locale_SideStory:s003_02_113,True,,L_120,L_1200,1.3,,,littlemermaid,littlemermaid,,12,think,,,4,special,,
