id,sector_localkey,sector_sub_localkey,name_localkey,description_localkey,type,sector,open_condition_type,open_condition_value,required_squad_count,max_nk_count,field_id,enable_smog,exploration_reward,enter_scenario,exit_scenario,bg,bg_info,sector_clear_condition
17,Locale_Stage:sector_number_14,Locale_Stage:sector_sub_number_14,Locale_Stage:sector_name_17,Locale_Stage:sector_description_17,0,17,Stage,6021050,2,7,flbg_lostsector_017,True,1401700,,,ui_flbg_lostsector_list_017,ui_flbg_lostsector_info_017,15.0
18,Locale_Stage:sector_number_15,Locale_Stage:sector_sub_number_15,Locale_Stage:sector_name_18,Locale_Stage:sector_description_18,0,18,Stage,6022018,2,8,flbg_lostsector_018,True,1401800,,,ui_flbg_lostsector_list_018,ui_flbg_lostsector_info_018,17.0
19,Locale_Stage:sector_number_ex4,Locale_Stage:sector_sub_number_ex4,Locale_Stage:sector_name_19,Locale_Stage:sector_description_19,0,19,Stage,6022030,3,11,flbg_lostsector_019,True,1401900,,,ui_flbg_lostsector_list_019,ui_flbg_lostsector_info_019,18.0
20,Locale_Stage:sector_number_ex5,Locale_Stage:sector_sub_number_ex5,Locale_Stage:sector_name_20,Locale_Stage:sector_description_20,0,20,Stage,6022049,2,8,flbg_lostsector_020,True,1402000,,,ui_flbg_lostsector_list_020,ui_flbg_lostsector_info_020,19.0
21,Locale_Stage:sector_number_16,Locale_Stage:sector_sub_number_16,Locale_Stage:sector_name_21,Locale_Stage:sector_description_21,0,21,Stage,6023050,1,5,flbg_lostsector_021,True,1402000,,,ui_flbg_lostsector_list_021,ui_flbg_lostsector_info_021,18.0
22,Locale_Stage:sector_number_17,Locale_Stage:sector_sub_number_17,Locale_Stage:sector_name_22,Locale_Stage:sector_description_22,0,22,Stage,6024050,2,8,flbg_lostsector_022,True,1402000,,,ui_flbg_lostsector_list_022,ui_flbg_lostsector_info_022,21.0
23,Locale_Stage:sector_number_18,Locale_Stage:sector_sub_number_18,Locale_Stage:sector_name_23,Locale_Stage:sector_description_23,0,23,Stage,6025046,1,5,flbg_lostsector_023,True,1402300,,,ui_flbg_lostsector_list_023,ui_flbg_lostsector_info_023,22.0
24,Locale_Stage:sector_number_ex6,Locale_Stage:sector_sub_number_ex6,Locale_Stage:sector_name_24,Locale_Stage:sector_description_24,0,24,Stage,6026050,1,5,flbg_lostsector_024,True,1402400,,,ui_flbg_lostsector_list_024,ui_flbg_lostsector_info_024,23.0
25,Locale_Stage:sector_number_19,Locale_Stage:sector_sub_number_19,Locale_Stage:sector_name_25,Locale_Stage:sector_description_25,0,25,Stage,6027052,1,5,flbg_lostsector_025,True,1402500,,,ui_flbg_lostsector_list_025,ui_flbg_lostsector_info_025,23.0
26,Locale_Stage:sector_number_20,Locale_Stage:sector_sub_number_20,Locale_Stage:sector_name_26,Locale_Stage:sector_description_26,0,26,Stage,6028050,2,7,flbg_lostsector_026,True,1402600,,,ui_flbg_lostsector_list_026,ui_flbg_lostsector_info_026,25.0
27,Locale_Stage:sector_number_21,Locale_Stage:sector_sub_number_21,Locale_Stage:sector_name_27,Locale_Stage:sector_description_27,0,27,Stage,6029050,1,5,flbg_lostsector_027,True,1402700,,,ui_flbg_lostsector_list_027,ui_flbg_lostsector_info_027,26.0
28,Locale_Stage:sector_number_ex7,Locale_Stage:sector_sub_number_ex7,Locale_Stage:sector_name_28,Locale_Stage:sector_description_28,0,28,Stage,6030050,1,5,flbg_lostsector_028,True,1402800,,,ui_flbg_lostsector_list_028,ui_flbg_lostsector_info_028,27.0
29,Locale_Stage:sector_number_22,Locale_Stage:sector_sub_number_22,Locale_Stage:sector_name_29,Locale_Stage:sector_description_29,0,29,Stage,6031050,1,5,flbg_lostsector_029,True,1402900,,,ui_flbg_lostsector_list_029,ui_flbg_lostsector_info_029,27.0
30,Locale_Stage:sector_number_ex8,Locale_Stage:sector_sub_number_ex8,Locale_Stage:sector_name_30,Locale_Stage:sector_description_30,0,30,Stage,6032052,1,1,flbg_lostsector_030,True,1403000,,,ui_flbg_lostsector_list_030,ui_flbg_lostsector_info_030,29.0
31,Locale_Stage:sector_number_23,Locale_Stage:sector_sub_number_23,Locale_Stage:sector_name_31,Locale_Stage:sector_description_31,0,31,Stage,6033042,1,5,flbg_lostsector_031,True,1403000,,,ui_flbg_lostsector_list_031,ui_flbg_lostsector_info_031,29.0
32,Locale_Stage:sector_number_24,Locale_Stage:sector_sub_number_24,Locale_Stage:sector_name_32,Locale_Stage:sector_description_32,0,32,Stage,6034046,1,5,flbg_lostsector_032,True,1403000,,,ui_flbg_lostsector_list_032,ui_flbg_lostsector_info_032,31.0
33,Locale_Stage:sector_number_25,Locale_Stage:sector_sub_number_25,Locale_Stage:sector_name_33,Locale_Stage:sector_description_33,0,33,Stage,6035044,2,8,flbg_lostsector_033,True,1403300,,,ui_flbg_lostsector_list_033,ui_flbg_lostsector_info_033,32.0
34,Locale_Stage:sector_number_ex9,Locale_Stage:sector_sub_number_ex9,Locale_Stage:sector_name_34,Locale_Stage:sector_description_34,0,34,Stage,6036045,2,7,flbg_lostsector_034,True,1403400,,,ui_flbg_lostsector_list_034,ui_flbg_lostsector_info_034,33.0
35,Locale_Stage:sector_number_26,Locale_Stage:sector_sub_number_26,Locale_Stage:sector_name_35,Locale_Stage:sector_description_35,0,35,Stage,6037044,1,5,flbg_lostsector_035,True,1403500,,,ui_flbg_lostsector_list_035,ui_flbg_lostsector_info_035,33.0
36,Locale_Stage:sector_number_ex10,Locale_Stage:sector_sub_number_ex10,Locale_Stage:sector_name_36,Locale_Stage:sector_description_36,0,36,Stage,6038045,1,5,flbg_lostsector_036,True,1403600,,,ui_flbg_lostsector_list_036,ui_flbg_lostsector_info_036,35.0
37,Locale_Stage:sector_number_ex11,Locale_Stage:sector_sub_number_ex11,Locale_Stage:sector_name_37,Locale_Stage:sector_description_37,0,37,Stage,6039044,1,5,flbg_lostsector_037,True,1403700,,,ui_flbg_lostsector_list_037,ui_flbg_lostsector_info_037,36.0
38,Locale_Stage:sector_number_ex12,Locale_Stage:sector_sub_number_ex12,Locale_Stage:sector_name_38,Locale_Stage:sector_description_38,0,38,Stage,6040044,1,5,flbg_lostsector_038,True,1403800,,,ui_flbg_lostsector_list_038,ui_flbg_lostsector_info_038,37.0
99,Locale_Stage:sector_number_test,Locale_Stage:sector_sub_number_test,Locale_Stage:sector_name_99,Locale_Stage:sector_description_99,0,99,NonUpdate,6001001,5,20,flbg_testground_001,True,300,,,ui_flbg_lostsector_list_001,ui_flbg_lostsector_info_001,
