id,group_id,open_condition_list/0/open_condition_type,open_condition_list/0/open_condition_value,open_condition_list/1/open_condition_type,open_condition_list/1/open_condition_value,ce002minigame_data_name,field_npc_id,field_npc_location_name,field_npc_hint_resource,indicator_delay_time,stage_id,end_archive
2001,2,None,0,None,0,Locale_Event:ce002_event_minigame_data_name_001,200001,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_01,300,201,20001
2002,2,EventCE002MiniGameDataClear,2001,None,0,Locale_Event:ce002_event_minigame_data_name_002,200002,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_14,300,202,20002
2003,2,EventCE002MiniGameDataClear,2002,None,0,Locale_Event:ce002_event_minigame_data_name_003,200003,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_23,300,203,20003
2004,2,EventCE002MiniGameDataClear,2003,EventDay,1,Locale_Event:ce002_event_minigame_data_name_004,200004,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_22,300,204,20004
2005,2,EventCE002MiniGameDataClear,2004,EventDay,2,Locale_Event:ce002_event_minigame_data_name_005,200005,Locale_Event:ce002_event_minigame_npc_spawn_location_02,ce002_minigame_npc_12,300,205,20005
2006,2,EventCE002MiniGameDataClear,2005,EventDay,3,Locale_Event:ce002_event_minigame_data_name_006,200006,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_18,300,206,20006
2007,2,EventCE002MiniGameDataClear,2006,EventDay,4,Locale_Event:ce002_event_minigame_data_name_007,200007,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_09,300,207,20007
2008,2,EventCE002MiniGameDataClear,2007,EventDay,5,Locale_Event:ce002_event_minigame_data_name_008,200008,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_06,300,208,20008
2009,2,EventCE002MiniGameDataClear,2008,EventDay,6,Locale_Event:ce002_event_minigame_data_name_009,200009,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_11,300,209,20009
2010,2,EventCE002MiniGameDataClear,2009,EventDay,7,Locale_Event:ce002_event_minigame_data_name_010,200010,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_16,300,210,20010
2011,2,EventCE002MiniGameDataClear,2010,EventDay,8,Locale_Event:ce002_event_minigame_data_name_011,200011,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_20,300,211,20011
2012,2,EventCE002MiniGameDataClear,2011,EventDay,9,Locale_Event:ce002_event_minigame_data_name_012,200012,Locale_Event:ce002_event_minigame_npc_spawn_location_02,ce002_minigame_npc_15,300,212,20012
2013,2,EventCE002MiniGameDataClear,2012,EventDay,10,Locale_Event:ce002_event_minigame_data_name_013,200013,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_02,300,213,20013
2014,2,EventCE002MiniGameDataClear,2013,EventDay,11,Locale_Event:ce002_event_minigame_data_name_014,200014,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_07,300,214,20014
2015,2,EventCE002MiniGameDataClear,2014,EventDay,12,Locale_Event:ce002_event_minigame_data_name_015,200015,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_10,300,215,20015
2016,2,EventCE002MiniGameDataClear,2015,EventDay,13,Locale_Event:ce002_event_minigame_data_name_016,200016,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_05,300,216,20016
2017,2,EventCE002MiniGameDataClear,2016,EventDay,14,Locale_Event:ce002_event_minigame_data_name_017,200017,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_13,300,217,20017
2018,2,EventCE002MiniGameDataClear,2017,EventDay,15,Locale_Event:ce002_event_minigame_data_name_018,200018,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_04,300,218,20018
2019,2,EventCE002MiniGameDataClear,2018,EventDay,16,Locale_Event:ce002_event_minigame_data_name_019,200019,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_03,300,219,20019
2020,2,EventCE002MiniGameDataClear,2019,EventDay,17,Locale_Event:ce002_event_minigame_data_name_020,200020,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_17,300,220,20020
2021,2,EventCE002MiniGameDataClear,2020,EventDay,18,Locale_Event:ce002_event_minigame_data_name_021,200021,Locale_Event:ce002_event_minigame_npc_spawn_location_02,ce002_minigame_npc_21,300,221,20021
2022,2,EventCE002MiniGameDataClear,2021,EventDay,19,Locale_Event:ce002_event_minigame_data_name_022,200022,Locale_Event:ce002_event_minigame_npc_spawn_location_02,ce002_minigame_npc_19,300,222,20022
2023,2,EventCE002MiniGameDataClear,2022,EventDay,20,Locale_Event:ce002_event_minigame_data_name_023,200023,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_08,300,223,20023
